Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,PnL_Linha,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase
2026-04-02,17:30:00,ARGENTINA 1,Tigre x Independiente Rivadavia,Lay_CS_0x1_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-02,EXECUTED,,14.025,14.025,500.0,514.025,14.025,0.3,Fase_1_30pct
2026-04-02,19:00:00,BRAZIL 1,Chapecoense x Atletico MG,Lay_CS_0x1_B365,8.6,8.6,1.0,8.6,1.0,8.6,,2026-04-02,EXECUTED,,18.971580592105262,32.99658059210526,500.0,532.9965805921053,32.99658059210526,0.3,Fase_1_30pct
2026-04-02,20:30:00,ARGENTINA 1,Talleres x Boca Juniors,Lay_CS_0x1_B365,9.2,9.2,0.0,9.2,0.0,9.2,,2026-04-02,EXECUTED,,-159.89897417763157,-126.90239358552631,500.0,500.0,-126.90239358552631,0.3,Fase_1_30pct
2026-04-02,21:30:00,BRAZIL 1,Red Bull Bragantino x Flamengo,Lay_CS_0x1_B365,8.6,8.6,1.0,8.6,1.0,8.6,,2026-04-02,EXECUTED,,18.453947368421055,-108.44844621710526,500.0,518.453947368421,-108.44844621710526,0.3,Fase_1_30pct
2026-04-03,14:30:00,ROMANIA 1,Botosani x FCSB,Lay_CS_0x1_B365,9.8,9.8,1.0,9.8,1.0,9.8,,2026-04-03,EXECUTED,,16.52571957236842,-91.92272664473684,500.0,534.9796669407895,-91.92272664473684,0.3,Fase_1_30pct
2026-04-03,15:00:00,FRANCE 2,Annecy x Guingamp,Lay_CS_0x1_B365,10.5,10.5,0.0,10.5,0.0,10.5,,2026-04-03,EXECUTED,,-160.49390008223682,-252.41662672697367,500.0,500.0,-252.41662672697367,0.3,Fase_1_30pct
2026-04-03,15:00:00,FRANCE 2,Grenoble x Clermont,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-03,EXECUTED,,14.763157894736842,-237.65346883223683,500.0,514.7631578947369,-237.65346883223683,0.3,Fase_1_30pct
2026-04-03,15:45:00,IRELAND 2,Athlone Town x UCD,Lay_CS_0x1_B365,9.4,9.4,1.0,9.4,1.0,9.4,,2026-04-03,EXECUTED,,17.189412593984965,-220.46405623825186,500.0,531.9525704887218,-220.46405623825186,0.3,Fase_1_30pct
2026-04-03,15:45:00,IRELAND 2,Kerry FC x Cobh Ramblers,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-03,EXECUTED,,14.210732954484426,-206.25332328376743,500.0,546.1633034432062,-206.25332328376743,0.3,Fase_1_30pct
2026-04-04,09:00:00,SPAIN 2,Cadiz x Cordoba,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-04,EXECUTED,,14.590362534839938,-191.6629607489275,500.0,560.7536659780462,-191.6629607489275,0.3,Fase_1_30pct
