Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,PnL_Linha,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase
2026-04-04,00:00,SLOVAKIA 1,Zemplin x Zilina,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-04,EXECUTED,,13.35714285714286,13.35714285714286,500.0,513.3571428571429,13.35714285714286,0.3,Fase_1_30pct
2026-04-06,00:00,SWITZERLAND 1,Grasshoppers Zurich x Sion,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-06,EXECUTED,,13.713969387755103,27.07111224489796,500.0,527.071112244898,27.07111224489796,0.3,Fase_1_30pct
2026-04-06,00:00,DENMARK 1,Vejle x Randers,Lay_CS_0x1_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-06,EXECUTED,,14.78434469846939,41.85545694336735,500.0,541.8554569433674,41.85545694336735,0.3,Fase_1_30pct
2026-04-07,00:00,GERMANY 3,Duisburg x VfL Osnabruck,Lay_CS_0x1_B365,9.2,9.2,1.0,9.2,1.0,9.2,,2026-04-07,EXECUTED,,18.53542142348958,60.39087836685693,500.0,560.3908783668569,60.39087836685693,0.3,Fase_1_30pct
2026-04-11,00:00,GERMANY 1,FC Heidenheim x Union Berlin,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-11,EXECUTED,,14.970442036371747,75.36132040322867,500.0,575.3613204032287,75.36132040322867,0.3,Fase_1_30pct
2026-04-11,00:00,GERMANY 1,St Pauli x Bayern Munich,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-11,EXECUTED,,16.98830003927428,92.34962044250295,500.0,592.3496204425029,92.34962044250295,0.3,Fase_1_30pct
2026-04-12,00:00,NETHERLANDS 2,FC Dordrecht x ADO Den Haag,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-12,EXECUTED,,15.824197003249722,108.17381744575268,500.0,608.1738174457527,108.17381744575268,0.3,Fase_1_30pct
2026-04-12,00:00,ENGLAND 1,Crystal Palace x Newcastle,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-12,EXECUTED,,16.246929123193677,124.42074656894636,500.0,624.4207465689464,124.42074656894636,0.3,Fase_1_30pct
2026-04-12,00:00,ENGLAND 1,Nottm Forest x Aston Villa,Lay_CS_0x1_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-12,EXECUTED,,17.515001941258944,141.93574851020531,500.0,641.9357485102053,141.93574851020531,0.3,Fase_1_30pct
2026-04-12,00:00,ITALY 2,Padova x Empoli,Lay_CS_0x1_B365,9.6,9.6,1.0,9.6,1.0,9.6,,2026-04-12,EXECUTED,,20.937555518268905,162.87330402847422,500.0,662.8733040284742,162.87330402847422,0.3,Fase_1_30pct
2026-04-12,00:00,ENGLAND 1,Sunderland x Tottenham,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-12,EXECUTED,,17.708186836189242,180.58149086466346,500.0,680.5814908646635,180.58149086466346,0.3,Fase_1_30pct
2026-04-12,00:00,AUSTRIA 1,Austria Wien x Rapid Vienna,Lay_CS_0x1_B365,10.0,10.0,1.0,10.0,1.0,10.0,,2026-04-12,EXECUTED,,21.211456465282012,201.7929473299455,500.0,701.7929473299455,201.7929473299455,0.3,Fase_1_30pct
2026-04-12,00:00,DENMARK 1,Randers x FC Copenhagen,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-12,EXECUTED,,20.721360181689445,222.51430751163494,500.0,722.5143075116349,222.51430751163494,0.3,Fase_1_30pct
2026-04-17,00:00,GERMANY 1,St Pauli x FC Koln,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-17,EXECUTED,,21.333185606001432,243.84749311763636,500.0,743.8474931176363,243.84749311763636,0.3,Fase_1_30pct
2026-04-19,00:00,DENMARK 1,Vejle x FC Copenhagen,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-19,EXECUTED,,19.871354458999715,263.71884757663605,500.0,763.718847576636,263.71884757663605,0.3,Fase_1_30pct
2026-04-21,00:00,AUSTRIA 1,SCR Altach x WSG Wattens,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-21,EXECUTED,,40.80440699909455,304.5232545757306,500.0,804.5232545757306,304.5232545757306,0.6,Fase_2_60pct
2026-04-26,00:00,DENMARK 1,Silkeborg x Randers,Lay_CS_0x1_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-26,EXECUTED,,45.13375458169848,349.6570091574291,500.0,849.657009157429,349.6570091574291,0.6,Fase_2_60pct
