Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0
2026-04-01,14:00:00,SPAIN 2,Andorra CF x Malaga,Lay_CS_0x1_B365,13.0,13.0,1.0
2026-04-01,14:00:00,SPAIN 2,Andorra CF x Malaga,Lay_CS_1x0_B365,11.0,11.0,1.0
2026-04-02,10:15:00,SAUDI ARABIA 1,Al-Jndal x Jeddah Club,Lay_CS_0x1_B365,16.0,16.0,1.0
2026-04-02,10:15:00,SAUDI ARABIA 1,Al-Jndal x Jeddah Club,Lay_CS_1x0_B365,9.0,9.0,1.0
2026-04-02,14:35:00,SAUDI ARABIA 1,Al-Zulfi SC x Al-Anwar Club,Lay_CS_0x1_B365,13.5,13.5,1.0
2026-04-02,14:35:00,SAUDI ARABIA 1,Al-Zulfi SC x Al-Anwar Club,Lay_CS_1x0_B365,9.4,9.4,1.0
2026-04-02,19:00:00,BRAZIL 1,Chapecoense x Atletico MG,Lay_CS_0x1_B365,8.6,8.6,1.0
2026-04-02,19:00:00,BRAZIL 1,Chapecoense x Atletico MG,Lay_CS_1x0_B365,11.5,11.5,1.0
2026-04-02,21:30:00,BRAZIL 1,Red Bull Bragantino x Flamengo,Lay_CS_0x1_B365,8.6,8.6,1.0
2026-04-02,20:30:00,ARGENTINA 1,Talleres x Boca Juniors,Lay_CS_0x1_B365,9.2,9.2,0.0
2026-04-02,20:30:00,ARGENTINA 1,Talleres x Boca Juniors,Lay_CS_1x0_B365,7.2,7.2,1.0
2026-04-02,17:30:00,ARGENTINA 1,Tigre x Independiente Rivadavia,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-02,17:30:00,ARGENTINA 1,Tigre x Independiente Rivadavia,Lay_CS_1x0_B365,7.0,7.0,1.0
2026-04-03,15:00:00,FRANCE 2,Annecy x Guingamp,Lay_CS_0x1_B365,10.5,10.5,0.0
2026-04-03,15:00:00,FRANCE 2,Annecy x Guingamp,Lay_CS_1x0_B365,10.5,10.5,1.0
2026-04-03,15:45:00,IRELAND 2,Athlone Town x UCD,Lay_CS_0x1_B365,9.4,9.4,1.0
2026-04-03,15:00:00,FRANCE 2,Bastia x Amiens,Lay_CS_0x1_B365,13.0,13.0,1.0
2026-04-03,15:00:00,FRANCE 2,Bastia x Amiens,Lay_CS_1x0_B365,7.0,7.0,1.0
2026-04-03,14:30:00,ROMANIA 1,Botosani x FCSB,Lay_CS_0x1_B365,9.8,9.8,1.0
2026-04-03,15:00:00,FRANCE 2,Grenoble x Clermont,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-03,15:00:00,FRANCE 2,Grenoble x Clermont,Lay_CS_1x0_B365,10.0,10.0,1.0
