Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0
2026-04-02,00:00,BRAZIL 1,Chapecoense x Atletico MG,Lay_CS_0x1_B365,8.6,8.6,1.0
2026-04-02,00:00,BRAZIL 1,Red Bull Bragantino x Flamengo,Lay_CS_0x1_B365,8.6,8.6,1.0
2026-04-03,00:00,ROMANIA 1,Botosani x FCSB,Lay_CS_0x1_B365,9.8,9.8,1.0
2026-04-03,00:00,FRANCE 2,Annecy x Guingamp,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-03,00:00,FRANCE 2,Grenoble x Clermont,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-04,00:00,ROMANIA 1,Otelul Galati x Hermannstadt,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-04,00:00,SLOVAKIA 1,Zemplin x Zilina,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-04,00:00,SCOTLAND 2,Ayr x Partick,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-05,00:00,CHINA 1,Tianjin Jinmen Tiger FC x Shanghai Shenhua,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-05,00:00,SWEDEN 1,Kalmar FF x Vasteras SK,Lay_CS_0x1_B365,11.5,11.5,0.0
2026-04-05,00:00,SWEDEN 2,Sundsvall x United IK Nordic,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-05,00:00,ITALY 1,US Cremonese x Bologna,Lay_CS_0x1_B365,9.6,9.6,1.0
2026-04-05,00:00,SERBIA 1,Radnik Surdulica x Crvena Zvezda,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-05,00:00,SCOTLAND 1,Dundee x Celtic,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-05,00:00,ISRAEL 1,Hapoel Haifa x Maccabi Tel Aviv,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-05,00:00,BRAZIL 1,Chapecoense x EC Vitoria Salvador,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-05,00:00,BRAZIL 1,Bahia x SE Palmeiras,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-05,00:00,BRAZIL 1,Corinthians x Internacional,Lay_CS_0x1_B365,11.5,11.5,0.0
2026-04-05,00:00,SCOTLAND 1,Livingston x Hearts,Lay_CS_0x1_B365,8.8,8.8,1.0
