Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0
2026-04-02,19:00:00,BRAZIL 1,Chapecoense x Atletico MG,Lay_CS_0x1_B365,8.6,8.6,1.0
2026-04-02,21:30:00,BRAZIL 1,Red Bull Bragantino x Flamengo,Lay_CS_0x1_B365,8.6,8.6,1.0
2026-04-02,20:30:00,ARGENTINA 1,Talleres x Boca Juniors,Lay_CS_0x1_B365,9.2,9.2,0.0
2026-04-02,17:30:00,ARGENTINA 1,Tigre x Independiente Rivadavia,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-03,15:00:00,FRANCE 2,Annecy x Guingamp,Lay_CS_0x1_B365,10.5,10.5,0.0
2026-04-03,15:45:00,IRELAND 2,Athlone Town x UCD,Lay_CS_0x1_B365,9.4,9.4,1.0
2026-04-03,14:30:00,ROMANIA 1,Botosani x FCSB,Lay_CS_0x1_B365,9.8,9.8,1.0
2026-04-03,15:00:00,FRANCE 2,Grenoble x Clermont,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-03,15:45:00,IRELAND 2,Kerry FC x Cobh Ramblers,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-04,11:15:00,SPAIN 2,Albacete x Burgos,Lay_CS_0x1_B365,9.6,9.6,1.0
2026-04-04,09:00:00,SPAIN 2,Cadiz x Cordoba,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-04,10:00:00,CZECH 1,Dukla Prague x Pardubice,Lay_CS_0x1_B365,9.4,9.4,1.0
2026-04-04,13:30:00,SPAIN 2,Leonesa x Valladolid,Lay_CS_0x1_B365,9.8,9.8,1.0
2026-04-04,11:15:00,SPAIN 1,Mallorca x Real Madrid,Lay_CS_0x1_B365,10.0,10.0,1.0
2026-04-04,09:00:00,ROMANIA 1,Otelul Galati x Hermannstadt,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-04,10:30:00,SLOVAKIA 1,Zemplin x Zilina,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-05,12:55:00,SAUDI ARABIA 1,Al-Akhdoud x Al-Fateh (KSA),Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-05,16:00:00,SPAIN 1,Alaves x Osasuna,Lay_CS_0x1_B365,9.8,9.8,1.0
2026-04-05,10:00:00,FRANCE 1,Angers x Lyon,Lay_CS_0x1_B365,8.6,8.6,1.0
2026-04-05,19:30:00,BRAZIL 1,Bahia x SE Palmeiras,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-05,10:30:00,CZECH 1,Banik Ostrava x Slavia Prague,Lay_CS_0x1_B365,10.0,10.0,1.0
2026-04-05,16:00:00,BRAZIL 1,Chapecoense x EC Vitoria Salvador,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-05,19:30:00,BRAZIL 1,Corinthians x Internacional,Lay_CS_0x1_B365,11.5,11.5,0.0
2026-04-05,16:30:00,CHILE 1,Deportes Concepcion x Colo Colo,Lay_CS_0x1_B365,8.8,8.8,0.0
