Data_Arquivo,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0
2026-04-02,BRAZIL 1,Chapecoense x Atletico MG,Lay_CS_0x1_B365,8.6,8.6,1.0
2026-04-02,BRAZIL 1,Red Bull Bragantino x Flamengo,Lay_CS_0x1_B365,8.6,8.6,1.0
2026-04-03,FRANCE 2,Annecy x Guingamp,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-03,FRANCE 2,Grenoble x Clermont,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-03,ROMANIA 1,Botosani x FCSB,Lay_CS_0x1_B365,9.8,9.8,1.0
2026-04-04,ROMANIA 1,Otelul Galati x Hermannstadt,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-04,SCOTLAND 2,Ayr x Partick,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-05,BRAZIL 1,Bahia x SE Palmeiras,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-05,BRAZIL 1,Chapecoense x EC Vitoria Salvador,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-05,CHILE 1,Deportes Concepcion x Colo Colo,Lay_CS_0x1_B365,8.8,8.8,1.0
2026-04-05,CHINA 1,Tianjin Jinmen Tiger FC x Shanghai Shenhua,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-05,ISRAEL 1,Hapoel Haifa x Maccabi Tel Aviv,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-05,SCOTLAND 1,Dundee x Celtic,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-05,SCOTLAND 1,Livingston x Hearts,Lay_CS_0x1_B365,8.8,8.8,1.0
2026-04-05,SERBIA 1,Radnik Surdulica x Crvena Zvezda,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-05,SWEDEN 2,Sundsvall x United IK Nordic,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-06,BRAZIL 2,Goias x Criciuma,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-06,ITALY 2,Catanzaro x AC Monza,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-06,ITALY 2,Sampdoria x Empoli,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-06,NORWAY 1,Ham-Kam x Brann,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-06,PARAGUAY 1,Sportivo Trinidense x Rubio Nu,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-06,POLAND 1,Nieciecza x Piast Gliwice,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-06,PORTUGAL 2,Porto B x Chaves,Lay_CS_0x1_B365,8.8,8.8,1.0
2026-04-06,TURKEY 1,Kocaelispor x Basaksehir,Lay_CS_0x1_B365,9.8,9.8,1.0
2026-04-07,POLAND 1,Arka Gdynia x Zaglebie Lubin,Lay_CS_0x1_B365,9.8,9.8,1.0
2026-04-07,SCOTLAND 2,Ayr x Dunfermline,Lay_CS_0x1_B365,10.0,10.0,1.0
2026-04-08,TURKEY 1,Goztepe x Galatasaray,Lay_CS_0x1_B365,8.8,8.8,1.0
2026-04-10,FINLAND 1,TPS x Lahti,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-10,FRANCE 2,Annecy x Montpellier,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-10,FRANCE 2,Clermont x Nancy,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-10,SCOTLAND 2,Queens Park x Ross Co,Lay_CS_0x1_B365,9.6,9.6,1.0
2026-04-11,BRAZIL 1,Remo x Vasco Da Gama,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-11,CHINA 1,Qingdao Youth Island x Liaoning Tieren FC,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-11,SCOTLAND 2,Ayr x Arbroath,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-12,PORTUGAL 2,Feirense x Vizela,Lay_CS_0x1_B365,9.6,9.6,1.0
2026-04-12,SCOTLAND 1,Falkirk x Rangers,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-12,SWEDEN 2,IK Brage x Oddevold,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-13,BULGARIA 1,CSKA Sofia x PFC Levski Sofia,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-13,PORTUGAL 2,Lusitania Futebol Clube x Porto B,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-13,ROMANIA 1,Universitatea Cluj x Universitatea Craiova,Lay_CS_0x1_B365,9.0,9.0,1.0
2026-04-13,TURKEY 1,Eyupspor x Samsunspor,Lay_CS_0x1_B365,8.8,8.8,1.0
2026-04-14,BULGARIA 1,Botev Vratsa x Lokomotiv Sofia,Lay_CS_0x1_B365,9.2,9.2,1.0
2026-04-14,BULGARIA 1,Dobrudzha x Botev Plovdiv,Lay_CS_0x1_B365,9.8,9.8,1.0
2026-04-15,BULGARIA 1,Cherno More x CSKA 1948 Sofia,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-18,FINLAND 1,IFK Mariehamn x Ilves,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-18,FINLAND 1,Jaro x KuPS,Lay_CS_0x1_B365,9.4,9.4,1.0
2026-04-18,FINLAND 1,TPS x SJK,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-18,FRANCE 2,Bastia x St Etienne,Lay_CS_0x1_B365,8.6,8.6,1.0
2026-04-18,PORTUGAL 2,Torreense x Maritimo,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-18,SCOTLAND 2,Airdrieonians x Partick,Lay_CS_0x1_B365,10.0,10.0,1.0
2026-04-18,TURKEY 1,Genclerbirligi x Galatasaray,Lay_CS_0x1_B365,9.2,9.2,1.0
2026-04-19,NORWAY 1,Ham-Kam x KFUM Oslo,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-19,POLAND 1,Arka Gdynia x Jagiellonia Bialystock,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-19,ROMANIA 1,ACS Petrolul 52 x Hermannstadt,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-19,TURKEY 1,Kasimpasa x Alanyaspor,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-20,PORTUGAL 2,Porto B x Leixoes,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-20,ROMANIA 1,Farul Constanta x FCSB,Lay_CS_0x1_B365,10.0,10.0,1.0
2026-04-21,CHINA 1,Tianjin Jinmen Tiger FC x Shandong Taishan,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-21,SWEDEN 2,Orebro x Norrkoping,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-22,CHINA 1,Qingdao Youth Island x Henan Songshan Longmen,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-22,SERBIA 1,Radnik Surdulica x FK Novi Pazar,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-22,SERBIA 1,Zeleznicar Pancevo x Crvena Zvezda,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-23,SERBIA 1,FK Spartak x FK Backa Topola,Lay_CS_0x1_B365,9.8,9.8,1.0
