Data_Arquivo,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0
2026-04-05,BRAZIL 1,Corinthians x Internacional,Lay_CS_0x1_B365,11.5,11.5,0.0
2026-04-05,SWEDEN 1,Kalmar FF x Vasteras SK,Lay_CS_0x1_B365,11.5,11.5,0.0
2026-04-12,CHINA 1,Shijiazhuang Gongfu FC x Foshan Nanshi FC,Lay_CS_0x1_B365,10.5,10.5,0.0
2026-04-13,ROMANIA 1,FC Metaloglobus Bucuresti x Csikszereda,Lay_CS_0x1_B365,10.5,10.5,0.0
2026-04-17,CHINA 1,Wuhan Three Towns x Chengdu Rongcheng,Lay_CS_0x1_B365,10.5,10.5,0.0
2026-04-18,WALES 1,Barry Town Utd x The New Saints,Lay_CS_0x1_B365,10.5,10.5,0.0
2026-04-19,NORWAY 1,Sarpsborg x Tromso,Lay_CS_0x1_B365,11.5,11.5,0.0
2026-04-20,PORTUGAL 2,Sporting Lisbon B x Felgueiras,Lay_CS_0x1_B365,11.5,11.5,0.0
2026-04-23,SERBIA 1,FK Napredak x FK IMT Novi Beograd,Lay_CS_0x1_B365,9.8,9.8,0.0
2026-04-26,BULGARIA 1,Lokomotiv Plovdiv x Cherno More,Lay_CS_0x1_B365,11.0,11.0,0.0
2026-04-26,POLAND 1,Wisla Plock x Radomiak Radom,Lay_CS_0x1_B365,11.0,11.0,0.0
