n_bloqueados,n_bloqueados
Rodo_01 SPAIN 1 | Lay_CS_1x0_B365 | Odd 6-8,22
Rodo_02 SPAIN 1 | Lay_CS_1x0_B365 | Odd <=6,17
Rodo_09 BULGARIA 1 | Lay_CS_0x1_B365 | Odd 8-10,15
Rodo_32 TURKEY 2 | Lay_CS_0x1_B365 | Odd 8-11.5,14
Rodo_04 AUSTRIA 2 | Lay_CS_0x1_B365 | Odd 8-10,12
Rodo_20 SERBIA 1 | Lay_CS_0x1_B365 | Odd 8-10,11
Rodo_10 BRAZIL 2 | Lay_CS_0x1_B365 | Odd 8-10,11
Rodo_05 EGYPT 1 | Lay_CS_0x1_B365 | Odd 8-10,10
Rodo_16 PARAGUAY 1 | Lay_CS_0x1_B365 | Odd 8-10,9
Rodo_15 SCOTLAND 1 | Lay_CS_0x1_B365 | Odd 8-10,8
Rodo_17 ISRAEL 1 | Lay_CS_0x1_B365 | Odd 8-10,7
Rodo_19 BULGARIA 1 | Lay_CS_0x1_B365 | Odd 10-12,6
Rodo_14 SWEDEN 1 | Lay_CS_0x1_B365 | Odd 8-10,5
Rodo_21 WALES 1 | Lay_CS_0x1_B365 | Odd 8-10,4
Rodo_12 GREECE 1 | Lay_CS_0x1_B365 | Odd 8-10,3
Rodo_08 IRELAND 1 | Lay_CS_0x1_B365 | Odd 8-10,3
Rodo_11 ITALY 1 | Lay_CS_1x0_B365 | Odd 10-12,2
Rodo_30 CROATIA 1 | Lay_CS_0x1_B365 | Odd 10-12,1
Rodo_24 CHINA 1 | Lay_CS_0x1_B365 | Odd 10-12,1
Rodo_27 SWEDEN 1 | Lay_CS_0x1_B365 | Odd 10-12,1
Rodo_03 USA 1 | Lay_CS_0x1_B365 | Odd 8-10,1
Rodo_23 ENGLAND 2 | Lay_CS_0x1_B365 | Odd 10-12,1
Rodo_29 SCOTLAND 1 | Lay_CS_0x1_B365 | Odd 10-12,1
