lado,Data,Liga,Jogo,Metodo,motivo,arquivo
live_sem_ref,2026-04-01,SPAIN 2,Andorra CF x Malaga,Lay_CS_0x1_B365,divergencia_de_chave,Apostas_20260401.xlsx
live_sem_ref,2026-04-02,ARGENTINA 1,Talleres x Boca Juniors,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260402.xlsx
live_sem_ref,2026-04-02,ARGENTINA 1,Talleres x Boca Juniors,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260402.xlsx
live_sem_ref,2026-04-02,ARGENTINA 1,Tigre x Independiente Rivadavia,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260402.xlsx
live_sem_ref,2026-04-02,ARGENTINA 1,Tigre x Independiente Rivadavia,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260402.xlsx
live_sem_ref,2026-04-02,BRAZIL 1,Chapecoense x Atletico MG,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260402.xlsx
live_sem_ref,2026-04-02,BRAZIL 1,Chapecoense x Atletico MG,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260402.xlsx
live_sem_ref,2026-04-02,BRAZIL 1,Red Bull Bragantino x Flamengo,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260402.xlsx
live_sem_ref,2026-04-02,SAUDI ARABIA 1,Al-Jndal x Jeddah Club,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260402.xlsx
live_sem_ref,2026-04-02,SAUDI ARABIA 1,Al-Jndal x Jeddah Club,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260402.xlsx
live_sem_ref,2026-04-02,SAUDI ARABIA 1,Al-Zulfi SC x Al-Anwar Club,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260402.xlsx
live_sem_ref,2026-04-02,SAUDI ARABIA 1,Al-Zulfi SC x Al-Anwar Club,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260402.xlsx
ref_sem_live,2026-04-02,BRAZIL 1,Bragantino vs Flamengo RJ,Lay_CS_0x1_B365,faltou_no_dia,
ref_sem_live,2026-04-02,BRAZIL 1,Chapecoense-SC vs Atletico-MG,Lay_CS_0x1_B365,faltou_no_dia,
live_sem_ref,2026-04-03,NETHERLANDS 2,MVV Maastricht x RKC Waalwijk,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260403.xlsx
ref_sem_live,2026-04-03,SWEDEN 2,Helsingborg vs Oster,Lay_CS_0x1_B365,faltou_no_dia,
live_sem_ref,2026-04-04,CZECH 1,Dukla Prague x Pardubice,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,CZECH 1,Dukla Prague x Pardubice,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,FINLAND 1,Jaro x Lahti,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,FRANCE 2,Montpellier x ESTAC Troyes,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,FRANCE 2,Montpellier x ESTAC Troyes,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,GREECE 1,Asteras Tripolis x Athlitiki Enosi Larissa,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,GREECE 1,Asteras Tripolis x Athlitiki Enosi Larissa,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,POLAND 1,Rakow Czestochowa x Widzew Lodz,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,POLAND 1,Rakow Czestochowa x Widzew Lodz,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,PORTUGAL 2,Farense x Feirense,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,PORTUGAL 2,Farense x Feirense,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,ROMANIA 1,Otelul Galati x Hermannstadt,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,ROMANIA 1,Otelul Galati x Hermannstadt,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,SLOVAKIA 1,Tatran Presov x Ruzomberok,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,SLOVAKIA 1,Tatran Presov x Ruzomberok,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,SLOVAKIA 1,Zemplin x Zilina,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,SPAIN 1,Mallorca x Real Madrid,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,SPAIN 2,Albacete x Burgos,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,SPAIN 2,Albacete x Burgos,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,SPAIN 2,Cadiz x Cordoba,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,SPAIN 2,Leonesa x Valladolid,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,SPAIN 2,Leonesa x Valladolid,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,TURKEY 1,Gaziantep FK x Alanyaspor,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260404.xlsx
live_sem_ref,2026-04-04,TURKEY 1,Gaziantep FK x Alanyaspor,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260404.xlsx
ref_sem_live,2026-04-04,SPAIN 1,Real Sociedad vs Levante,Lay_CS_1x0_B365,faltou_no_dia,
live_sem_ref,2026-04-05,SPAIN 1,Valencia x Celta Vigo,Lay_CS_0x1_B365,divergencia_de_chave,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,CHINA 1,Tianjin Jinmen Tiger FC x Shanghai Shenhua,Lay_CS_0x1_B365,fora_liga,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,BRAZIL 1,Bahia x SE Palmeiras,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,BRAZIL 1,Bahia x SE Palmeiras,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,BRAZIL 1,Chapecoense x EC Vitoria Salvador,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,BRAZIL 1,Chapecoense x EC Vitoria Salvador,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,BRAZIL 1,Corinthians x Internacional,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,BRAZIL 1,Corinthians x Internacional,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,CHILE 1,Deportes Concepcion x Colo Colo,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,CZECH 1,Banik Ostrava x Slavia Prague,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,FRANCE 1,Angers x Lyon,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,FRANCE 1,Le Havre x Auxerre,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,FRANCE 1,Le Havre x Auxerre,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,FRANCE 1,Lorient x Paris FC,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,FRANCE 1,Lorient x Paris FC,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,FRANCE 1,Metz x Nantes,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,FRANCE 1,Metz x Nantes,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,GERMANY 1,Union Berlin x St Pauli,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,GERMANY 1,Union Berlin x St Pauli,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,ISRAEL 1,FC Ashdod x Maccabi Netanya,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,NETHERLANDS 1,FC Volendam x Feyenoord,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,SAUDI ARABIA 1,Al Riyadh SC x Al-Shabab (KSA),Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,SAUDI ARABIA 1,Al-Akhdoud x Al-Fateh (KSA),Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,SPAIN 1,Alaves x Osasuna,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
