Data_Arquivo,Horario_Entrada,Metodo,Odd_Exec,Resultado_1_0,Responsabilidade_Sugerida_R$,Jogo,Liga,PNL_Flat,Odd_Base,1/0,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,PnL_Linha,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase
2026-01-30,14:00,Lay_CS_0x1_B365,9.0,0,250.0,Kasimpasa vs Samsunspor,TURKEY 1,-8.0,9.0,0,9.0,0,9.0,,2026-01-30,EXECUTED,,-500.0,-500.0,500.0,500.0,-500.0,1.0,Sem_Rampa
2026-01-30,14:00,Lay_CS_0x1_B365,9.23,1,250.0,Antalyaspor vs Trabzonspor,TURKEY 1,0.95,9.23,1,9.23,1,9.23,,2026-01-30,EXECUTED,,56.804374240583236,-443.19562575941677,500.0,500.0,-443.19562575941677,1.0,Sem_Rampa
2026-01-30,16:00,Lay_CS_0x1_B365,9.43,1,250.0,Montpellier vs Guingamp,FRANCE 2,0.95,9.43,1,9.43,1,9.43,,2026-01-30,EXECUTED,,55.45670225385528,-387.7389235055615,500.0,500.0,-387.7389235055615,1.0,Sem_Rampa
2026-01-30,16:30,Lay_CS_0x1_B365,9.23,1,250.0,Sociedad B vs Las Palmas,SPAIN 2,0.95,9.23,1,9.23,1,9.23,,2026-01-30,EXECUTED,,56.804374240583236,-330.9345492649783,500.0,500.0,-330.9345492649783,1.0,Sem_Rampa
2026-02-01,10:30,Lay_CS_0x1_B365,9.83,1,250.0,Pro Vercelli vs Novara,ITALY 3,0.95,9.83,1,9.83,1,9.83,,2026-02-01,EXECUTED,,52.94450736126841,-277.9900419037099,500.0,500.0,-277.9900419037099,1.0,Sem_Rampa
2026-02-01,12:30,Lay_CS_0x1_B365,9.03,1,250.0,Gil Vicente vs Famalicao,PORTUGAL 1,0.95,9.03,1,9.03,1,9.03,,2026-02-01,EXECUTED,,58.21917808219179,-219.7708638215181,500.0,500.0,-219.7708638215181,1.0,Sem_Rampa
2026-02-01,14:30,Lay_CS_0x1_B365,9.63,1,250.0,Huesca vs Cadiz,SPAIN 2,0.95,9.63,1,9.63,1,9.63,,2026-02-01,EXECUTED,,54.171494785631516,-165.59936903588658,500.0,500.0,-165.59936903588658,1.0,Sem_Rampa
2026-02-22,08:15,Lay_CS_0x1_B365,9.03,1,250.0,Arka Gdynia vs GKS Katowice,POLAND 1,0.95,9.03,1,9.03,1,9.03,,2026-02-22,EXECUTED,,58.21917808219179,-107.3801909536948,500.0,500.0,-107.3801909536948,1.0,Sem_Rampa
2026-02-22,11:30,Lay_CS_0x1_B365,9.03,1,250.0,Ruzomberok vs Slovan Bratislava,SLOVAKIA 1,0.95,9.03,1,9.03,1,9.03,,2026-02-22,EXECUTED,,58.21917808219179,-49.161012871503004,500.0,500.0,-49.161012871503004,1.0,Sem_Rampa
2026-03-03,15:00,Lay_CS_0x1_B365,9.23,1,250.0,Padova vs Spezia,ITALY 2,0.95,9.23,1,9.23,1,9.23,,2026-03-03,EXECUTED,,56.804374240583236,7.643361369080232,500.0,500.0,7.643361369080232,1.0,Sem_Rampa
2026-03-03,17:15,Lay_CS_0x1_B365,9.43,1,250.0,Wolves vs Liverpool,ENGLAND 1,0.95,9.43,1,9.43,1,9.43,,2026-03-03,EXECUTED,,55.45670225385528,63.100063622935515,500.0,500.0,63.100063622935515,1.0,Sem_Rampa
2026-03-15,10:00,Lay_CS_0x1_B365,9.83,1,250.0,Mallorca vs Espanyol,SPAIN 1,0.95,9.83,1,9.83,1,9.83,,2026-03-15,EXECUTED,,52.94450736126841,116.04457098420392,500.0,500.0,116.04457098420392,1.0,Sem_Rampa
2026-03-15,10:30,Lay_CS_0x1_B365,9.6,1,250.0,Kolos Kovalivka vs FK Zorya Luhansk,UKRAINE 1,0.95,9.6,1,9.6,1,9.6,,2026-03-15,EXECUTED,,54.36046511627907,170.405036100483,500.0,500.0,170.405036100483,1.0,Sem_Rampa
2026-03-15,10:30,Lay_CS_0x1_B365,9.43,1,250.0,Kristiansund vs Brann,NORWAY 1,0.95,9.43,1,9.43,1,9.43,,2026-03-15,EXECUTED,,55.45670225385528,225.86173835433829,500.0,500.0,225.86173835433829,1.0,Sem_Rampa
2026-03-15,13:00,Lay_CS_0x1_B365,9.23,1,250.0,Austria Wien vs Sturm Graz,AUSTRIA 1,0.95,9.23,1,9.23,1,9.23,,2026-03-15,EXECUTED,,56.804374240583236,282.6661125949215,500.0,500.0,282.6661125949215,1.0,Sem_Rampa
