Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Fonte_Dados,Odd_Exec,Responsabilidade_Sugerida_R$,Resultado_1_0,Placar_FT,Match_Tipo,Swap,Matched,Mes_Ref,Odd_Base,1/0,PnL_Linha,Lucro_Ciclo,Resets_Teto_Acum,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase
2025-08-01,15:30,POLAND 1,Wisla Plock vs Piast Gliwice,Lay_CS_0x1_B365,historico,8.03,312.5,1.0,2x0,alias_exact,False,True,2025-08,8.03,1.0,66.50071123755335,208.30526054759585,0,8.03,1.0,8.03,,2025-08-01,EXECUTED,,66.50071123755335,500.0,500.0,66.50071123755335,1.0,Sem_Rampa
2025-08-01,20:00,CHILE 1,A. Italiano vs Palestino,Lay_CS_0x1_B365,historico,9.53,437.5,1.0,1x1,alias_exact,False,True,2025-08,9.53,1.0,54.80656506447832,285.944817243024,0,9.53,1.0,9.53,,2025-08-01,EXECUTED,,121.30727630203167,500.0,500.0,121.30727630203167,1.0,Sem_Rampa
2025-08-03,08:00,ENGLAND 3,Stockport County vs Bolton,Lay_CS_0x1_B365,historico,9.03,312.5,1.0,2x0,alias_exact,False,True,2025-08,9.03,1.0,58.21917808219179,377.4589397987186,0,9.03,1.0,9.03,,2025-08-03,EXECUTED,,179.52645438422346,500.0,500.0,179.52645438422346,1.0,Sem_Rampa
2025-08-03,08:30,GERMANY 3,Aue vs Hansa Rostock,Lay_CS_0x1_B365,historico,8.53,250.0,1.0,0x0,alias_exact,False,True,2025-08,8.53,1.0,62.08499335989377,486.4130047006842,0,8.53,1.0,8.53,,2025-08-03,EXECUTED,,241.61144774411724,500.0,500.0,241.61144774411724,1.0,Sem_Rampa
2025-08-03,12:30,ROMANIA 1,FC Hermannstadt vs U. Cluj,Lay_CS_0x1_B365,historico,8.03,437.5,1.0,2x2,alias_exact,False,True,2025-08,8.03,1.0,66.50071123755335,684.1080487113727,0,8.03,1.0,8.03,,2025-08-03,EXECUTED,,308.1121589816706,500.0,500.0,308.1121589816706,1.0,Sem_Rampa
2025-08-04,14:00,SERBIA 1,Zeleznicar Pancevo vs Napredak,Lay_CS_0x1_B365,historico,10.03,250.0,1.0,0x0,alias_exact,False,True,2025-08,10.03,1.0,51.7718715393134,742.7656528096132,0,10.03,1.0,10.03,,2025-08-04,EXECUTED,,359.88403052098397,500.0,500.0,359.88403052098397,1.0,Sem_Rampa
2025-08-05,15:45,EUROPA CHAMPIONS LEAGUE,Rangers (Sco) vs Plzen (Cze),Lay_CS_0x1_B365,historico,11.03,312.5,1.0,3x0,alias_exact,False,True,2025-08,11.03,1.0,46.61016949152543,975.3646911905134,0,11.03,1.0,11.03,,2025-08-05,EXECUTED,,406.4942000125094,500.0,500.0,406.4942000125094,1.0,Sem_Rampa
2025-08-05,16:15,ICELAND 1,Akranes vs Valur,Lay_CS_0x1_B365,historico,9.03,250.0,1.0,2x2,alias_exact,False,True,2025-08,9.03,1.0,58.21917808219179,1075.240547445197,0,9.03,1.0,9.03,,2025-08-05,EXECUTED,,464.71337809470117,500.0,500.0,464.71337809470117,1.0,Sem_Rampa
2025-08-08,08:35,CHINA 1,Dalian Yingbo vs Chengdu Rongcheng,Lay_CS_0x1_B365,historico,8.03,250.0,1.0,0x2,alias_exact,False,True,2025-08,8.03,1.0,66.50071123755335,1202.6071265807927,0,8.03,1.0,8.03,,2025-08-08,EXECUTED,,531.2140893322545,500.0,500.0,531.2140893322545,1.0,Sem_Rampa
2025-08-08,13:30,GERMANY 2,Preussen Munster vs Paderborn,Lay_CS_0x1_B365,historico,8.53,312.5,1.0,1x1,alias_exact,False,True,2025-08,8.53,1.0,62.08499335989377,1330.140372592181,0,8.53,1.0,8.53,,2025-08-08,EXECUTED,,593.2990826921483,500.0,500.0,593.2990826921483,1.0,Sem_Rampa
2025-08-10,07:00,SOUTH KOREA 1,Pohang vs Gwangju FC,Lay_CS_0x1_B365,historico,8.03,250.0,1.0,1x0,alias_exact,False,True,2025-08,8.03,1.0,66.50071123755335,1508.1666743670296,0,8.03,1.0,8.03,,2025-08-10,EXECUTED,,659.7997939297017,500.0,500.0,659.7997939297017,1.0,Sem_Rampa
2025-08-10,08:30,GERMANY 3,Regensburg vs Duisburg,Lay_CS_0x1_B365,historico,10.03,375.0,1.0,0x4,alias_exact,False,True,2025-08,10.03,1.0,51.7718715393134,1591.5773252175425,0,10.03,1.0,10.03,,2025-08-10,EXECUTED,,711.5716654690151,500.0,500.0,711.5716654690151,1.0,Sem_Rampa
2025-08-10,12:00,AUSTRIA 1,Tirol vs LASK,Lay_CS_0x1_B365,historico,9.03,437.5,1.0,3x1,alias_exact,False,True,2025-08,9.03,1.0,58.21917808219179,1803.876440047995,0,9.03,1.0,9.03,,2025-08-10,EXECUTED,,769.7908435512069,500.0,500.0,769.7908435512069,1.0,Sem_Rampa
2025-08-11,15:00,NETHERLANDS 2,Jong PSV vs FC Emmen,Lay_CS_0x1_B365,historico,11.03,375.0,1.0,3x1,alias_exact,False,True,2025-08,11.03,1.0,46.61016949152543,1914.1329991378489,0,11.03,1.0,11.03,,2025-08-11,EXECUTED,,816.4010130427323,500.0,500.0,816.4010130427323,1.0,Sem_Rampa
2025-08-11,20:00,CHILE 1,Limache vs A. Italiano,Lay_CS_0x1_B365,historico,8.53,437.5,1.0,4x0,alias_exact,False,True,2025-08,8.53,1.0,62.08499335989377,2075.09314570643,0,8.53,1.0,8.53,,2025-08-11,EXECUTED,,878.4860064026261,500.0,500.0,878.4860064026261,1.0,Sem_Rampa
