Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,1/0,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,PnL_Linha,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase
2026-04-01,14:00:00,SPAIN 2,Andorra CF x Malaga,Lay_CS_1x0_B365,11.0,1.0,11.0,1.0,11.0,,2026-04-01,EXECUTED,,14.025,14.025,500.0,514.025,14.025,0.3,Fase_1_30pct
2026-04-02,17:30:00,ARGENTINA 1,Tigre x Independiente Rivadavia,Lay_CS_0x1_B365,11.0,1.0,11.0,1.0,11.0,,2026-04-02,EXECUTED,,14.418401249999999,28.44340125,500.0,528.44340125,28.44340125,0.3,Fase_1_30pct
2026-04-02,19:00:00,BRAZIL 1,Chapecoense x Atletico MG,Lay_CS_0x1_B365,8.6,1.0,8.6,1.0,8.6,,2026-04-02,EXECUTED,,19.503733427713815,47.94713467771382,500.0,547.9471346777137,47.94713467771382,0.3,Fase_1_30pct
2026-04-02,20:30:00,ARGENTINA 1,Talleres x Boca Juniors,Lay_CS_0x1_B365,9.2,0.0,9.2,0.0,9.2,,2026-04-02,EXECUTED,,-164.38414040331412,-116.4370057256003,500.0,500.0,-116.4370057256003,0.3,Fase_1_30pct
2026-04-02,21:30:00,BRAZIL 1,Red Bull Bragantino x Flamengo,Lay_CS_0x1_B365,8.6,1.0,8.6,1.0,8.6,,2026-04-02,EXECUTED,,18.453947368421055,-97.98305835717925,500.0,518.453947368421,-97.98305835717925,0.3,Fase_1_30pct
2026-04-03,14:30:00,ROMANIA 1,Botosani x FCSB,Lay_CS_0x1_B365,9.8,1.0,9.8,1.0,9.8,,2026-04-03,EXECUTED,,16.52571957236842,-81.45733878481083,500.0,534.9796669407895,-81.45733878481083,0.3,Fase_1_30pct
2026-04-03,15:00:00,FRANCE 2,Annecy x Guingamp,Lay_CS_0x1_B365,10.5,0.0,10.5,0.0,10.5,,2026-04-03,EXECUTED,,-160.49390008223682,-241.95123886704766,500.0,500.0,-241.95123886704766,0.3,Fase_1_30pct
2026-04-03,15:00:00,FRANCE 2,Grenoble x Clermont,Lay_CS_0x1_B365,10.5,1.0,10.5,1.0,10.5,,2026-04-03,EXECUTED,,14.763157894736842,-227.18808097231081,500.0,514.7631578947369,-227.18808097231081,0.3,Fase_1_30pct
2026-04-03,15:45:00,IRELAND 2,Athlone Town x UCD,Lay_CS_0x1_B365,9.4,1.0,9.4,1.0,9.4,,2026-04-03,EXECUTED,,17.189412593984965,-209.99866837832585,500.0,531.9525704887218,-209.99866837832585,0.3,Fase_1_30pct
2026-04-03,15:45:00,IRELAND 2,Kerry FC x Cobh Ramblers,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-03,EXECUTED,,14.210732954484426,-195.78793542384142,500.0,546.1633034432062,-195.78793542384142,0.3,Fase_1_30pct
2026-04-04,09:00:00,SPAIN 2,Cadiz x Cordoba,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-04,EXECUTED,,14.590362534839938,-181.1975728890015,500.0,560.7536659780462,-181.1975728890015,0.3,Fase_1_30pct
2026-04-04,09:00:00,ROMANIA 1,Otelul Galati x Hermannstadt,Lay_CS_0x1_B365,10.5,1.0,10.5,1.0,10.5,,2026-04-04,EXECUTED,,16.556989821772838,-164.64058306722865,500.0,577.3106557998191,-164.64058306722865,0.3,Fase_1_30pct
2026-04-04,10:00:00,CZECH 1,Dukla Prague x Pardubice,Lay_CS_0x1_B365,9.4,1.0,9.4,1.0,9.4,,2026-04-04,EXECUTED,,19.278052256172526,-145.36253081105613,500.0,596.5887080559916,-145.36253081105613,0.3,Fase_1_30pct
2026-04-04,10:30:00,SLOVAKIA 1,Zemplin x Zilina,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-04,EXECUTED,,15.937441200924344,-129.42508961013178,500.0,612.5261492569159,-129.42508961013178,0.3,Fase_1_30pct
2026-04-04,11:15:00,SPAIN 2,Albacete x Burgos,Lay_CS_0x1_B365,9.6,1.0,9.6,1.0,9.6,,2026-04-04,EXECUTED,,19.978323821693596,-109.44676578843819,500.0,632.5044730786095,-109.44676578843819,0.3,Fase_1_30pct
2026-04-04,11:15:00,SPAIN 2,Albacete x Burgos,Lay_CS_1x0_B365,7.6,1.0,7.6,1.0,7.6,,2026-04-04,EXECUTED,,26.88144010584091,-82.56532568259728,500.0,659.3859131844504,-82.56532568259728,0.3,Fase_1_30pct
2026-04-04,11:15:00,SPAIN 1,Mallorca x Real Madrid,Lay_CS_0x1_B365,10.0,1.0,10.0,1.0,10.0,,2026-04-04,EXECUTED,,20.55086096091537,-62.014464721681904,500.0,679.9367741453657,-62.014464721681904,0.3,Fase_1_30pct
2026-04-04,13:30:00,SPAIN 2,Leonesa x Valladolid,Lay_CS_0x1_B365,9.8,1.0,9.8,1.0,9.8,,2026-04-04,EXECUTED,,21.672984675883527,-40.34148004579838,500.0,701.6097588212492,-40.34148004579838,0.3,Fase_1_30pct
2026-04-04,13:30:00,SPAIN 2,Leonesa x Valladolid,Lay_CS_1x0_B365,11.0,0.0,11.0,0.0,11.0,,2026-04-04,EXECUTED,,-210.48292764637475,-250.8244076921731,500.0,500.0,-250.8244076921731,0.3,Fase_1_30pct
2026-04-05,09:30:00,NETHERLANDS 1,FC Volendam x Feyenoord,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-05,EXECUTED,,13.35714285714286,-237.46726483503025,500.0,513.3571428571429,-237.46726483503025,0.3,Fase_1_30pct
2026-04-05,10:00:00,FRANCE 1,Angers x Lyon,Lay_CS_0x1_B365,8.6,1.0,8.6,1.0,8.6,,2026-04-05,EXECUTED,,18.946931390977447,-218.5203334440528,500.0,532.3040742481203,-218.5203334440528,0.3,Fase_1_30pct
2026-04-05,10:00:00,SWEDEN 2,Sundsvall x United IK Nordic,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-05,EXECUTED,,14.220123126342644,-204.30021031771014,500.0,546.5241973744629,-204.30021031771014,0.3,Fase_1_30pct
2026-04-05,10:30:00,CZECH 1,Banik Ostrava x Slavia Prague,Lay_CS_0x1_B365,10.0,1.0,10.0,1.0,10.0,,2026-04-05,EXECUTED,,17.03333748483743,-187.2668728328727,500.0,563.5575348593003,-187.2668728328727,0.3,Fase_1_30pct
2026-04-05,11:15:00,SPAIN 1,Valencia x Celta Vigo,Lay_CS_0x1_B365,10.5,1.0,10.5,1.0,10.5,,2026-04-05,EXECUTED,,16.639777739793026,-170.62709509307967,500.0,580.1973125990933,-170.62709509307967,0.3,Fase_1_30pct
2026-04-05,11:15:00,SPAIN 1,Valencia x Celta Vigo,Lay_CS_1x0_B365,8.6,1.0,8.6,1.0,8.6,,2026-04-05,EXECUTED,,21.413861340006008,-149.21323375307367,500.0,601.6111739390992,-149.21323375307367,0.3,Fase_1_30pct
2026-04-05,12:15:00,FRANCE 1,Le Havre x Auxerre,Lay_CS_0x1_B365,9.8,1.0,9.8,1.0,9.8,,2026-04-05,EXECUTED,,19.176356169308786,-130.0368775837649,500.0,620.787530108408,-130.0368775837649,0.3,Fase_1_30pct
2026-04-05,12:15:00,FRANCE 1,Lorient x Paris FC,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-05,EXECUTED,,16.583895447181757,-113.45298213658313,500.0,637.3714255555897,-113.45298213658313,0.3,Fase_1_30pct
2026-04-05,12:15:00,FRANCE 1,Metz x Nantes,Lay_CS_0x1_B365,9.6,1.0,9.6,1.0,9.6,,2026-04-05,EXECUTED,,20.788684287016615,-92.66429784956651,500.0,658.1601098426063,-92.66429784956651,0.3,Fase_1_30pct
2026-04-05,12:55:00,SAUDI ARABIA 1,Al-Akhdoud x Al-Fateh (KSA),Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-05,EXECUTED,,17.582277220081057,-75.08202062948546,500.0,675.7423870626874,-75.08202062948546,0.3,Fase_1_30pct
2026-04-05,13:30:00,SPAIN 1,Oviedo x Sevilla,Lay_CS_0x1_B365,8.4,1.0,8.4,1.0,8.4,,2026-04-05,EXECUTED,,25.61428913122754,-49.46773149825792,500.0,701.356676193915,-49.46773149825792,0.3,Fase_1_30pct
2026-04-05,13:30:00,SPAIN 1,Oviedo x Sevilla,Lay_CS_1x0_B365,8.8,0.0,8.8,0.0,8.8,,2026-04-05,EXECUTED,,-210.40700285817448,-259.8747343564324,500.0,500.0,-259.8747343564324,0.3,Fase_1_30pct
2026-04-05,16:00:00,SPAIN 1,Alaves x Osasuna,Lay_CS_0x1_B365,9.8,1.0,9.8,1.0,9.8,,2026-04-05,EXECUTED,,15.937499999999998,-243.93723435643238,500.0,515.9375,-243.93723435643238,0.3,Fase_1_30pct
2026-04-05,16:00:00,SPAIN 1,Alaves x Osasuna,Lay_CS_1x0_B365,9.4,1.0,9.4,1.0,9.4,,2026-04-05,EXECUTED,,17.228627232142856,-226.70860712428953,500.0,533.1661272321428,-226.70860712428953,0.3,Fase_1_30pct
2026-04-05,16:00:00,BRAZIL 1,Chapecoense x EC Vitoria Salvador,Lay_CS_0x1_B365,11.0,1.0,11.0,1.0,11.0,,2026-04-05,EXECUTED,,14.955309868861606,-211.75329725542792,500.0,548.1214371010044,-211.75329725542792,0.3,Fase_1_30pct
2026-04-05,16:30:00,CHILE 1,Deportes Concepcion x Colo Colo,Lay_CS_0x1_B365,8.8,0.0,8.8,0.0,8.8,,2026-04-05,EXECUTED,,-164.43643113030132,-376.18972838572927,500.0,500.0,-376.18972838572927,0.3,Fase_1_30pct
2026-04-05,19:30:00,BRAZIL 1,Bahia x SE Palmeiras,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-05,EXECUTED,,13.35714285714286,-362.83258552858643,500.0,513.3571428571429,-362.83258552858643,0.3,Fase_1_30pct
2026-04-05,19:30:00,BRAZIL 1,Corinthians x Internacional,Lay_CS_0x1_B365,11.5,0.0,11.5,0.0,11.5,,2026-04-05,EXECUTED,,-154.00714285714287,-516.8397283857294,500.0,500.0,-516.8397283857294,0.3,Fase_1_30pct
2026-04-06,07:15:00,POLAND 1,Nieciecza x Piast Gliwice,Lay_CS_0x1_B365,10.5,1.0,10.5,1.0,10.5,,2026-04-06,EXECUTED,,14.763157894736842,-502.07657049099254,500.0,514.7631578947369,-502.07657049099254,0.3,Fase_1_30pct
2026-04-06,07:30:00,ITALY 3,FC Giugliano x Crotone,Lay_CS_0x1_B365,11.0,1.0,11.0,1.0,11.0,,2026-04-06,EXECUTED,,14.43910657894737,-487.6374639120452,500.0,529.2022644736843,-487.6374639120452,0.3,Fase_1_30pct
2026-04-06,09:00:00,SWITZERLAND 1,Grasshoppers Zurich x Sion,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-06,EXECUTED,,14.137260493796994,-473.5002034182482,500.0,543.3395249674813,-473.5002034182482,0.3,Fase_1_30pct
2026-04-06,09:00:00,SWITZERLAND 2,Stade Nyonnais x Yverdon Sport,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-06,EXECUTED,,14.514927309845572,-458.9852761084026,500.0,557.8544522773269,-458.9852761084026,0.3,Fase_1_30pct
2026-04-06,09:00:00,DENMARK 1,Vejle x Randers,Lay_CS_0x1_B365,11.0,1.0,11.0,1.0,11.0,,2026-04-06,EXECUTED,,15.64781738637902,-443.3374587220236,500.0,573.502269663706,-443.3374587220236,0.3,Fase_1_30pct
2026-04-06,09:30:00,ITALY 3,Aurora Pro Patria 1919 x Triestina,Lay_CS_0x1_B365,10.0,1.0,10.0,1.0,10.0,,2026-04-06,EXECUTED,,17.874154071185504,-425.4633046508381,500.0,591.3764237348915,-425.4633046508381,0.3,Fase_1_30pct
2026-04-06,09:30:00,ITALY 3,Salernitana x Benevento,Lay_CS_0x1_B365,9.4,0.0,9.4,0.0,9.4,,2026-04-06,EXECUTED,,-177.41292712046746,-602.8762317713056,500.0,500.0,-602.8762317713056,0.3,Fase_1_30pct
2026-04-06,12:00:00,NORWAY 1,Ham-Kam x Brann,Lay_CS_0x1_B365,10.5,1.0,10.5,1.0,10.5,,2026-04-06,EXECUTED,,14.763157894736842,-588.1130738765687,500.0,514.7631578947369,-588.1130738765687,0.3,Fase_1_30pct
2026-04-06,12:30:00,ITALY 3,Albinoleffe x Pergolettese,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-06,EXECUTED,,13.751530075187972,-574.3615438013808,500.0,528.5146879699248,-574.3615438013808,0.3,Fase_1_30pct
2026-04-06,14:00:00,TURKEY 1,Kocaelispor x Basaksehir,Lay_CS_0x1_B365,9.8,1.0,9.8,1.0,9.8,,2026-04-06,EXECUTED,,16.846405679041354,-557.5151381223394,500.0,545.3610936489662,-557.5151381223394,0.3,Fase_1_30pct
2026-04-06,14:00:00,PORTUGAL 2,Porto B x Chaves,Lay_CS_0x1_B365,8.8,1.0,8.8,1.0,8.8,,2026-04-06,EXECUTED,,19.612023944683976,-537.9031141776554,500.0,564.9731175936502,-537.9031141776554,0.3,Fase_1_30pct
2026-04-06,16:45:00,PORTUGAL 1,Casa Pia x Benfica,Lay_CS_0x1_B365,10.5,1.0,10.5,1.0,10.5,,2026-04-06,EXECUTED,,16.681574682633567,-521.2215394950218,500.0,581.6546922762838,-521.2215394950218,0.3,Fase_1_30pct
2026-04-06,21:00:00,BRAZIL 2,Goias x Criciuma,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-06,EXECUTED,,15.53848963652358,-505.68304985849824,500.0,597.1931819128073,-505.68304985849824,0.3,Fase_1_30pct
2026-04-06,21:15:00,ARGENTINA 1,Instituto x Defensa y Justicia,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-06,EXECUTED,,15.953589288242137,-489.7294605702561,500.0,613.1467712010494,-489.7294605702561,0.3,Fase_1_30pct
2026-04-07,14:00:00,POLAND 1,Arka Gdynia x Zaglebie Lubin,Lay_CS_0x1_B365,9.8,1.0,9.8,1.0,9.8,,2026-04-07,EXECUTED,,19.54405333203345,-470.18540723822264,500.0,632.6908245330828,-470.18540723822264,0.3,Fase_1_30pct
2026-04-07,14:00:00,GERMANY 3,Duisburg x VfL Osnabruck,Lay_CS_0x1_B365,9.2,1.0,9.2,1.0,9.2,,2026-04-07,EXECUTED,,21.642655644088993,-448.5427515941336,500.0,654.3334801771719,-448.5427515941336,0.3,Fase_1_30pct
2026-04-07,16:00:00,EUROPA CHAMPIONS LEAGUE,Sporting Lisbon x Arsenal,Lay_CS_0x1_B365,8.4,1.0,8.4,1.0,8.4,,2026-04-07,EXECUTED,,24.8027758364455,-423.7399757576881,500.0,679.1362560136173,-423.7399757576881,0.3,Fase_1_30pct
2026-04-07,16:01:00,EUROPA CHAMPIONS LEAGUE,Sporting Lisbon x Arsenal,Lay_CS_0x1_B365,8.6,1.0,8.6,1.0,8.6,,2026-04-07,EXECUTED,,25.06548944892364,-398.6744863087645,500.0,704.2017454625409,-398.6744863087645,0.3,Fase_1_30pct
2026-04-08,08:30:00,TURKEY 2,Serik Belediyespor x Van Buyuksehir Belediyespor,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-08,EXECUTED,,37.624493257570045,-361.0499930511944,500.0,741.826238720111,-361.0499930511944,0.6,Fase_2_60pct
