Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,1/0
2025-08-01,15:30,POLAND 1,Wisla Plock vs Piast Gliwice,Lay_CS_0x1_B365,8.03,1.0
2025-08-01,20:00,CHILE 1,A. Italiano vs Palestino,Lay_CS_0x1_B365,9.53,1.0
2025-08-03,08:00,ENGLAND 3,Stockport County vs Bolton,Lay_CS_0x1_B365,9.03,1.0
2025-08-03,08:30,GERMANY 3,Aue vs Hansa Rostock,Lay_CS_0x1_B365,8.53,1.0
2025-08-03,12:30,ROMANIA 1,FC Hermannstadt vs U. Cluj,Lay_CS_0x1_B365,8.03,1.0
2025-08-04,14:00,SERBIA 1,Zeleznicar Pancevo vs Napredak,Lay_CS_0x1_B365,10.03,1.0
2025-08-05,15:45,EUROPA CHAMPIONS LEAGUE,Rangers (Sco) vs Plzen (Cze),Lay_CS_0x1_B365,11.03,1.0
2025-08-05,16:15,ICELAND 1,Akranes vs Valur,Lay_CS_0x1_B365,9.03,1.0
2025-08-08,08:35,CHINA 1,Dalian Yingbo vs Chengdu Rongcheng,Lay_CS_0x1_B365,8.03,1.0
2025-08-08,13:30,GERMANY 2,Preussen Munster vs Paderborn,Lay_CS_0x1_B365,8.53,1.0
2025-08-10,07:00,SOUTH KOREA 1,Pohang vs Gwangju FC,Lay_CS_0x1_B365,8.03,1.0
2025-08-10,08:30,GERMANY 3,Regensburg vs Duisburg,Lay_CS_0x1_B365,10.03,1.0
2025-08-10,12:00,AUSTRIA 1,Tirol vs LASK,Lay_CS_0x1_B365,9.03,1.0
2025-08-11,15:00,NETHERLANDS 2,Jong PSV vs FC Emmen,Lay_CS_0x1_B365,11.03,1.0
2025-08-11,20:00,CHILE 1,Limache vs A. Italiano,Lay_CS_0x1_B365,8.53,1.0
2025-08-12,14:00,EUROPA CHAMPIONS LEAGUE,FC Copenhagen (Den) vs Malmo FF (Swe),Lay_CS_0x1_B365,11.03,1.0
2025-08-15,07:00,SOUTH KOREA 1,Jeju SK vs Gangwon,Lay_CS_0x1_B365,10.03,1.0
2025-08-15,14:00,SPAIN 1,Girona vs Rayo Vallecano,Lay_CS_0x1_B365,8.53,1.0
2025-08-15,14:30,FRANCE 3,Dijon vs Rouen,Lay_CS_0x1_B365,8.03,1.0
2025-08-17,07:00,SOUTH KOREA 1,Gimcheon Sangmu vs Seoul,Lay_CS_0x1_B365,8.03,1.0
2025-08-17,08:30,BELGIUM 1,Dender vs Anderlecht,Lay_CS_0x1_B365,8.53,1.0
2025-08-17,10:00,FRANCE 1,Brest vs Lille,Lay_CS_0x1_B365,9.53,1.0
2025-08-17,10:15,ROMANIA 1,Csikszereda M. Ciuc vs Univ. Craiova,Lay_CS_0x1_B365,8.03,1.0
2025-08-18,15:00,NETHERLANDS 2,Jong Utrecht vs Den Haag,Lay_CS_0x1_B365,9.03,1.0
2025-08-18,15:45,FRANCE 2,Le Mans vs Montpellier,Lay_CS_0x1_B365,8.53,1.0
2025-08-19,19:00,COPA LIBERTADORES,Velez Sarsfield (Arg) vs Fortaleza (Bra),Lay_CS_0x1_B365,9.03,1.0
2025-08-21,19:00,COPA LIBERTADORES,LDU Quito (Ecu) vs Botafogo RJ (Bra),Lay_CS_0x1_B365,11.03,1.0
2025-08-22,07:00,JAPAN 1,Kashiwa Reysol vs Urawa Reds,Lay_CS_0x1_B365,10.03,1.0
2025-08-22,14:30,FRANCE 3,Le Puy-en-Velay vs Chateauroux,Lay_CS_0x1_B365,9.53,1.0
2025-08-22,15:00,BELGIUM 2,Gent U23 vs Beerschot VA,Lay_CS_0x1_B365,8.03,1.0
2025-08-24,07:00,SOUTH KOREA 1,Anyang vs Daejeon,Lay_CS_0x1_B365,8.03,1.0
2025-08-24,08:30,GERMANY 3,Ingolstadt vs Hansa Rostock,Lay_CS_0x1_B365,10.03,1.0
2025-08-24,09:45,POLAND 1,Piast Gliwice vs Cracovia,Lay_CS_0x1_B365,9.03,1.0
