Fold,Estrategia,Segmento,Data_Inicio,Data_Fim,Dias,Linhas_Entrada,Linhas_Apos_Filtro,Entradas_Executadas,Entradas_Skipadas,Win_Rate_Executadas_%,Lucro_Final,Max_Drawdown_Abs,Max_Drawdown_%,Step_Ups,Step_Downs,Saques_Realizados,Profit_Factor
1,Baseline_Sem_Filtro,treino,2025-08-01,2025-11-20,90,256,256,256,0,94.53,18628.52,3402.96,18.27,3,0,1,2.218
1,Atual_Filtrada,treino,2025-08-01,2025-11-20,90,256,175,175,0,98.86,28435.4,2514.39,8.84,4,0,2,6.7383
1,Baseline_Sem_Filtro,teste,2025-11-21,2025-12-04,14,38,38,38,0,89.47,324.7,587.57,142.97,0,0,0,1.33
1,Atual_Filtrada,teste,2025-11-21,2025-12-04,14,38,25,25,0,96.0,116.67,579.43,124.42,0,0,0,1.2014
2,Baseline_Sem_Filtro,treino,2025-08-22,2025-12-04,90,248,248,248,0,93.15,13704.08,7033.4,49.73,3,1,1,1.5749
2,Atual_Filtrada,treino,2025-08-22,2025-12-04,90,248,171,171,0,98.25,22389.72,3851.98,15.7,4,0,1,4.6111
2,Baseline_Sem_Filtro,teste,2025-12-05,2025-12-21,14,37,37,37,0,94.59,613.56,590.61,54.08,0,0,0,1.7377
2,Atual_Filtrada,teste,2025-12-05,2025-12-21,14,37,26,26,0,100.0,904.39,0.0,0.0,0,0,0,999.0
3,Baseline_Sem_Filtro,treino,2025-09-11,2025-12-21,90,244,244,244,0,93.44,17337.78,3868.59,22.01,3,0,1,2.0637
3,Atual_Filtrada,treino,2025-09-11,2025-12-21,90,244,165,165,0,98.18,25826.82,1000.0,3.87,4,0,1,16.9577
3,Baseline_Sem_Filtro,teste,2025-12-22,2026-01-09,14,26,26,26,0,92.31,297.97,467.78,156.99,0,0,0,1.462
3,Atual_Filtrada,teste,2025-12-22,2026-01-09,14,26,19,19,0,94.74,389.14,224.53,57.7,0,0,0,2.7331
4,Baseline_Sem_Filtro,treino,2025-09-26,2026-01-09,90,229,229,229,0,93.01,6544.37,3711.86,46.6,2,0,0,1.4773
4,Atual_Filtrada,treino,2025-09-26,2026-01-09,90,229,160,160,0,98.12,23208.55,2412.83,10.4,4,0,1,8.1322
4,Baseline_Sem_Filtro,teste,2026-01-10,2026-01-25,14,29,29,29,0,89.66,32.79,729.53,739.52,0,0,0,1.0367
4,Atual_Filtrada,teste,2026-01-10,2026-01-25,14,29,17,17,0,94.12,348.68,193.68,55.55,0,0,0,2.8003
5,Baseline_Sem_Filtro,treino,2025-10-12,2026-01-25,90,221,221,221,0,93.21,16464.19,4547.37,27.62,3,0,1,2.0256
5,Atual_Filtrada,treino,2025-10-12,2026-01-25,90,221,154,154,0,98.05,19145.27,2207.09,11.53,3,0,1,4.9133
5,Baseline_Sem_Filtro,teste,2026-01-26,2026-02-15,14,37,37,37,0,97.3,1161.62,185.84,16.0,0,0,0,7.2506
5,Atual_Filtrada,teste,2026-01-26,2026-02-15,14,37,26,26,0,96.15,743.26,176.38,23.73,0,0,0,5.2139
6,Baseline_Sem_Filtro,treino,2025-10-29,2026-02-15,90,216,216,216,0,93.98,16133.33,4939.52,30.62,2,0,1,1.7232
6,Atual_Filtrada,treino,2025-10-29,2026-02-15,90,216,148,148,0,97.3,15995.49,2207.09,13.8,2,0,1,3.9779
6,Baseline_Sem_Filtro,teste,2026-02-16,2026-03-03,14,28,28,28,0,85.71,-456.58,781.47,366.64,0,0,0,0.6434
6,Atual_Filtrada,teste,2026-02-16,2026-03-03,14,28,16,16,0,87.5,118.59,255.6,215.53,0,0,0,1.3532
7,Baseline_Sem_Filtro,treino,2025-11-14,2026-03-03,90,208,208,208,0,92.31,3896.23,5550.28,64.04,2,0,0,1.1564
7,Atual_Filtrada,treino,2025-11-14,2026-03-03,90,208,139,139,0,95.68,12221.33,4251.68,30.7,2,0,0,1.9299
7,Baseline_Sem_Filtro,teste,2026-03-04,2026-03-20,14,36,36,36,0,91.67,155.05,555.82,137.8,0,0,0,1.1433
7,Atual_Filtrada,teste,2026-03-04,2026-03-20,14,36,23,23,0,100.0,771.91,0.0,0.0,0,0,0,999.0
8,Baseline_Sem_Filtro,treino,2025-11-29,2026-03-20,90,207,207,207,0,91.79,4510.12,5615.33,64.67,2,0,0,1.1421
8,Atual_Filtrada,treino,2025-11-29,2026-03-20,90,207,135,135,0,95.56,11914.73,4251.68,35.68,2,0,0,2.1064
8,Baseline_Sem_Filtro,teste,2026-03-23,2026-04-07,14,35,35,35,0,94.29,329.97,547.79,83.5,0,0,0,1.3785
8,Atual_Filtrada,teste,2026-03-23,2026-04-07,14,35,28,28,0,100.0,1025.19,0.0,0.0,0,0,0,999.0
