Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Fonte_Dados,Odd_Exec,Responsabilidade_Sugerida_R$,Resultado_1_0,Placar_FT,Match_Tipo,Swap,Matched,Mes_Ref,Odd_Base,1/0,PnL_Linha,Lucro_Ciclo,Resets_Teto_Acum,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase,Fold,Segmento,Estrategia
2025-08-01,13:00,AUSTRIA 2,Stripfing vs First Vienna,Lay_CS_0x1_B365,historico,8.03,250.0,1.0,0x2,alias_exact,False,True,2025-08,8.03,1.0,66.50071123755335,66.50071123755335,0,8.03,1.0,8.03,,2025-08-01,EXECUTED,,66.50071123755335,500.0,500.0,66.50071123755335,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-01,15:00,CROATIA 1,Lok. Zagreb vs Vukovar 1991,Lay_CS_0x1_B365,historico,10.03,375.0,1.0,1x0,alias_exact,False,True,2025-08,10.03,1.0,51.7718715393134,125.15831533579392,0,10.03,1.0,10.03,,2025-08-01,EXECUTED,,118.27258277686676,500.0,500.0,118.27258277686676,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-01,15:30,POLAND 1,Wisla Plock vs Piast Gliwice,Lay_CS_0x1_B365,historico,8.03,312.5,1.0,2x0,alias_exact,False,True,2025-08,8.03,1.0,66.50071123755335,208.30526054759585,0,8.03,1.0,8.03,,2025-08-01,EXECUTED,,184.77329401442012,500.0,500.0,184.77329401442012,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-01,20:00,CHILE 1,A. Italiano vs Palestino,Lay_CS_0x1_B365,historico,9.53,437.5,1.0,1x1,alias_exact,False,True,2025-08,9.53,1.0,54.80656506447832,285.944817243024,0,9.53,1.0,9.53,,2025-08-01,EXECUTED,,239.57985907889844,500.0,500.0,239.57985907889844,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-03,08:00,ENGLAND 3,Stockport County vs Bolton,Lay_CS_0x1_B365,historico,9.03,312.5,1.0,2x0,alias_exact,False,True,2025-08,9.03,1.0,58.21917808219179,377.4589397987186,0,9.03,1.0,9.03,,2025-08-03,EXECUTED,,297.7990371610902,500.0,500.0,297.7990371610902,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-03,08:30,GERMANY 3,Aue vs Hansa Rostock,Lay_CS_0x1_B365,historico,8.53,250.0,1.0,0x0,alias_exact,False,True,2025-08,8.53,1.0,62.08499335989377,486.4130047006842,0,8.53,1.0,8.53,,2025-08-03,EXECUTED,,359.88403052098397,500.0,500.0,359.88403052098397,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-03,11:00,SCOTLAND 1,Dundee FC vs Hibernian,Lay_CS_0x1_B365,historico,8.03,375.0,1.0,1x2,alias_exact,False,True,2025-08,8.03,1.0,66.50071123755335,617.6073374738194,0,8.03,1.0,8.03,,2025-08-03,EXECUTED,,426.3847417585373,500.0,500.0,426.3847417585373,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-03,12:30,ROMANIA 1,FC Hermannstadt vs U. Cluj,Lay_CS_0x1_B365,historico,8.03,437.5,1.0,2x2,alias_exact,False,True,2025-08,8.03,1.0,66.50071123755335,684.1080487113727,0,8.03,1.0,8.03,,2025-08-03,EXECUTED,,492.88545299609063,500.0,500.0,492.88545299609063,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-04,14:00,SERBIA 1,Zeleznicar Pancevo vs Napredak,Lay_CS_0x1_B365,historico,10.03,250.0,1.0,0x0,alias_exact,False,True,2025-08,10.03,1.0,51.7718715393134,742.7656528096132,0,10.03,1.0,10.03,,2025-08-04,EXECUTED,,544.6573245354041,500.0,500.0,544.6573245354041,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-04,19:00,BRAZIL 2,Athletic Club vs Atletico GO,Lay_CS_0x1_B365,historico,8.53,312.5,1.0,1x1,alias_exact,False,True,2025-08,8.53,1.0,62.08499335989377,820.3915525226236,0,8.53,1.0,8.53,,2025-08-04,EXECUTED,,606.7423178952979,500.0,500.0,606.7423178952979,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-04,21:30,BRAZIL 2,Cuiaba vs Volta Redonda,Lay_CS_0x1_B365,historico,9.03,375.0,1.0,2x0,alias_exact,False,True,2025-08,9.03,1.0,58.21917808219179,902.222591261183,0,9.03,1.0,9.03,,2025-08-04,EXECUTED,,664.9614959774897,500.0,500.0,664.9614959774897,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-05,15:45,EUROPA CHAMPIONS LEAGUE,Rangers (Sco) vs Plzen (Cze),Lay_CS_0x1_B365,historico,11.03,312.5,1.0,3x0,alias_exact,False,True,2025-08,11.03,1.0,46.61016949152543,975.3646911905134,0,11.03,1.0,11.03,,2025-08-05,EXECUTED,,711.5716654690151,500.0,500.0,711.5716654690151,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-05,16:15,ICELAND 1,Akranes vs Valur,Lay_CS_0x1_B365,historico,9.03,250.0,1.0,2x2,alias_exact,False,True,2025-08,9.03,1.0,58.21917808219179,1075.240547445197,0,9.03,1.0,9.03,,2025-08-05,EXECUTED,,769.7908435512069,500.0,500.0,769.7908435512069,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-08,08:35,CHINA 1,Dalian Yingbo vs Chengdu Rongcheng,Lay_CS_0x1_B365,historico,8.03,250.0,1.0,0x2,alias_exact,False,True,2025-08,8.03,1.0,66.50071123755335,1202.6071265807927,0,8.03,1.0,8.03,,2025-08-08,EXECUTED,,836.2915547887602,500.0,500.0,836.2915547887602,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-08,13:00,AUSTRIA 2,Floridsdorfer AC vs Kapfenberg,Lay_CS_0x1_B365,historico,9.03,375.0,1.0,2x0,alias_exact,False,True,2025-08,9.03,1.0,58.21917808219179,1260.8263046629845,0,9.03,1.0,9.03,,2025-08-08,EXECUTED,,894.510732870952,500.0,500.0,894.510732870952,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-08,13:30,GERMANY 2,Preussen Munster vs Paderborn,Lay_CS_0x1_B365,historico,8.53,312.5,1.0,1x1,alias_exact,False,True,2025-08,8.53,1.0,62.08499335989377,1330.140372592181,0,8.53,1.0,8.53,,2025-08-08,EXECUTED,,956.5957262308458,500.0,500.0,956.5957262308458,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-08,15:00,EGYPT 1,Al Masry vs Al Ittihad,Lay_CS_0x1_B365,historico,8.03,437.5,1.0,3x1,alias_exact,False,True,2025-08,8.03,1.0,66.50071123755335,1413.6031869621168,0,8.03,1.0,8.03,,2025-08-08,EXECUTED,,1023.0964374683991,500.0,500.0,1023.0964374683991,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-10,07:00,SOUTH KOREA 1,Pohang vs Gwangju FC,Lay_CS_0x1_B365,historico,8.03,250.0,1.0,1x0,alias_exact,False,True,2025-08,8.03,1.0,66.50071123755335,1508.1666743670296,0,8.03,1.0,8.03,,2025-08-10,EXECUTED,,1089.5971487059526,500.0,500.0,1089.5971487059526,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-10,08:30,GERMANY 3,Regensburg vs Duisburg,Lay_CS_0x1_B365,historico,10.03,375.0,1.0,0x4,alias_exact,False,True,2025-08,10.03,1.0,51.7718715393134,1591.5773252175425,0,10.03,1.0,10.03,,2025-08-10,EXECUTED,,1141.369020245266,500.0,500.0,1141.369020245266,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-10,09:00,SWEDEN 1,Degerfors vs Hacken,Lay_CS_0x1_B365,historico,9.53,312.5,1.0,0x0,alias_exact,False,True,2025-08,9.53,1.0,54.80656506447832,1689.020131281477,0,9.53,1.0,9.53,,2025-08-10,EXECUTED,,1196.1755853097443,500.0,500.0,1196.1755853097443,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-10,12:00,AUSTRIA 1,Tirol vs LASK,Lay_CS_0x1_B365,historico,9.03,437.5,1.0,3x1,alias_exact,False,True,2025-08,9.03,1.0,58.21917808219179,1803.876440047995,0,9.03,1.0,9.03,,2025-08-10,EXECUTED,,1254.394763391936,500.0,500.0,1254.394763391936,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-11,13:00,BULGARIA 1,Septemvri Sofia vs Beroe,Lay_CS_0x1_B365,historico,9.03,250.0,1.0,2x3,alias_exact,False,True,2025-08,9.03,1.0,58.21917808219179,1862.0956181301867,0,9.03,1.0,9.03,,2025-08-11,EXECUTED,,1312.6139414741278,500.0,500.0,1312.6139414741278,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-11,15:00,NETHERLANDS 2,Jong PSV vs FC Emmen,Lay_CS_0x1_B365,historico,11.03,375.0,1.0,3x1,alias_exact,False,True,2025-08,11.03,1.0,46.61016949152543,1914.1329991378489,0,11.03,1.0,11.03,,2025-08-11,EXECUTED,,1359.2241109656534,500.0,500.0,1359.2241109656534,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-11,15:15,BULGARIA 1,Arda vs Lok. Plovdiv,Lay_CS_0x1_B365,historico,8.53,312.5,1.0,0x0,alias_exact,False,True,2025-08,8.53,1.0,62.08499335989377,1989.908547975699,0,8.53,1.0,8.53,,2025-08-11,EXECUTED,,1421.3091043255472,500.0,500.0,1421.3091043255472,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-11,20:00,CHILE 1,Limache vs A. Italiano,Lay_CS_0x1_B365,historico,8.53,437.5,1.0,4x0,alias_exact,False,True,2025-08,8.53,1.0,62.08499335989377,2075.09314570643,0,8.53,1.0,8.53,,2025-08-11,EXECUTED,,1483.394097685441,500.0,500.0,1483.394097685441,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-12,14:00,EUROPA CHAMPIONS LEAGUE,FC Copenhagen (Den) vs Malmo FF (Swe),Lay_CS_0x1_B365,historico,11.03,250.0,1.0,5x0,alias_exact,False,True,2025-08,11.03,1.0,46.61016949152543,2168.313484689481,0,11.03,1.0,11.03,,2025-08-12,EXECUTED,,1530.0042671769666,500.0,500.0,1530.0042671769666,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-12,19:30,BRAZIL 2,CRB vs Athletic Club,Lay_CS_0x1_B365,historico,9.53,312.5,1.0,1x0,alias_exact,False,True,2025-08,9.53,1.0,54.80656506447832,2288.1447879660523,0,9.53,1.0,9.53,,2025-08-12,EXECUTED,,1584.8108322414448,500.0,500.0,1584.8108322414448,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-15,12:00,EGYPT 1,Petrojet vs Kahrabaa Ismailia,Lay_CS_0x1_B365,historico,8.03,312.5,1.0,2x2,alias_exact,False,True,2025-08,8.03,1.0,66.50071123755335,2591.791787887117,0,8.03,1.0,8.03,,2025-08-15,EXECUTED,,1651.3115434789981,500.0,500.0,1651.3115434789981,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-15,14:30,FRANCE 3,Dijon vs Rouen,Lay_CS_0x1_B365,historico,8.03,375.0,1.0,1x1,alias_exact,False,True,2025-08,8.03,1.0,66.50071123755335,3006.8912667974864,0,8.03,1.0,8.03,,2025-08-15,EXECUTED,,1717.8122547165515,500.0,500.0,1717.8122547165515,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-15,07:00,SOUTH KOREA 1,Jeju SK vs Gangwon,Lay_CS_0x1_B365,historico,10.03,250.0,1.0,0x0,alias_exact,False,True,2025-08,10.03,1.0,51.7718715393134,2413.748695553289,0,10.03,1.0,10.03,,2025-08-15,EXECUTED,,1769.584126255865,500.0,500.0,1769.584126255865,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-15,16:30,SPAIN 2,Burgos CF vs Cultural Leonesa,Lay_CS_1x0_B365,historico,5.03,500.0,1.0,5x1,alias_exact,False,True,2025-08,5.03,1.0,116.00496277915632,3455.0876050655106,0,5.03,1.0,5.03,,2025-08-15,EXECUTED,,1885.5890890350213,500.0,500.0,1885.5890890350213,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-15,14:00,SPAIN 1,Girona vs Rayo Vallecano,Lay_CS_0x1_B365,historico,8.53,437.5,1.0,1x3,alias_exact,False,True,2025-08,8.53,1.0,62.08499335989377,2780.120238144613,0,8.53,1.0,8.53,,2025-08-15,EXECUTED,,1947.674082394915,500.0,500.0,1947.674082394915,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
2025-08-16,12:00,SPAIN 2,Racing Santander vs Castellon,Lay_CS_1x0_B365,historico,11.03,250.0,1.0,3x1,alias_exact,False,True,2025-08,11.03,1.0,46.61016949152543,3548.3079440485617,0,11.03,1.0,11.03,,2025-08-16,EXECUTED,,1994.2842518864406,500.0,500.0,1994.2842518864406,1.0,Sem_Rampa,1,treino,Baseline_Sem_Filtro
