Fold,Estrategia,Segmento,Data_Inicio,Data_Fim,Dias,Linhas_Entrada,Linhas_Apos_Filtro,Entradas_Executadas,Entradas_Skipadas,Win_Rate_Executadas_%,Lucro_Final,Max_Drawdown_Abs,Max_Drawdown_%,Step_Ups,Step_Downs,Saques_Realizados,Profit_Factor
1,Baseline_Sem_Filtro,treino,2025-08-01,2025-11-20,90,256,256,256,0,94.53,8732.55,1381.8,15.82,0,0,0,2.2475
1,Atual_Filtrada,treino,2025-08-01,2025-11-20,90,256,175,175,0,98.86,9813.97,500.0,5.09,0,0,0,10.814
1,Baseline_Sem_Filtro,teste,2025-11-21,2025-12-04,14,38,38,38,0,89.47,117.8,1095.54,178.8,0,0,0,1.0589
1,Atual_Filtrada,teste,2025-11-21,2025-12-04,14,38,25,25,0,96.0,944.66,500.0,44.7,0,0,0,2.8893
2,Baseline_Sem_Filtro,treino,2025-08-22,2025-12-04,90,248,248,248,0,93.15,6577.23,1330.03,19.13,0,0,0,1.7738
2,Atual_Filtrada,treino,2025-08-22,2025-12-04,90,248,171,171,0,98.25,9015.53,500.0,5.44,0,0,0,7.0104
2,Baseline_Sem_Filtro,teste,2025-12-05,2025-12-21,14,37,37,37,0,94.59,1399.42,500.0,29.05,0,0,0,2.3994
2,Atual_Filtrada,teste,2025-12-05,2025-12-21,14,37,26,26,0,100.0,1712.14,0.0,0.0,0,0,0,999.0
3,Baseline_Sem_Filtro,treino,2025-09-11,2025-12-21,90,244,244,244,0,93.44,7079.64,1330.03,18.29,0,0,0,1.885
3,Atual_Filtrada,treino,2025-09-11,2025-12-21,90,244,165,165,0,98.18,8716.61,500.0,5.74,0,0,0,6.8111
3,Baseline_Sem_Filtro,teste,2025-12-22,2026-01-09,14,26,26,26,0,92.31,516.44,500.0,96.82,0,0,0,1.5164
3,Atual_Filtrada,teste,2025-12-22,2026-01-09,14,26,19,19,0,94.74,662.72,500.0,72.93,0,0,0,2.3254
4,Baseline_Sem_Filtro,treino,2025-09-26,2026-01-09,90,229,229,229,0,93.01,5965.04,1330.03,22.3,0,0,0,1.7456
4,Atual_Filtrada,treino,2025-09-26,2026-01-09,90,229,160,160,0,98.12,8415.22,500.0,5.93,0,0,0,6.6101
4,Baseline_Sem_Filtro,teste,2026-01-10,2026-01-25,14,29,29,29,0,89.66,91.99,1000.0,381.85,0,0,0,1.0613
4,Atual_Filtrada,teste,2026-01-10,2026-01-25,14,29,17,17,0,94.12,463.76,500.0,107.81,0,0,0,1.9275
5,Baseline_Sem_Filtro,treino,2025-10-12,2026-01-25,90,221,221,221,0,93.21,5858.9,1095.54,18.17,0,0,0,1.7812
5,Atual_Filtrada,treino,2025-10-12,2026-01-25,90,221,154,154,0,98.05,7994.85,500.0,6.24,0,0,0,6.3299
5,Baseline_Sem_Filtro,teste,2026-01-26,2026-02-15,14,37,37,37,0,97.3,1646.55,500.0,30.37,0,0,0,4.2931
5,Atual_Filtrada,teste,2026-01-26,2026-02-15,14,37,26,26,0,96.15,941.17,500.0,53.13,0,0,0,2.8823
6,Baseline_Sem_Filtro,treino,2025-10-29,2026-02-15,90,216,216,216,0,93.98,6429.29,1095.54,17.04,0,0,0,1.9891
6,Atual_Filtrada,treino,2025-10-29,2026-02-15,90,216,148,148,0,97.3,6885.44,500.0,7.26,0,0,0,4.4427
6,Baseline_Sem_Filtro,teste,2026-02-16,2026-03-03,14,28,28,28,0,85.71,-536.15,949.61,396.4,0,0,0,0.7319
6,Atual_Filtrada,teste,2026-02-16,2026-03-03,14,28,16,16,0,87.5,-119.75,747.34,585.78,0,0,0,0.8802
7,Baseline_Sem_Filtro,treino,2025-11-14,2026-03-03,90,208,208,208,0,92.31,4082.46,949.61,19.55,0,0,0,1.5103
7,Atual_Filtrada,treino,2025-11-14,2026-03-03,90,208,139,139,0,95.68,5215.58,747.34,13.68,0,0,0,2.7385
7,Baseline_Sem_Filtro,teste,2026-03-04,2026-03-20,14,36,36,36,0,91.67,534.68,500.0,54.86,0,0,0,1.3565
7,Atual_Filtrada,teste,2026-03-04,2026-03-20,14,36,23,23,0,100.0,1354.51,0.0,0.0,0,0,0,999.0
8,Baseline_Sem_Filtro,treino,2025-11-29,2026-03-20,90,207,207,207,0,91.79,3421.32,949.61,25.0,0,0,0,1.4025
8,Atual_Filtrada,treino,2025-11-29,2026-03-20,90,207,135,135,0,95.56,4956.65,689.12,13.9,0,0,0,2.6522
8,Baseline_Sem_Filtro,teste,2026-03-23,2026-04-07,14,35,35,35,0,94.29,902.33,500.0,46.09,0,0,0,1.9023
8,Atual_Filtrada,teste,2026-03-23,2026-04-07,14,35,28,28,0,100.0,1627.53,0.0,0.0,0,0,0,999.0
