Fold,Estrategia,Segmento,Data_Inicio,Data_Fim,Dias,Linhas_Entrada,Linhas_Apos_Filtro,Entradas_Executadas,Entradas_Skipadas,Win_Rate_Executadas_%,Lucro_Final,Max_Drawdown_Abs,Max_Drawdown_%,Step_Ups,Step_Downs,Saques_Realizados,Profit_Factor
1,Baseline_Sem_Filtro,treino,2025-08-01,2025-11-20,90,256,256,0,256,0.0,0.0,0.0,0.0,0,0,0,0.0
1,Atual_Filtrada,treino,2025-08-01,2025-11-20,90,256,175,0,175,0.0,0.0,0.0,0.0,0,0,0,0.0
1,Baseline_Sem_Filtro,teste,2025-11-21,2025-12-04,14,38,38,0,38,0.0,0.0,0.0,0.0,0,0,0,0.0
1,Atual_Filtrada,teste,2025-11-21,2025-12-04,14,38,25,0,25,0.0,0.0,0.0,0.0,0,0,0,0.0
2,Baseline_Sem_Filtro,treino,2025-08-22,2025-12-04,90,248,248,0,248,0.0,0.0,0.0,0.0,0,0,0,0.0
2,Atual_Filtrada,treino,2025-08-22,2025-12-04,90,248,171,0,171,0.0,0.0,0.0,0.0,0,0,0,0.0
2,Baseline_Sem_Filtro,teste,2025-12-05,2025-12-21,14,37,37,0,37,0.0,0.0,0.0,0.0,0,0,0,0.0
2,Atual_Filtrada,teste,2025-12-05,2025-12-21,14,37,26,0,26,0.0,0.0,0.0,0.0,0,0,0,0.0
3,Baseline_Sem_Filtro,treino,2025-09-11,2025-12-21,90,244,244,0,244,0.0,0.0,0.0,0.0,0,0,0,0.0
3,Atual_Filtrada,treino,2025-09-11,2025-12-21,90,244,165,0,165,0.0,0.0,0.0,0.0,0,0,0,0.0
3,Baseline_Sem_Filtro,teste,2025-12-22,2026-01-09,14,26,26,0,26,0.0,0.0,0.0,0.0,0,0,0,0.0
3,Atual_Filtrada,teste,2025-12-22,2026-01-09,14,26,19,0,19,0.0,0.0,0.0,0.0,0,0,0,0.0
4,Baseline_Sem_Filtro,treino,2025-09-26,2026-01-09,90,229,229,0,229,0.0,0.0,0.0,0.0,0,0,0,0.0
4,Atual_Filtrada,treino,2025-09-26,2026-01-09,90,229,160,0,160,0.0,0.0,0.0,0.0,0,0,0,0.0
4,Baseline_Sem_Filtro,teste,2026-01-10,2026-01-25,14,29,29,0,29,0.0,0.0,0.0,0.0,0,0,0,0.0
4,Atual_Filtrada,teste,2026-01-10,2026-01-25,14,29,17,0,17,0.0,0.0,0.0,0.0,0,0,0,0.0
5,Baseline_Sem_Filtro,treino,2025-10-12,2026-01-25,90,221,221,0,221,0.0,0.0,0.0,0.0,0,0,0,0.0
5,Atual_Filtrada,treino,2025-10-12,2026-01-25,90,221,154,0,154,0.0,0.0,0.0,0.0,0,0,0,0.0
5,Baseline_Sem_Filtro,teste,2026-01-26,2026-02-15,14,37,37,0,37,0.0,0.0,0.0,0.0,0,0,0,0.0
5,Atual_Filtrada,teste,2026-01-26,2026-02-15,14,37,26,0,26,0.0,0.0,0.0,0.0,0,0,0,0.0
6,Baseline_Sem_Filtro,treino,2025-10-29,2026-02-15,90,216,216,0,216,0.0,0.0,0.0,0.0,0,0,0,0.0
6,Atual_Filtrada,treino,2025-10-29,2026-02-15,90,216,148,0,148,0.0,0.0,0.0,0.0,0,0,0,0.0
6,Baseline_Sem_Filtro,teste,2026-02-16,2026-03-03,14,28,28,0,28,0.0,0.0,0.0,0.0,0,0,0,0.0
6,Atual_Filtrada,teste,2026-02-16,2026-03-03,14,28,16,0,16,0.0,0.0,0.0,0.0,0,0,0,0.0
7,Baseline_Sem_Filtro,treino,2025-11-14,2026-03-03,90,208,208,0,208,0.0,0.0,0.0,0.0,0,0,0,0.0
7,Atual_Filtrada,treino,2025-11-14,2026-03-03,90,208,139,0,139,0.0,0.0,0.0,0.0,0,0,0,0.0
7,Baseline_Sem_Filtro,teste,2026-03-04,2026-03-20,14,36,36,0,36,0.0,0.0,0.0,0.0,0,0,0,0.0
7,Atual_Filtrada,teste,2026-03-04,2026-03-20,14,36,23,0,23,0.0,0.0,0.0,0.0,0,0,0,0.0
8,Baseline_Sem_Filtro,treino,2025-11-29,2026-03-20,90,207,207,0,207,0.0,0.0,0.0,0.0,0,0,0,0.0
8,Atual_Filtrada,treino,2025-11-29,2026-03-20,90,207,135,0,135,0.0,0.0,0.0,0.0,0,0,0,0.0
8,Baseline_Sem_Filtro,teste,2026-03-23,2026-04-07,14,35,35,0,35,0.0,0.0,0.0,0.0,0,0,0,0.0
8,Atual_Filtrada,teste,2026-03-23,2026-04-07,14,35,28,0,28,0.0,0.0,0.0,0.0,0,0,0,0.0
