League,N1,N2,N3,consenso
ARGENTINA 1,A,D,D,
ARGENTINA 2,D,H,D,
ARGENTINA 3,A,H,A,
ARGENTINA CUP,D,A,A,
AUSTRALIA 1,H,D,D,
AUSTRIA 1,H,D,D,
AUSTRIA 2,D,H,A,
BELGIUM 1,D,H,A,
BELGIUM 2,A,A,H,
BOLIVIA 1,H,A,H,
BOLIVIA CUP,A,A,H,
BOSNIA 1,H,H,D,
BOSNIA 2,D,D,H,
BRAZIL 1,A,D,A,
BRAZIL 2,H,A,A,
BRAZIL 3,H,D,H,
BRAZIL 4,H,H,D,
BRAZIL CUP,D,H,H,
BULGARIA 1,D,H,D,
BULGARIA 2,H,D,A,
CHILE 1,A,H,H,
CHILE 2,A,D,A,
CHILE CUP,A,A,H,
CHINA 1,A,D,D,
CHINA 2,A,D,A,
COLOMBIA 1,H,A,H,
COLOMBIA 2,D,A,D,
COPA LIBERTADORES,A,A,H,
COPA SUDAMERICANA,D,D,D,D
CROATIA 1,A,D,H,
CROATIA 2,A,D,A,
CYPRUS 1,H,H,H,H
CYPRUS 2,D,A,H,
CZECH 1,H,H,A,
CZECH 2,A,H,A,
DENMARK 1,D,A,A,
DENMARK 2,H,A,D,
ECUADOR 1,H,H,A,
ECUADOR 2,D,D,H,
ECUADOR CUP,D,D,D,D
EGYPT 1,A,D,D,
EGYPT 2,D,H,H,
ENGLAND 1,D,A,H,
ENGLAND 2,H,H,H,H
ENGLAND 3,H,D,H,
ENGLAND 4,H,D,H,
ENGLAND 5,H,D,A,
ENGLAND CUP,A,H,H,
ESTONIA 1,D,H,A,
ESTONIA 2,A,H,A,
EUROPA CHAMPIONS LEAGUE,H,A,D,
EUROPA CONFERENCE LEAGUE,H,A,A,
EUROPA LEAGUE,A,D,D,
FINLAND 1,A,H,D,
FINLAND 2,A,A,H,
FRANCE 1,H,D,H,
FRANCE 2,H,A,D,
FRANCE 3,A,D,D,
FRANCE 4,H,A,A,
FRANCE CUP,H,A,A,
GERMANY 1,D,H,D,
GERMANY 2,H,D,H,
GERMANY 3,A,A,D,
GERMANY CUP,H,H,A,
GREECE 1,A,H,A,
GREECE 2,H,A,D,
ICELAND 1,D,D,H,
ICELAND 2,H,A,D,
IRELAND 1,H,A,A,
IRELAND 2,D,H,A,
ISRAEL 1,D,D,A,
ISRAEL 2,D,D,A,
ITALY 1,A,A,H,
ITALY 2,A,A,D,
ITALY 3,D,H,A,
ITALY 4,A,D,D,
ITALY CUP,A,D,H,
JAPAN 1,D,D,A,
JAPAN 2,H,A,H,
JAPAN 3,H,H,D,
MEXICO 1,A,H,D,
MEXICO 2,H,H,H,H
NETHERLANDS 1,D,H,D,
NETHERLANDS 2,A,H,A,
NETHERLANDS CUP,H,H,H,H
NORTHERN IRELAND 1,H,A,H,
NORTHERN IRELAND 2,D,A,D,
NORWAY 1,A,H,H,
NORWAY 2,A,H,H,
PARAGUAY 1,H,H,D,
PARAGUAY 2,A,A,D,
PERU 1,A,D,A,
PERU 2,H,D,A,
POLAND 1,H,A,A,
POLAND 2,H,D,D,
PORTUGAL 1,H,H,A,
PORTUGAL 2,D,H,H,
PORTUGAL 3,D,D,D,D
PORTUGAL CUP,D,A,A,
ROMANIA 1,H,A,D,
ROMANIA 2,H,H,D,
SAUDI ARABIA 1,D,A,D,
SAUDI ARABIA 2,H,A,A,
SCOTLAND 1,H,H,D,
SCOTLAND 2,A,H,A,
SCOTLAND 3,A,D,A,
SCOTLAND 4,H,A,H,
SCOTLAND CUP,H,H,H,H
SERBIA 1,A,D,A,
SERBIA 2,A,A,A,A
SLOVAKIA 1,A,D,H,
SLOVAKIA 2,A,H,A,
SLOVENIA 1,H,H,D,
SLOVENIA 2,H,D,D,
SOUTH AFRICA 1,D,D,A,
SOUTH AFRICA 2,D,A,A,
SOUTH KOREA 1,A,A,D,
SOUTH KOREA 2,D,D,D,D
SPAIN 1,H,D,H,
SPAIN 2,A,A,D,
SPAIN 3,D,D,H,
SPAIN 4,A,D,A,
SPAIN CUP,D,H,H,
SWEDEN 1,D,H,A,
SWEDEN 2,A,A,A,A
SWITZERLAND 1,H,D,A,
SWITZERLAND 2,D,A,A,
TURKEY 1,H,H,D,
TURKEY 2,A,H,H,
TURKEY CUP,A,H,H,
UKRAINE 1,H,D,D,
UKRAINE 2,H,D,D,
URUGUAY 1,H,A,H,
URUGUAY 2,D,A,D,
USA 1,A,D,A,
USA 2,D,H,A,
VENEZUELA 1,H,D,D,
VENEZUELA 2,D,D,H,
WALES 1,H,D,D,
WALES CUP,H,A,A,
WOM BRAZIL 1,A,D,H,
WOM ENGLAND 1,D,H,A,
WOM FRANCE 1,A,A,D,
WOM GERMANY 1,A,D,D,
WOM ITALY 1,A,A,H,
WOM SPAIN 1,H,D,D,
WOM USA 1,H,A,H,
WORLD AMERICA CUP,H,A,A,
WORLD EUROCUP,D,H,H,
WORLD UEFA NATIONS LEAGUE,H,D,A,
WORLD WORLD CUP,A,D,A,
