League,Line,N1,N2,N3,consenso
ARGENTINA 1,0.5,Under,Over,Over,
ARGENTINA 2,0.5,Under,Over,Over,
ARGENTINA 3,0.5,Over,Under,Over,
ARGENTINA CUP,0.5,Over,Over,Over,Over
AUSTRALIA 1,0.5,Over,Over,Under,
AUSTRIA 1,0.5,Under,Over,Under,
AUSTRIA 2,0.5,Over,Over,Over,Over
BELGIUM 1,0.5,Over,Over,Over,Over
BELGIUM 2,0.5,Over,Over,Under,
BOLIVIA 1,0.5,Over,Over,Over,Over
BOLIVIA CUP,0.5,Over,Under,Under,
BOSNIA 1,0.5,Over,Under,Over,
BOSNIA 2,0.5,Over,Over,Under,
BRAZIL 1,0.5,Over,Over,Under,
BRAZIL 2,0.5,Over,Over,Under,
BRAZIL 3,0.5,Under,Over,Over,
BRAZIL 4,0.5,Under,Over,Over,
BRAZIL CUP,0.5,Over,Over,Over,Over
BULGARIA 1,0.5,Over,Over,Under,
BULGARIA 2,0.5,Over,Over,Over,Over
CHILE 1,0.5,Over,Over,Over,Over
CHILE 2,0.5,Over,Over,Over,Over
CHILE CUP,0.5,Under,Over,Over,
CHINA 1,0.5,Over,Over,Over,Over
CHINA 2,0.5,Under,Under,Over,
COLOMBIA 1,0.5,Over,Over,Over,Over
COLOMBIA 2,0.5,Over,Over,Over,Over
COPA LIBERTADORES,0.5,Over,Over,Over,Over
COPA SUDAMERICANA,0.5,Over,Under,Under,
CROATIA 1,0.5,Over,Over,Under,
CROATIA 2,0.5,Over,Over,Over,Over
CYPRUS 1,0.5,Over,Over,Under,
CYPRUS 2,0.5,Under,Over,Under,
CZECH 1,0.5,Over,Over,Under,
CZECH 2,0.5,Over,Under,Over,
DENMARK 1,0.5,Over,Over,Under,
DENMARK 2,0.5,Over,Over,Over,Over
ECUADOR 1,0.5,Over,Over,Over,Over
ECUADOR 2,0.5,Over,Over,Over,Over
ECUADOR CUP,0.5,Under,Over,Over,
EGYPT 1,0.5,Over,Under,Over,
EGYPT 2,0.5,Over,Over,Under,
ENGLAND 1,0.5,Over,Over,Over,Over
ENGLAND 2,0.5,Under,Over,Under,
ENGLAND 3,0.5,Over,Over,Over,Over
ENGLAND 4,0.5,Over,Over,Over,Over
ENGLAND 5,0.5,Over,Over,Over,Over
ENGLAND CUP,0.5,Over,Over,Over,Over
ESTONIA 1,0.5,Over,Under,Over,
ESTONIA 2,0.5,Over,Under,Under,
EUROPA CHAMPIONS LEAGUE,0.5,Over,Over,Under,
EUROPA CONFERENCE LEAGUE,0.5,Over,Over,Over,Over
EUROPA LEAGUE,0.5,Over,Over,Over,Over
FINLAND 1,0.5,Over,Over,Over,Over
FINLAND 2,0.5,Over,Over,Over,Over
FRANCE 1,0.5,Over,Over,Over,Over
FRANCE 2,0.5,Over,Under,Over,
FRANCE 3,0.5,Over,Over,Over,Over
FRANCE 4,0.5,Over,Over,Over,Over
FRANCE CUP,0.5,Over,Over,Under,
GERMANY 1,0.5,Over,Over,Under,
GERMANY 2,0.5,Over,Under,Over,
GERMANY 3,0.5,Over,Over,Over,Over
GERMANY CUP,0.5,Over,Over,Over,Over
GREECE 1,0.5,Over,Under,Over,
GREECE 2,0.5,Over,Under,Under,
ICELAND 1,0.5,Over,Over,Over,Over
ICELAND 2,0.5,Over,Over,Over,Over
IRELAND 1,0.5,Over,Over,Over,Over
IRELAND 2,0.5,Over,Over,Over,Over
ISRAEL 1,0.5,Over,Over,Under,
ISRAEL 2,0.5,Over,Under,Under,
ITALY 1,0.5,Over,Over,Over,Over
ITALY 2,0.5,Over,Over,Under,
ITALY 3,0.5,Under,Over,Under,
ITALY 4,0.5,Over,Over,Over,Over
ITALY CUP,0.5,Under,Over,Over,
JAPAN 1,0.5,Over,Over,Under,
JAPAN 2,0.5,Over,Over,Over,Over
JAPAN 3,0.5,Over,Over,Under,
MEXICO 1,0.5,Over,Over,Over,Over
MEXICO 2,0.5,Under,Over,Over,
NETHERLANDS 1,0.5,Over,Over,Over,Over
NETHERLANDS 2,0.5,Over,Over,Over,Over
NETHERLANDS CUP,0.5,Over,Over,Over,Over
NORTHERN IRELAND 1,0.5,Over,Over,Over,Over
NORTHERN IRELAND 2,0.5,Over,Over,Under,
NORWAY 1,0.5,Under,Over,Over,
NORWAY 2,0.5,Over,Over,Over,Over
PARAGUAY 1,0.5,Over,Over,Over,Over
PARAGUAY 2,0.5,Under,Under,Under,Under
PERU 1,0.5,Under,Over,Over,
PERU 2,0.5,Over,Over,Over,Over
POLAND 1,0.5,Over,Over,Over,Over
