ko,home,away,min_to_ko,runner,lay
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,0 - 0,3.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,0 - 1,7.4
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,0 - 2,38.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,0 - 3,310.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,1 - 0,4.7
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,1 - 1,9.6
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,1 - 2,48.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,1 - 3,450.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,2 - 0,14.5
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,2 - 1,32.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,2 - 2,140.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,2 - 3,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,3 - 0,80.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,3 - 1,210.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,3 - 2,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,3 - 3,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,Any Other Home Win,360.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,Any Other Away Win,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-70.4,Any Other Draw,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,0 - 0,2.62
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,0 - 1,7.4
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,0 - 2,46.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,0 - 3,470.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,1 - 0,4.6
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,1 - 1,11.5
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,1 - 2,65.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,1 - 3,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,2 - 0,16.5
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,2 - 1,40.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,2 - 2,230.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,2 - 3,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,3 - 0,95.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,3 - 1,300.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,3 - 2,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,3 - 3,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,Any Other Home Win,500.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,Any Other Away Win,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-75.5,Any Other Draw,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,0 - 0,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,0 - 1,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,0 - 2,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,0 - 3,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,1 - 0,2.14
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,1 - 1,6.4
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,1 - 2,48.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,1 - 3,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,2 - 0,5.2
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,2 - 1,16.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,2 - 2,110.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,2 - 3,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,3 - 0,26.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,3 - 1,110.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,3 - 2,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,3 - 3,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,Any Other Home Win,160.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,Any Other Away Win,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-85.6,Any Other Draw,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-90.7,0 - 0,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-90.7,0 - 1,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-90.7,0 - 2,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-90.7,0 - 3,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-90.7,1 - 0,1.94
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-90.7,1 - 1,6.4
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-90.7,1 - 2,50.0
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-90.7,1 - 3,
2026-08-26 00:00,Cruzeiro MG,Atletico MG,-90.7,2 - 0,5.6
