m_l0,m_l1,m_odd_low_le9,m_odd_mid_9a10_5,m_odd_high_gt10_5,anti_martingale,cut_after_first_red_day,Ops_total,Ops_skip,WR_%,PnL_R$,ROI_%,DD_Max_R$,Delta_PnL_vs_Base_R$,Delta_DD_vs_Base_R$,Score_RiskAdj
0.95,0.9,0.95,0.95,0.85,0.0,False,527,0,93.36,7646.71,4.906,849.59,-998.13,-103.43,-977.4418
0.95,0.9,0.95,0.95,0.85,0.0,True,527,37,93.36,6878.21,4.828,943.95,-1766.62,-9.07,-1764.8086
0.95,0.9,0.95,0.95,0.85,0.05,False,527,0,93.36,8106.45,4.876,948.74,-538.39,-4.27,-537.5353
0.95,0.9,0.95,0.95,0.85,0.05,True,527,37,93.36,7309.92,4.796,1043.1,-1334.92,90.09,-1352.9345
0.95,0.9,0.95,0.95,0.85,0.1,False,527,0,93.36,8566.18,4.85,1047.9,-78.65,94.89,-97.6288
0.95,0.9,0.95,0.95,0.85,0.1,True,527,37,93.36,7741.62,4.767,1142.26,-903.21,189.25,-941.0603
0.95,0.9,0.95,0.95,0.9,0.0,False,527,0,93.36,7702.15,4.918,846.67,-942.68,-106.34,-921.4153
0.95,0.9,0.95,0.95,0.9,0.0,True,527,37,93.36,6928.12,4.841,941.03,-1716.71,-11.98,-1714.3171
0.95,0.9,0.95,0.95,0.9,0.05,False,527,0,93.36,8165.31,4.889,945.76,-479.52,-7.26,-478.0708
0.95,0.9,0.95,0.95,0.9,0.05,True,527,37,93.36,7362.95,4.809,1040.12,-1281.89,87.1,-1299.3093
0.95,0.9,0.95,0.95,0.9,0.1,False,527,0,93.36,8628.47,4.864,1044.84,-16.36,91.83,-34.7263
0.95,0.9,0.95,0.95,0.9,0.1,True,527,37,93.36,7797.77,4.78,1139.2,-847.06,186.19,-884.3015
0.95,0.9,0.95,0.95,0.95,0.0,False,527,0,93.36,7757.6,4.931,843.76,-887.24,-109.25,-865.3888
0.95,0.9,0.95,0.95,0.95,0.0,True,527,37,93.36,6978.03,4.853,938.12,-1666.8,-14.89,-1663.8256
0.95,0.9,0.95,0.95,0.95,0.05,False,527,0,93.36,8224.18,4.903,942.77,-420.65,-10.24,-418.6063
0.95,0.9,0.95,0.95,0.95,0.05,True,527,37,93.36,7415.97,4.821,1037.13,-1228.86,84.12,-1245.6842
0.95,0.9,0.95,0.95,0.95,0.1,False,527,0,93.36,8690.77,4.877,1041.79,45.93,88.77,28.1763
0.95,0.9,0.95,0.95,0.95,0.1,True,527,37,93.36,7853.92,4.794,1136.15,-790.92,183.13,-827.5428
0.95,0.9,0.95,0.95,1.0,0.0,False,527,0,93.36,7813.04,4.944,840.85,-831.8,-112.17,-809.3623
0.95,0.9,0.95,0.95,1.0,0.0,True,527,37,93.36,7027.94,4.865,935.21,-1616.9,-17.81,-1613.3341
0.95,0.9,0.95,0.95,1.0,0.05,False,527,0,93.36,8283.05,4.916,939.79,-361.79,-13.23,-359.1417
0.95,0.9,0.95,0.95,1.0,0.05,True,527,37,93.36,7469.0,4.834,1034.15,-1175.83,81.13,-1192.0591
0.95,0.9,0.95,0.95,1.0,0.1,False,527,0,93.36,8753.06,4.891,1038.73,108.22,85.71,91.0788
0.95,0.9,0.95,0.95,1.0,0.1,True,527,37,93.36,7910.07,4.807,1133.09,-734.77,180.07,-770.784
0.95,0.9,0.95,1.0,0.85,0.0,False,527,0,93.36,7751.77,4.889,863.87,-893.07,-89.15,-875.2401
0.95,0.9,0.95,1.0,0.85,0.0,True,527,37,93.36,6954.3,4.801,960.65,-1690.54,7.63,-1692.0625
0.95,0.9,0.95,1.0,0.85,0.05,False,527,0,93.36,8216.31,4.86,965.53,-428.52,12.52,-431.0276
0.95,0.9,0.95,1.0,0.85,0.05,True,527,37,93.36,7390.47,4.769,1062.31,-1254.37,109.3,-1276.2265
0.95,0.9,0.95,1.0,0.85,0.1,False,527,0,93.36,8680.86,4.835,1067.2,36.02,114.19,13.1849
0.95,0.9,0.95,1.0,0.85,0.1,True,527,37,93.36,7826.64,4.742,1163.98,-818.2,210.97,-860.3904
0.95,0.9,0.95,1.0,0.9,0.0,False,527,0,93.36,7807.21,4.902,862.02,-837.63,-91.0,-819.4269
0.95,0.9,0.95,1.0,0.9,0.0,True,527,37,93.36,7004.21,4.813,958.8,-1640.63,5.78,-1641.7842
0.95,0.9,0.95,1.0,0.9,0.05,False,527,0,93.36,8275.18,4.874,962.55,-369.66,9.53,-371.5631
0.95,0.9,0.95,1.0,0.9,0.05,True,527,37,93.36,7443.5,4.782,1059.33,-1201.34,106.31,-1222.6013
0.95,0.9,0.95,1.0,0.9,0.1,False,527,0,93.36,8743.15,4.848,1064.14,98.31,111.13,76.0875
0.95,0.9,0.95,1.0,0.9,0.1,True,527,37,93.36,7882.79,4.755,1160.92,-762.05,207.91,-803.6316
0.95,0.9,0.95,1.0,0.95,0.0,False,527,0,93.36,7862.65,4.915,860.56,-782.18,-92.45,-763.6917
0.95,0.9,0.95,1.0,0.95,0.0,True,527,37,93.36,7054.12,4.826,957.34,-1590.72,4.33,-1591.584
0.95,0.9,0.95,1.0,0.95,0.05,False,527,0,93.36,8334.05,4.886,959.56,-310.79,6.55,-312.0986
0.95,0.9,0.95,1.0,0.95,0.05,True,527,37,93.36,7496.52,4.795,1056.34,-1148.31,103.33,-1168.9762
0.95,0.9,0.95,1.0,0.95,0.1,False,527,0,93.36,8805.44,4.861,1061.08,160.6,108.07,138.99
0.95,0.9,0.95,1.0,0.95,0.1,True,527,37,93.36,7938.93,4.768,1157.86,-705.9,204.85,-746.8729
0.95,0.9,0.95,1.0,1.0,0.0,False,527,0,93.36,7918.1,4.927,859.11,-726.74,-93.91,-707.9565
0.95,0.9,0.95,1.0,1.0,0.0,True,527,37,93.36,7104.03,4.838,955.89,-1540.81,2.87,-1541.3837
0.95,0.9,0.95,1.0,1.0,0.05,False,527,0,93.36,8392.91,4.899,956.58,-251.92,3.56,-252.6341
0.95,0.9,0.95,1.0,1.0,0.05,True,527,37,93.36,7549.55,4.807,1053.36,-1095.28,100.34,-1115.3511
0.95,0.9,0.95,1.0,1.0,0.1,False,527,0,93.36,8867.73,4.875,1058.03,222.89,105.01,201.8926
0.95,0.9,0.95,1.0,1.0,0.1,True,527,37,93.36,7995.08,4.781,1154.81,-649.76,201.79,-690.1142
0.95,0.9,0.95,1.05,0.85,0.0,False,527,0,93.36,7856.82,4.874,883.52,-788.01,-69.49,-774.1144
0.95,0.9,0.95,1.05,0.85,0.0,True,527,37,93.36,7030.38,4.774,982.72,-1614.45,29.71,-1620.3923
0.95,0.9,0.95,1.05,0.85,0.05,False,527,0,93.36,8326.18,4.845,982.32,-318.66,29.31,-324.5199
