sinais,liga_betfair,degrau,liga_fotmob,detalhe
"9","Venezuelan Primera Division","DEGRAU_2_chutes","Primera División","SoT=2/0; esc=2/0; chutes=6/5; bigch=0/0"
"9","Colombian Primera A","DEGRAU_1_xG","Primera A","SoT=1/4; esc=2/2; chutes=6/6; xG=0.30/1.57; bigch=0/2"
"9","English Sky Bet League 1","DEGRAU_1_xG","League One","SoT=1/2; esc=2/1; chutes=4/5; xG=0.25/0.64; bigch=1/2"
"7","Swiss Super League","DEGRAU_1_xG","Super League","SoT=1/5; esc=1/3; chutes=6/9; xG=0.16/0.72; bigch=0/1"
"7","French Ligue 2","DEGRAU_1_xG","Ligue 2","SoT=2/1; esc=4/0; chutes=5/2; xG=0.16/0.28; bigch=0/1"
"7","Argentinian Primera Nacional","SEM_JOGO","",""
"7","Czech 1 Liga","DEGRAU_3_sem_dado","Cup","Request Failed Please try Again"
"6","Ecuadorian Serie A","DEGRAU_2_chutes","Serie A","SoT=3/1; esc=5/3; chutes=4/5; bigch=1/0"
"6","Chilean Primera Division","DEGRAU_2_chutes","Primera División","SoT=2/3; esc=4/5; chutes=8/4; bigch=1/1"
"6","Turkish 1 Lig","SEM_JOGO","",""
"6","Danish Superliga","SEM_JOGO","",""
"6","Czech 2 Liga","DEGRAU_3_sem_dado","FNL","Request Failed Please try Again"
"6","Portuguese Primeira Liga","DEGRAU_1_xG","Liga Portugal","SoT=2/2; esc=6/2; chutes=8/2; xG=0.89/0.05; bigch=2/0"
"5","Egyptian 2nd Division","SEM_JOGO","",""
"5","Polish Ekstraklasa","DEGRAU_1_xG","Ekstraklasa","SoT=3/3; esc=4/1; chutes=9/6; xG=0.70/0.42; bigch=0/2"
"5","German 3 Liga","DEGRAU_3_sem_dado","3. Liga","Request Failed Please try Again"
"5","English National League","DEGRAU_3_sem_dado","National League","Request Failed Please try Again"
"5","Argentinian Primera Division","SEM_JOGO","",""
"5","Romanian Liga II","SEM_JOGO","",""
"5","Greek Super League","DEGRAU_1_xG","Super League","SoT=1/1; esc=2/3; chutes=6/2; xG=0.45/0.12; bigch=1/1"
"5","Japanese J League","DEGRAU_1_xG","J. League","SoT=0/2; esc=1/1; chutes=5/8; xG=0.48/2.57; bigch=1/5"
"4","Brazilian Serie A","DEGRAU_1_xG","Série A","SoT=3/1; esc=2/1; chutes=6/2; xG=1.08/0.04; bigch=4/0"
"4","Belgian Pro League","DEGRAU_1_xG","Belgian Pro League","SoT=0/1; esc=2/0; chutes=0/6; xG=0.00/0.32; bigch=0/0"
"4","Ecuadorian Serie B","DEGRAU_3_sem_dado","Serie A","Request Failed Please try Again"
"4","Colombian Primera B","DEGRAU_3_sem_dado","Primera B","Request Failed Please try Again"
"4","Indonesian Super League","DEGRAU_3_sem_dado","Super League","Request Failed Please try Again"
"4","Danish 1st Division","DEGRAU_2_chutes","1. Division","SoT=1/1; esc=0/1; chutes=6/6; bigch=0/1"
"4","German Bundesliga 2","DEGRAU_1_xG","2. Bundesliga","SoT=3/2; esc=3/1; chutes=6/6; xG=0.39/0.27; bigch=1/0"
"4","Swedish Superettan","DEGRAU_3_sem_dado","Superettan","Request Failed Please try Again"
"4","Brazilian Serie B","DEGRAU_1_xG","Série B","SoT=2/1; esc=2/1; chutes=7/6; xG=0.30/1.81; bigch=1/2"
"4","Chinese Super League","SEM_JOGO","",""
"4","Slovakian Super League","DEGRAU_2_chutes","1. Liga","SoT=2/1; esc=3/1; chutes=5/6; bigch=0/0"
