mes,Date,Home,Away,odd_lay,p,ev,target,pnl,d,ch,ca,o_over,pnl_over,nlay,nover,nover_exch
2025-08,2025-08-01,RW Essen,Munich 1860,21.0,0.9636,0.1879,1,0.95,2025-08-01,rwessen,munich1860,1.04,0.040000000000000036,0.0475,0.040000000000000036,0.038000000000000034
2025-08,2025-08-01,Vejle,Odense,18.5,0.9644,0.2939,1,0.95,2025-08-01,vejle,odense,1.03,0.030000000000000027,0.054285714285714284,0.030000000000000027,0.028500000000000025
2025-08,2025-08-01,Schalke,Hertha Berlin,22.0,0.9586,0.0404,1,0.95,2025-08-01,schalke,herthaberlin,1.03,0.030000000000000027,0.04523809523809524,0.030000000000000027,0.028500000000000025
2025-08,2025-08-02,Darmstadt,Bochum,20.0,0.9573,0.0973,1,0.95,2025-08-02,darmstadt,bochum,1.03,0.030000000000000027,0.049999999999999996,0.030000000000000027,0.028500000000000025
2025-08,2025-08-02,Elversberg,Nurnberg,23.0,0.9649,0.1443,1,0.95,2025-08-02,elversberg,nurnberg,1.03,0.030000000000000027,0.04318181818181818,0.030000000000000027,0.028500000000000025
2025-08,2025-08-02,Karlsruher SC,Preussen Munster,18.5,0.9581,0.1771,1,0.95,2025-08-02,karlsruhersc,preussenmunster,1.04,0.040000000000000036,0.054285714285714284,0.040000000000000036,0.038000000000000034
2025-08,2025-08-02,Qingdao West Coast,Henan Songshan Longmen,17.5,0.9628,0.3006,1,0.95,2025-08-02,qingdaowestcoast,henansongshanlongmen,1.03,0.030000000000000027,0.05757575757575757,0.030000000000000027,0.028500000000000025
2025-08,2025-08-02,Lahti,Ekenas,20.0,0.9556,0.0641,1,0.95,2025-08-02,lahti,ekenas,1.01,0.010000000000000009,0.049999999999999996,0.010000000000000009,0.009500000000000008
2025-08,2025-08-02,Cove Rangers,Queen of South,17.0,0.9469,0.0494,1,0.95,2025-08-02,coverangers,queenofsouth,1.02,0.020000000000000018,0.059375,0.020000000000000018,0.019000000000000017
2025-08,2025-08-02,Edinburgh City,Stirling,15.0,0.9442,0.1159,1,0.95,2025-08-02,edinburghcity,stirling,1.01,0.010000000000000009,0.06785714285714285,0.010000000000000009,0.009500000000000008
2025-08,2025-08-02,Jablonec,Hradec Kralove,12.5,0.9522,0.3548,1,0.95,2025-08-02,jablonec,hradeckralove,1.05,0.050000000000000044,0.08260869565217391,0.050000000000000044,0.04750000000000004
2025-08,2025-08-02,Widzew Lodz,GKS Katowice,24.0,0.9664,0.1448,1,0.95,2025-08-02,widzewlodz,gkskatowice,1.03,0.030000000000000027,0.041304347826086954,0.030000000000000027,0.028500000000000025
