mes,Date,Home,Away,odd_lay,p,ev,target,pnl,d,o_over_bf,nlay,nover_bf
2025-08,2025-08-01,RW Essen,Munich 1860,21.0,0.9636,0.1879,1,0.95,2025-08-01,1.05,0.0475,0.04750000000000004
2025-08,2025-08-01,Vejle,Odense,18.5,0.9644,0.2939,1,0.95,2025-08-01,1.05,0.054285714285714284,0.04750000000000004
2025-08,2025-08-01,Schalke,Hertha Berlin,22.0,0.9586,0.0404,1,0.95,2025-08-01,1.05,0.04523809523809524,0.04750000000000004
2025-08,2025-08-02,Darmstadt,Bochum,20.0,0.9573,0.0973,1,0.95,2025-08-02,1.05,0.049999999999999996,0.04750000000000004
2025-08,2025-08-02,Elversberg,Nurnberg,23.0,0.9649,0.1443,1,0.95,2025-08-02,1.04,0.04318181818181818,0.038000000000000034
2025-08,2025-08-02,Karlsruher SC,Preussen Munster,18.5,0.9581,0.1771,1,0.95,2025-08-02,1.05,0.054285714285714284,0.04750000000000004
2025-08,2025-08-02,Qingdao West Coast,Henan Songshan Longmen,17.5,0.9628,0.3006,1,0.95,2025-08-02,1.06,0.05757575757575757,0.05700000000000005
2025-08,2025-08-02,Lahti,Ekenas,20.0,0.9556,0.0641,1,0.95,2025-08-02,1.05,0.049999999999999996,0.04750000000000004
2025-08,2025-08-02,Cove Rangers,Queen of South,17.0,0.9469,0.0494,1,0.95,2025-08-02,1.07,0.059375,0.06650000000000006
2025-08,2025-08-02,Edinburgh City,Stirling,15.0,0.9442,0.1159,1,0.95,2025-08-02,1.07,0.06785714285714285,0.06650000000000006
2025-08,2025-08-02,Jablonec,Hradec Kralove,12.5,0.9522,0.3548,1,0.95,2025-08-02,1.08,0.08260869565217391,0.07600000000000007
2025-08,2025-08-02,Widzew Lodz,GKS Katowice,24.0,0.9664,0.1448,1,0.95,2025-08-02,1.05,0.041304347826086954,0.04750000000000004
2025-08,2025-08-02,Sarpsborg 08,Brann,27.0,0.9695,0.1289,1,0.95,2025-08-02,1.03,0.036538461538461534,0.028500000000000025
2025-08,2025-08-02,Bellinzona,Xamax,15.0,0.9442,0.1156,1,0.95,2025-08-02,1.06,0.06785714285714285,0.05700000000000005
2025-08,2025-08-02,Servette,St. Gallen,26.0,0.967,0.0937,1,0.95,2025-08-02,1.03,0.038,0.028500000000000025
2025-08,2025-08-02,Winterthur,Young Boys,24.0,0.9664,0.1448,1,0.95,2025-08-02,1.03,0.041304347826086954,0.028500000000000025
2025-08,2025-08-02,Motherwell,Rangers,22.0,0.964,0.159,1,0.95,2025-08-02,1.04,0.04523809523809524,0.038000000000000034
2025-08,2025-08-02,Basel,Grasshoppers,34.0,0.9923,0.6878,1,0.95,2025-08-02,1.02,0.028787878787878786,0.019000000000000017
2025-08,2025-08-02,Ind. del Valle,EL Nacional,16.5,0.9473,0.0838,1,0.95,2025-08-02,1.07,0.06129032258064516,0.06650000000000006
2025-08,2025-08-03,Zilina B,Lubovna,25.0,0.9686,0.1671,1,0.95,2025-08-03,1.04,0.03958333333333333,0.038000000000000034
2025-08,2025-08-03,Hannover,Kaiserslautern,20.0,0.956,0.0721,1,0.95,2025-08-03,1.05,0.049999999999999996,0.04750000000000004
2025-08,2025-08-03,Magdeburg,Braunschweig,18.5,0.9628,0.2634,1,0.95,2025-08-03,1.05,0.054285714285714284,0.04750000000000004
2025-08,2025-08-03,Wuhan Three Towns,Changchun Yatai,25.0,0.964,0.0509,0,-24.0,2025-08-03,1.05,-1.0,-1.0
2025-08,2025-08-03,Randers FC,Silkeborg,17.5,0.9494,0.0667,1,0.95,2025-08-03,1.05,0.05757575757575757,0.04750000000000004
2025-08,2025-08-03,Hacken,Elfsborg,20.0,0.9731,0.4143,1,0.95,2025-08-03,1.05,0.049999999999999996,0.04750000000000004
2025-08,2025-08-03,Thun,Lausanne,23.0,0.9596,0.0238,1,0.95,2025-08-03,1.05,0.04318181818181818,0.04750000000000004
