Data,Home,Away,liga,odd_lay_entrada,p,ev,liga_0x0,mkt_prob,ko,na_regra,motivo_fora,status,gols_H,gols_A,placar,target,pnl_liab,pnl_stake,break_even,fonte_placar,liquidado_em,pick_origem
2026-08-15,Blackpool,Wycombe,ENGLAND 3,14.5,0.937,0.039,0.06,0.091,11:00:00,1,,LIQUIDADO,1,1,1-1,1,0.07037,0.95,0.93426,b365 Goals_*_FT,2026-09-10 19:43,picks_0x0_2026-08-15.csv
2026-08-15,Mjallby,Sirius,SWEDEN 1,20.0,0.962,0.197,0.04,0.077,10:00:00,1,,LIQUIDADO,4,3,4-3,1,0.05,0.95,0.95238,b365 Goals_*_FT,2026-09-10 19:43,picks_0x0_2026-08-15.csv
2026-08-15,Pogon Siedlce,Polonia Warszawa,POLAND 2,17.5,0.96,0.252,0.03,0.077,10:30:00,1,,LIQUIDADO,1,0,1-0,1,0.05758,0.95,0.94556,b365 Goals_*_FT,2026-09-10 19:43,picks_0x0_2026-08-15.csv
2026-08-15,Politehnica Timisoara,Unirea Slobozia,ROMANIA 2,16.0,0.947,0.107,0.03,0.091,05:00:00,1,,LIQUIDADO,1,0,1-0,1,0.06333,0.95,0.94044,b365 Goals_*_FT,2026-09-10 19:43,picks_0x0_2026-08-15.csv
2026-08-15,Reading,Luton,ENGLAND 3,15.0,0.949,0.186,0.06,0.091,08:30:00,1,,LIQUIDADO,3,4,3-4,1,0.06786,0.95,0.93645,b365 Goals_*_FT,2026-09-10 19:43,picks_0x0_2026-08-15.csv
2026-09-09,Hradec Kralove,Plzen,CZECH 1,16.5,0.944,0.029,0.04,0.091,14:00:00,1,,LIQUIDADO,0,0,0-0,0,-1.0,-15.5,0.94225,placares_manuais.xlsx,2026-09-10 19:44,picks_0x0_2026-09-09.csv
2026-09-12,AIK,Vasteras SK,SWEDEN 1,16.5,0.945,0.044,0.05,0.067,10:00:00,1,,LIQUIDADO,1,4,1-4,1,0.06129,0.95,0.94225,b365 Goals_*_FT,2026-09-19 05:01,picks_0x0_2026-09-12.csv
2026-09-12,Leyton Orient,Wycombe,ENGLAND 3,17.5,0.95,0.074,0.07,0.083,08:30:00,1,,LIQUIDADO,2,3,2-3,1,0.05758,0.95,0.94556,b365 Goals_*_FT,2026-09-19 05:01,picks_0x0_2026-09-12.csv
2026-09-19,Tottenham,Aston Villa,ENGLAND 1,17.0,0.949,0.08,0.06,0.077,08:30:00,1,,LIQUIDADO,2,3,2-3,1,0.05937,0.95,0.94395,b365 Goals_*_FT,2026-09-23 05:00,picks_0x0_2026-09-19.csv
2026-09-20,Brondby,FC Copenhagen,DENMARK 1,18.5,0.953,0.084,0.05,0.077,09:00:00,1,,LIQUIDADO,0,1,0-1,1,0.05429,0.95,0.94851,b365 Goals_*_FT,2026-09-23 05:00,picks_0x0_2026-09-20.csv
