Data,Mandante,Visitante,odd_lay,Estrategia,Resultado,mes,res,pnl
2026-07-04,Canada,Morocco,7.0,Trader,GREEN,2026-07,1,0.95
2026-07-04,Criciuma,Sport Recife,13.0,RF+Trader,GREEN,2026-07,1,0.95
2026-07-04,Degerfors,Malmo FF,11.0,Trader,RED,2026-07,0,-10.0
2026-07-04,Hodd,Stromsgodset,18.0,Trader,GREEN,2026-07,1,0.95
2026-07-04,Londrina,CRB,10.5,RF+Trader,GREEN,2026-07,1,0.95
2026-07-04,Novorizontino,Atletico GO,15.5,RF+Trader,GREEN,2026-07,1,0.95
2026-07-04,Paraguay,France,7.6,Trader,RED,2026-07,0,-6.6
2026-07-04,SJK,TPS,21.0,RF,GREEN,2026-07,1,0.95
2026-07-05,Delfin,Emelec,8.6,RF,GREEN,2026-07,1,0.95
2026-07-05,Elfsborg,Hammarby,10.5,Trader,GREEN,2026-07,1,0.95
2026-07-05,Meizhou Hakka,Changchun Yatai,15.0,RF,GREEN,2026-07,1,0.95
2026-07-05,Mexico,England,8.0,Trader,GREEN,2026-07,1,0.95
2026-07-06,Brommapojkarna,GAIS,12.0,RF,GREEN,2026-07,1,0.95
2026-07-06,Keflavik,Fram,22.0,RF,GREEN,2026-07,1,0.95
2026-07-06,Portugal,Spain,11.0,RF+Trader,RED,2026-07,0,-10.0
2026-07-06,USA,Belgium,16.0,RF+Trader,GREEN,2026-07,1,0.95
2026-07-07,Athletic Club,Operario PR,12.0,RF,RED,2026-07,0,-11.0
2026-07-07,Switzerland,Colombia,8.4,RF+Trader,GREEN,2026-07,1,0.95
2026-07-08,Ponte Preta,Criciuma,6.6,RF+Trader,GREEN,2026-07,1,0.95
2026-07-01,Belgium,Senegal,15.0,🌲 Lay 0x1 RF,GREEN,2026-07,1,0.95
2026-07-02,Lyn,Asane,22.0,🌲 Lay 0x1 RF,GREEN,2026-07,1,0.95
2026-07-02,Portugal,Croatia,22.0,🎯 Lay 0x1 Trader,GREEN,2026-07,1,0.95
2026-07-02,Cuiaba,America MG,13.5,🎯 Lay 0x1 Trader,GREEN,2026-07,1,0.95
2026-07-03,Australia,Egypt,7.4,🎯 Lay 0x1 Trader,GREEN,2026-07,1,0.95
2026-07-03,Cobh Ramblers,Cork City,9.2,🌲 Lay 0x1 RF,RED,2026-07,0,-8.2
2026-07-03,Drogheda,Bohemians,9.0,🌲 Lay 0x1 RF,GREEN,2026-07,1,0.95
2026-07-03,Raufoss,Strommen,15.0,🌲 Lay 0x1 RF,GREEN,2026-07,1,0.95
2026-07-03,Shelbourne,Dundalk,17.0,🌲 Lay 0x1 RF,GREEN,2026-07,1,0.95
2026-07-03,Sligo Rovers,Shamrock Rovers,8.6,🌲 Lay 0x1 RF,GREEN,2026-07,1,0.95
