Data,Liga,Home,Away,ID_Evento,Metodo,Odd_Lay,Odd_H_Back,Odd_A_Back,Odd_Under25_FT_Back,Odd_Over35_FT_Back,passa_filtro,capturado_em,Green,PnL_liab,Placar,Status
2026-08-21,CZECH 1,MFK Karvina,Zizkov,35956018,Lay_Draw,6.2,1.38,7.6,2.88,2.2,0,gap-retro,1,0.95,?,GREEN
2026-08-21,SAUDI ARABIA 1,Al Riyadh SC,Al Nassr,35945208,Lay_Draw,7.4,11.5,1.28,3.1,2.18,0,gap-retro,1,0.95,0x4,GREEN
2026-08-21,BOSNIA 1,Sarajevo,FK BSK Banja Luka,35959495,Lay_Draw,6.2,1.32,13.0,2.06,3.15,1,gap-retro,1,0.95,?,GREEN
2026-08-21,CROATIA 1,Rudes,Lokomotiva,35962104,Lay_Home,6.8,6.0,1.61,2.14,3.05,1,gap-retro,0,-5.8,4x1,RED
2026-08-21,ICELAND 2,Aegir,Afturelding,35953331,Lay_Draw,8.0,10.5,1.27,5.3,1.52,0,gap-retro,1,0.95,0x7,GREEN
2026-08-21,TURKEY 1,Erzurum BB,Galatasaray,35950709,Lay_Home,7.4,7.0,1.56,2.32,2.92,1,gap-retro,1,0.95,0x4,GREEN
2026-08-21,IRELAND 2,Treaty United,Cork City,35940826,Lay_Home,8.0,6.8,1.53,2.18,3.0,0,gap-retro,1,0.95,2x2,GREEN
2026-08-21,WALES 1,Cardiff Metropolitan,The New Saints,35956051,Lay_Draw,5.8,9.4,1.37,2.42,2.64,1,gap-retro,1,0.95,0x5,GREEN
2026-08-21,ENGLAND 1,Arsenal,Coventry,35737524,Lay_Draw,7.8,1.22,18.0,2.6,2.58,1,gap-retro,1,0.95,?,GREEN
2026-08-21,ITALY 3,Union Brescia,Carpi,35958377,Lay_Draw,5.5,1.36,12.5,1.93,3.5,1,gap-retro,1,0.95,?,GREEN
2026-08-21,BOLIVIA 1,The Strongest,Universitario de Vinto,35961090,Lay_Draw,6.0,1.4,7.8,3.0,2.04,0,gap-retro,1,0.95,?,GREEN
2026-08-22,SOUTH KOREA 2,Cheonan City,Suwon Bluewings,35947410,Lay_Home,6.4,6.0,1.57,2.4,2.74,1,gap-retro,1,0.95,0x1,GREEN
2026-08-22,CHINA 1,Meizhou Hakka,Guangdong GZ-Power FC,35962876,Lay_Home,8.2,6.8,1.47,2.48,2.52,0,gap-retro,1,0.95,1x5,GREEN
2026-08-22,ENGLAND 1,Hull,Man Utd,35737540,Lay_Draw,5.7,10.0,1.38,2.62,2.54,1,gap-retro,1,0.95,2x0,GREEN
2026-08-22,NETHERLANDS 2,NAC Breda,Jong Ajax Amsterdam,35951313,Lay_Draw,7.2,1.29,11.0,3.8,1.84,0,gap-retro,1,0.95,?,GREEN
2026-08-22,NETHERLANDS 1,Fortuna Sittard,AZ Alkmaar,35944631,Lay_Home,5.7,5.6,1.64,2.88,2.3,1,gap-retro,1,0.95,0x2,GREEN
2026-08-22,CZECH 1,SK Artis Brno,Sparta Prague,35948106,Lay_Home,9.4,8.6,1.4,2.6,2.54,0,gap-retro,1,0.95,0x4,GREEN
2026-08-22,CZECH 1,SK Artis Brno,Sparta Prague,35948106,Lay_Draw,5.8,8.6,1.4,2.6,2.54,1,gap-retro,1,0.95,0x4,GREEN
2026-08-22,BULGARIA 1,Ludogorets,Slavia Sofia,35945414,Lay_Draw,5.5,1.36,11.0,2.28,2.78,1,gap-retro,0,-4.5,?,RED
2026-08-22,ESTONIA 1,Harju JK Laagri,Nomme Kalju,35952269,Lay_Home,5.6,5.1,1.65,2.76,2.3,1,gap-retro,0,-4.6,1x0,RED
2026-08-22,ITALY 3,FC Guidonia Montecelio 1937,Gubbio,35944095,Lay_Over45,18.0,2.36,3.5,1.49,5.7,1,gap-retro,1,0.95,3x0,GREEN
2026-08-22,PERU 1,Sport Huancayo,Cesar Vallejo Moquegua,35949311,Lay_Draw,5.7,1.38,9.4,2.22,2.94,1,gap-retro,1,0.95,?,GREEN
2026-08-22,ITALY 1,Inter,AC Monza,35734727,Lay_Draw,8.8,1.2,18.5,2.66,2.5,0,gap-retro,1,0.95,?,GREEN
2026-08-22,EGYPT 1,Al-Masry,Smouha,35944540,Lay_Over45,19.0,2.46,3.8,1.5,6.4,1,gap-retro,1,0.95,1x0,GREEN
2026-08-22,GREECE 1,AEK Athens,Iraklis,35848421,Lay_Draw,7.2,1.23,20.0,2.44,2.7,1,gap-retro,1,0.95,?,GREEN
2026-08-22,CZECH 1,Slavia Prague,Bohemians 1905,35949247,Lay_Draw,6.4,1.34,10.5,2.86,2.3,0,gap-retro,0,-5.4,?,RED
2026-08-22,FRANCE 2,St Etienne,Grenoble,35945201,Lay_Draw,5.4,1.38,11.0,2.14,3.1,1,gap-retro,1,0.95,?,GREEN
2026-08-22,SAUDI ARABIA 1,Al Ahli,Abha,35955014,Lay_Draw,7.8,1.22,17.0,2.96,2.24,0,gap-retro,1,0.95,?,GREEN
2026-08-22,BULGARIA 1,PFC Levski Sofia,Spartak Varna,35947369,Lay_Draw,6.2,1.31,13.5,2.26,2.82,1,gap-retro,1,0.95,?,GREEN
2026-08-22,GREECE 1,Olympiakos,Atromitos,35850566,Lay_Draw,7.0,1.23,21.0,2.24,3.05,1,gap-retro,1,0.95,?,GREEN
2026-08-22,TURKEY 1,Fenerbahce,Konyaspor,35945417,Lay_Draw,6.6,1.27,14.5,2.6,2.56,1,gap-retro,1,0.95,?,GREEN
2026-08-22,ECUADOR 1,Univ Catolica (Ecu),Manta FC,35949610,Lay_Draw,6.2,1.3,12.5,2.36,2.8,1,gap-retro,1,0.95,?,GREEN
2026-08-22,PORTUGAL 1,Sporting Lisbon,Alverca,35945509,Lay_Draw,8.2,1.23,15.5,2.98,2.26,0,gap-retro,1,0.95,?,GREEN
2026-08-22,SPAIN 1,Espanyol,Real Madrid,35895520,Lay_Home,8.6,8.4,1.44,2.62,2.52,0,gap-retro,1,0.95,1x2,GREEN
2026-08-22,VENEZUELA 1,Rayo Zuliano,Deportivo La Guaira,35964490,Lay_Home,7.0,6.6,1.64,1.79,4.0,1,gap-retro,1,0.95,1x4,GREEN
2026-08-22,USA 1,Inter Miami CF,Toronto FC,35947115,Lay_Draw,6.6,1.38,8.0,5.0,1.59,0,gap-retro,1,0.95,?,GREEN
2026-08-22,COLOMBIA 1,Ind Medellin,Cucuta Deportivo,35946024,Lay_Draw,6.8,1.27,14.0,2.4,2.78,1,gap-retro,1,0.95,?,GREEN
2026-08-22,USA 1,Vancouver Whitecaps,FC Dallas,35947155,Lay_Draw,5.8,1.4,8.6,3.05,2.16,0,gap-retro,1,0.95,?,GREEN
2026-08-23,CHINA 1,Shanghai Port FC,Qingdao Hainiu,35947513,Lay_Draw,6.6,1.35,9.0,3.8,1.85,0,gap-retro,1,0.95,?,GREEN
2026-08-23,FINLAND 1,KuPS,IFK Mariehamn,35948175,Lay_Draw,6.0,1.37,9.4,2.78,2.36,0,gap-retro,1,0.95,?,GREEN
2026-08-23,SWITZERLAND 1,Young Boys,FC Vaduz,35950898,Lay_Draw,6.8,1.33,9.6,4.9,1.6,0,gap-retro,1,0.95,?,GREEN
2026-08-23,NETHERLANDS 1,PSV,FC Groningen,35947045,Lay_Draw,7.0,1.31,10.5,4.4,1.72,0,gap-retro,1,0.95,?,GREEN
2026-08-23,NETHERLANDS 1,Cambuur Leeuwarden,Feyenoord,35945441,Lay_Draw,7.4,14.0,1.25,3.6,1.9,0,gap-retro,1,0.95,2x5,GREEN
2026-08-23,BULGARIA 1,Septemvri,CSKA 1948 Sofia,35947435,Lay_Home,7.0,6.2,1.61,1.98,3.5,1,gap-retro,0,-6.0,1x0,RED
2026-08-23,ESTONIA 1,Parnu JK Vaprus,Tallinna FC Flora,35952168,Lay_Home,5.7,5.2,1.59,2.96,2.16,1,gap-retro,1,0.95,1x2,GREEN
2026-08-23,TURKEY 2,Boluspor,Mardin Buyuksehir Belediyespor,35969877,Lay_Home,7.2,6.4,1.61,1.92,3.65,1,gap-retro,1,0.95,0x3,GREEN
2026-08-23,BELGIUM 1,Club Brugge,Cercle Brugge,35949057,Lay_Draw,7.0,1.32,10.0,3.85,1.83,0,gap-retro,1,0.95,?,GREEN
2026-08-23,BOSNIA 1,Borac Banja Luka,Celik Zenica,35969300,Lay_Draw,7.6,1.22,19.0,2.24,2.74,1,gap-retro,1,0.95,?,GREEN
2026-08-23,ITALY 1,Frosinone,Juventus,35737568,Lay_Home,8.4,8.2,1.48,2.38,2.78,0,gap-retro,1,0.95,0x1,GREEN
2026-08-23,SERBIA 1,Crvena Zvezda,Cukaricki,35952265,Lay_Draw,8.8,1.2,15.0,3.1,2.04,0,gap-retro,1,0.95,?,GREEN
2026-08-23,ISRAEL 1,Hapoel Jerusalem,Maccabi Tel Aviv,35945742,Lay_Home,8.6,7.0,1.5,2.14,3.05,0,gap-retro,1,0.95,2x5,GREEN
2026-08-23,FRANCE 1,Rennes,Paris St-G,35963344,Lay_Home,7.0,6.8,1.5,2.98,2.24,0,gap-retro,1,0.95,2x2,GREEN
2026-08-23,BOLIVIA 1,CDT Real Oruro,Bolivar,35964463,Lay_Home,8.0,6.4,1.44,3.65,1.83,0,gap-retro,1,0.95,2x4,GREEN
2026-08-23,BOSNIA 1,Zrinjski,Zeljeznicar,35966087,Lay_Draw,8.0,1.2,23.0,2.22,2.88,1,gap-retro,1,0.95,?,GREEN
2026-08-23,ICELAND 1,Vikingur Reykjavik,Valur,35969293,Lay_Draw,6.8,1.36,7.8,4.6,1.64,0,gap-retro,1,0.95,?,GREEN
2026-08-23,PORTUGAL 1,Porto,Arouca,35949415,Lay_Draw,6.6,1.3,12.5,2.42,2.82,1,gap-retro,1,0.95,?,GREEN
2026-08-23,SPAIN 1,Elche,Barcelona,35895544,Lay_Home,9.6,9.4,1.37,2.88,2.34,0,gap-retro,1,0.95,0x5,GREEN
2026-08-23,SPAIN 1,Elche,Barcelona,35895544,Lay_Draw,6.2,9.4,1.37,2.88,2.34,0,gap-retro,1,0.95,0x5,GREEN
2026-08-23,COLOMBIA 2,Quindio,Envigado,35970962,Lay_Over45,18.0,2.36,3.35,1.5,5.8,1,gap-retro,1,0.95,1x0,GREEN
2026-08-23,BOLIVIA 1,Real Tomayapo,Always Ready,35964481,Lay_Home,6.4,5.7,1.61,2.36,2.66,1,gap-retro,1,0.95,1x1,GREEN
2026-08-23,PERU 1,Universitario de Deportes,CD Los Chankas,35949514,Lay_Draw,6.8,1.27,14.5,2.3,2.88,1,gap-retro,1,0.95,?,GREEN
2026-08-24,SAUDI ARABIA 1,NEOM Sports Club,Al-Quadisiya (KSA),35973462,Lay_Home,7.0,6.8,1.51,2.7,2.42,0,gap-retro,1,0.95,0x2,GREEN
2026-08-24,NETHERLANDS 2,Jong FC Utrecht,Heracles,35951327,Lay_Home,6.8,6.4,1.52,2.62,2.44,0,gap-retro,1,0.95,1x6,GREEN
2026-08-24,PARAGUAY 1,Libertad,Sportivo San Lorenzo,35952439,Lay_Draw,5.4,1.37,11.0,2.26,2.96,1,gap-retro,1,0.95,?,GREEN
2026-08-24,COLOMBIA 2,Boyaca Patriotas,Atletico FC Cali,35974913,Lay_Draw,5.4,1.39,9.6,2.22,3.05,1,gap-retro,1,0.95,?,GREEN
2026-08-25,SOUTH AFRICA 1,Orlando Pirates (SA),Sekhukhune United,35977946,Lay_Draw,5.4,1.36,12.0,1.83,3.85,1,gap-retro,1,0.95,?,GREEN
2026-08-25,SAUDI ARABIA 1,Al-Ettifaq,Al Nassr,35970821,Lay_Draw,7.6,10.0,1.29,3.85,1.83,0,gap-retro,1,0.95,2x3,GREEN
2026-08-25,ENGLAND CUP,Doncaster,Middlesbrough,35927693,Lay_Home,6.2,6.0,1.62,2.38,2.72,1,gap-retro,1,0.95,1x3,GREEN
2026-08-25,ENGLAND CUP,Sheff Wed,Wolves,35928144,Lay_Home,6.6,6.2,1.61,2.24,3.05,1,gap-retro,1,0.95,0x2,GREEN
2026-08-25,ICELAND 2,Afturelding,Grotta,35957099,Lay_Draw,9.0,1.26,10.0,4.6,1.6,0,gap-retro,1,0.95,?,GREEN
2026-08-25,ARGENTINA 2,Deportivo Madryn,Godoy Cruz,35961638,Lay_Over45,18.5,2.2,4.4,1.5,6.0,1,gap-retro,1,0.95,2x0,GREEN
2026-08-25,COLOMBIA 1,Santa Fe,Jaguares de Cordoba,35972017,Lay_Over45,10.5,1.28,9.0,1.44,1.33,1,gap-retro,,,,PENDENTE
2026-08-26,NORWAY 2,Stromsgodset,Hodd,35957294,Lay_Draw,8.2,1.27,11.0,3.6,1.87,0,gap-retro,1,0.95,?,GREEN
2026-08-26,SOUTH AFRICA 1,Mamelodi Sundowns,AmaZulu,35978182,Lay_Draw,6.4,1.28,15.5,2.08,3.2,1,gap-retro,1,0.95,?,GREEN
2026-08-26,ARGENTINA 2,Patronato,CA Atlanta,35961656,Lay_Over45,19.5,2.5,3.4,1.46,6.6,1,gap-retro,1,0.95,2x0,GREEN
2026-08-26,ENGLAND CUP,Newcastle,West Brom,35931576,Lay_Draw,6.0,1.38,9.4,2.84,2.3,0,gap-retro,1,0.95,?,GREEN
2026-08-26,ENGLAND CUP,Tottenham,Charlton,35928667,Lay_Draw,7.0,1.27,13.5,2.96,2.2,0,gap-retro,1,0.95,?,GREEN
2026-08-26,ENGLAND CUP,Preston,Everton,35928174,Lay_Home,7.2,6.6,1.55,2.26,2.9,1,gap-retro,1,0.95,0x4,GREEN
2026-08-26,SPAIN 1,Real Madrid,Real Sociedad,35780321,Lay_Draw,6.8,1.3,11.5,3.3,2.06,0,gap-retro,1,0.95,?,GREEN
2026-08-26,BOLIVIA 1,Real Potosi,Real Tomayapo,35979593,Lay_Draw,5.9,1.34,11.5,2.64,2.48,0,gap-retro,1,0.95,?,GREEN
2026-08-26,ARGENTINA 2,CA Colegiales,FC Midland,35967984,Lay_Draw,6.6,2.42,1.09,1.25,1.05,0,gap-retro,,,,PENDENTE
2026-08-26,BOLIVIA 1,Blooming Santa Cruz,CDT Real Oruro,35980683,Lay_Draw,7.2,1.36,7.0,4.1,1.67,0,gap-retro,0,-6.2,?,RED
2026-08-26,COPA SUDAMERICANA,River Plate,Santa Fe,35965764,Lay_Draw,5.2,1.36,13.5,1.78,4.3,1,gap-retro,0,-4.2,?,RED
2026-08-27,EUROPA CONFERENCE LEAGUE,Freiburg,Motherwell,35969017,Lay_Draw,9.2,1.2,17.0,2.98,2.18,0,gap-retro,1,0.95,?,GREEN
2026-08-27,EUROPA CONFERENCE LEAGUE,FC Copenhagen,FC Inter Turku,35964583,Lay_Draw,6.4,1.31,12.5,2.62,2.46,0,gap-retro,1,0.95,?,GREEN
2026-08-27,EUROPA CONFERENCE LEAGUE,Pafos FC,Dinamo Tirana,35969161,Lay_Draw,6.2,1.32,13.0,2.36,2.72,1,gap-retro,1,0.95,?,GREEN
2026-08-27,EUROPA LEAGUE,FK Kauno Zalgiris,Besiktas,35968035,Lay_Home,10.0,9.6,1.4,2.18,3.05,0,gap-retro,0,-9.0,1x0,RED
2026-08-27,EUROPA LEAGUE,FK Kauno Zalgiris,Besiktas,35968035,Lay_Draw,5.4,9.6,1.4,2.18,3.05,1,gap-retro,1,0.95,1x0,GREEN
2026-08-27,EUROPA LEAGUE,Red Bull Salzburg,Mjallby,35967941,Lay_Draw,7.6,1.25,13.0,3.0,2.2,0,gap-retro,1,0.95,?,GREEN
2026-08-27,EUROPA CONFERENCE LEAGUE,Ajax,Sion,35969276,Lay_Draw,6.6,1.36,9.0,3.6,1.84,0,gap-retro,1,0.95,?,GREEN
2026-08-27,EUROPA CONFERENCE LEAGUE,Hapoel Tel Aviv,Atalanta,35967945,Lay_Home,7.6,7.0,1.51,2.36,2.8,0,gap-retro,1,0.95,0x1,GREEN
2026-08-27,EUROPA LEAGUE,AGF,Benfica,35964593,Lay_Home,8.0,7.8,1.44,2.92,2.24,0,gap-retro,1,0.95,1x3,GREEN
2026-08-27,ENGLAND CUP,Chelsea,Luton,35928173,Lay_Draw,10.0,1.17,21.0,3.9,1.87,0,gap-retro,1,0.95,2x0,GREEN
2026-08-27,EUROPA CONFERENCE LEAGUE,Brighton,Tromso,35971320,Lay_Draw,7.6,1.23,18.5,2.74,2.3,0,gap-retro,1,0.95,?,GREEN
2026-08-27,EUROPA LEAGUE,Anderlecht,Kairat Almaty,35964598,Lay_Draw,5.6,1.39,9.6,2.3,2.9,1,gap-retro,1,0.95,?,GREEN
2026-08-27,BOLIVIA 1,Always Ready,Aurora,35980680,Lay_Draw,7.2,1.28,10.5,3.1,2.08,0,gap-retro,0,-6.2,?,RED
2026-08-27,ENGLAND CUP,Fulham,AFC Wimbledon,35931570,Lay_Draw,7.8,1.24,16.0,3.2,2.08,0,gap-retro,1,0.95,?,GREEN
2026-08-27,SPAIN 1,Barcelona,Athletic Bilbao,35780320,Lay_Draw,7.8,1.25,13.5,3.35,2.02,0,gap-retro,1,0.95,?,GREEN
2026-08-27,PARAGUAY CUP,Resistencia SC,Cerro Porteno,35986422,Lay_Home,10.0,8.2,1.42,2.12,2.98,0,gap-retro,1,0.95,0x1,GREEN
2026-08-27,ARGENTINA CUP,CA Platense,Instituto,35950134,Lay_Over45,18.0,3.95,2.38,1.5,6.2,1,gap-retro,1,0.95,1x1,GREEN
2026-08-28,SOUTH KOREA 2,Ansan Greeners FC,Daegu Fc,35969850,Lay_Home,8.2,7.6,1.43,2.92,2.2,0,gap-retro,1,0.95,1x2,GREEN
2026-08-28,SAUDI ARABIA 1,Al-Anwar Club,Al-Ula FC,35985563,Lay_Home,6.8,6.2,1.59,2.16,3.05,1,gap-retro,1,0.95,0x1,GREEN
2026-08-28,EGYPT 1,Al Ittihad (EGY),Ceramica Cleopatra,35975686,Lay_Over45,20.0,5.6,2.02,1.46,6.6,1,gap-retro,1,0.95,1x3,GREEN
2026-08-28,SAUDI ARABIA 1,Al-Khaleej Saihat,Al-Hilal,35983824,Lay_Draw,6.6,11.5,1.3,2.62,2.52,0,gap-retro,1,0.95,1x5,GREEN
2026-08-28,SAUDI ARABIA 1,Al Nassr,Al-Taawoun Buraidah,35984822,Lay_Draw,6.8,1.29,13.0,3.45,1.98,0,gap-retro,1,0.95,?,GREEN
2026-08-28,GERMANY 1,Bayern Munich,Stuttgart,35785195,Lay_Draw,8.4,1.25,12.0,5.9,1.49,0,gap-retro,1,0.95,?,GREEN
2026-08-28,IRELAND 2,Cork City,Wexford F.C,35967706,Lay_Draw,6.6,1.33,10.0,2.96,2.22,0,gap-retro,1,0.95,?,GREEN
2026-08-28,IRELAND 2,UCD,Finn Harps,35967710,Lay_Draw,8.0,1.25,13.5,3.4,1.99,0,gap-retro,1,0.95,?,GREEN
2026-08-28,IRELAND 1,Bohemians,Sligo Rovers,35967662,Lay_Draw,6.8,1.28,13.5,2.72,2.4,0,gap-retro,1,0.95,?,GREEN
2026-08-28,IRELAND 1,St Patricks,Waterford,35967700,Lay_Draw,5.7,1.4,8.6,2.7,2.44,0,gap-retro,1,0.95,?,GREEN
2026-08-28,WALES 1,Holywell Town,Caernarfon Town,35974392,Lay_Draw,8.6,12.5,1.24,3.2,2.04,0,gap-retro,1,0.95,3x5,GREEN
2026-08-28,WALES 1,The New Saints,Colwyn Bay,35974415,Lay_Draw,7.0,1.28,11.5,2.64,2.44,0,gap-retro,1,0.95,?,GREEN
2026-08-28,ICELAND 2,Fylkir,Grotta,35989819,Lay_Draw,6.8,1.38,7.2,4.5,1.65,0,gap-retro,1,0.95,?,GREEN
2026-08-28,PORTUGAL 1,Rio Ave,Sporting Lisbon,35971610,Lay_Draw,5.8,11.0,1.36,2.54,2.62,1,gap-retro,1,0.95,0x4,GREEN
2026-08-29,ROMANIA 2,Bihor Oradea,CSL Stefanestii de Jos,35973189,Lay_Draw,7.0,1.26,14.0,2.28,2.7,1,gap-retro,1,0.95,2x0,GREEN
2026-08-29,JAPAN 1,Nagasaki,FC Tokyo,35969793,Lay_Home,6.2,6.0,1.62,2.1,3.25,1,gap-retro,1,0.95,0x1,GREEN
