Data,Liga,Home,Away,ID_Evento,Odd_H_Back,Odd_A_Back,Odd_Under25_FT_Back,Odd_Over35_FT_Back,Metodo,Odd_Lay,passa_filtro,kh,ka,Green,Placar,Fonte
2026-08-21,CZECH 1,MFK Karvina,Zizkov,35956018,1.38,7.6,2.88,2.2,Lay_Draw,6.2,0,mfkkarvina,zizkov,True,?,sinais1/0
2026-08-21,SAUDI ARABIA 1,Al Riyadh SC,Al Nassr,35945208,11.5,1.28,3.1,2.18,Lay_Draw,7.4,0,alriyadhsc,alnassr,True,0x4,manual_user
2026-08-21,BOSNIA 1,Sarajevo,FK BSK Banja Luka,35959495,1.32,13.0,2.06,3.15,Lay_Draw,6.2,1,sarajevo,fkbskbanjaluka,True,?,sinais1/0
2026-08-21,CROATIA 1,Rudes,Lokomotiva,35962104,6.0,1.61,2.14,3.05,Lay_Home,6.8,1,rudes,lokomotiva,False,4x1,manual_user
2026-08-21,ICELAND 2,Aegir,Afturelding,35953331,10.5,1.27,5.3,1.52,Lay_Draw,8.0,0,aegir,afturelding,True,0x7,manual_user
2026-08-21,TURKEY 1,Erzurum BB,Galatasaray,35950709,7.0,1.56,2.32,2.92,Lay_Home,7.4,1,erzurumbb,galatasaray,True,0x4,manual_user
2026-08-21,IRELAND 2,Treaty United,Cork City,35940826,6.8,1.53,2.18,3.0,Lay_Home,8.0,0,treatyunited,corkcity,True,2x2,manual_user
2026-08-21,WALES 1,Cardiff Metropolitan,The New Saints,35956051,9.4,1.37,2.42,2.64,Lay_Draw,5.8,1,cardiffmetropolitan,thenewsaints,True,0x5,manual_user
2026-08-21,ENGLAND 1,Arsenal,Coventry,35737524,1.22,18.0,2.6,2.58,Lay_Draw,7.8,1,arsenal,coventry,True,?,sinais1/0
2026-08-21,ITALY 3,Union Brescia,Carpi,35958377,1.36,12.5,1.93,3.5,Lay_Draw,5.5,1,unionbrescia,carpi,True,?,sinais1/0
2026-08-21,BOLIVIA 1,The Strongest,Universitario de Vinto,35961090,1.4,7.8,3.0,2.04,Lay_Draw,6.0,0,thestrongest,universitariodevinto,True,?,sinais1/0
2026-08-22,SOUTH KOREA 2,Cheonan City,Suwon Bluewings,35947410,6.0,1.57,2.4,2.74,Lay_Home,6.4,1,cheonancity,suwonbluewings,True,0x1,manual_user
2026-08-22,CHINA 1,Meizhou Hakka,Guangdong GZ-Power FC,35962876,6.8,1.47,2.48,2.52,Lay_Home,8.2,0,meizhouhakka,guangdonggzpowerfc,True,1x5,manual_user
2026-08-22,ENGLAND 1,Hull,Man Utd,35737540,10.0,1.38,2.62,2.54,Lay_Draw,5.7,1,hull,manutd,True,2x0,manual_user
2026-08-22,NETHERLANDS 2,NAC Breda,Jong Ajax Amsterdam,35951313,1.29,11.0,3.8,1.84,Lay_Draw,7.2,0,nacbreda,jongajaxamsterdam,True,?,sinais1/0
2026-08-22,NETHERLANDS 1,Fortuna Sittard,AZ Alkmaar,35944631,5.6,1.64,2.88,2.3,Lay_Home,5.7,1,fortunasittard,azalkmaar,True,0x2,manual_user
2026-08-22,CZECH 1,SK Artis Brno,Sparta Prague,35948106,8.6,1.4,2.6,2.54,Lay_Home,9.4,0,skartisbrno,spartaprague,True,0x4,manual_user
2026-08-22,CZECH 1,SK Artis Brno,Sparta Prague,35948106,8.6,1.4,2.6,2.54,Lay_Draw,5.8,1,skartisbrno,spartaprague,True,0x4,manual_user
2026-08-22,BULGARIA 1,Ludogorets,Slavia Sofia,35945414,1.36,11.0,2.28,2.78,Lay_Draw,5.5,1,ludogorets,slaviasofia,False,?,sinais1/0
2026-08-22,ESTONIA 1,Harju JK Laagri,Nomme Kalju,35952269,5.1,1.65,2.76,2.3,Lay_Home,5.6,1,harjujklaagri,nommekalju,False,1x0,manual_user
2026-08-22,ITALY 3,FC Guidonia Montecelio 1937,Gubbio,35944095,2.36,3.5,1.49,5.7,Lay_Over45,18.0,1,fcguidoniamontecelio1937,gubbio,True,3x0,manual_user
2026-08-22,PERU 1,Sport Huancayo,Cesar Vallejo Moquegua,35949311,1.38,9.4,2.22,2.94,Lay_Draw,5.7,1,sporthuancayo,cesarvallejomoquegua,True,?,sinais1/0
2026-08-22,ITALY 1,Inter,AC Monza,35734727,1.2,18.5,2.66,2.5,Lay_Draw,8.8,0,inter,acmonza,True,?,sinais1/0
2026-08-22,EGYPT 1,Al-Masry,Smouha,35944540,2.46,3.8,1.5,6.4,Lay_Over45,19.0,1,almasry,smouha,True,1x0,manual_user
2026-08-22,GREECE 1,AEK Athens,Iraklis,35848421,1.23,20.0,2.44,2.7,Lay_Draw,7.2,1,aekathens,iraklis,True,?,sinais1/0
2026-08-22,CZECH 1,Slavia Prague,Bohemians 1905,35949247,1.34,10.5,2.86,2.3,Lay_Draw,6.4,0,slaviaprague,bohemians1905,False,?,sinais1/0
2026-08-22,FRANCE 2,St Etienne,Grenoble,35945201,1.38,11.0,2.14,3.1,Lay_Draw,5.4,1,stetienne,grenoble,True,?,sinais1/0
2026-08-22,SAUDI ARABIA 1,Al Ahli,Abha,35955014,1.22,17.0,2.96,2.24,Lay_Draw,7.8,0,alahli,abha,True,?,sinais1/0
2026-08-22,BULGARIA 1,PFC Levski Sofia,Spartak Varna,35947369,1.31,13.5,2.26,2.82,Lay_Draw,6.2,1,pfclevskisofia,spartakvarna,True,?,sinais1/0
2026-08-22,GREECE 1,Olympiakos,Atromitos,35850566,1.23,21.0,2.24,3.05,Lay_Draw,7.0,1,olympiakos,atromitos,True,?,sinais1/0
2026-08-22,TURKEY 1,Fenerbahce,Konyaspor,35945417,1.27,14.5,2.6,2.56,Lay_Draw,6.6,1,fenerbahce,konyaspor,True,?,sinais1/0
2026-08-22,ECUADOR 1,Univ Catolica (Ecu),Manta FC,35949610,1.3,12.5,2.36,2.8,Lay_Draw,6.2,1,univcatolicaecu,mantafc,True,?,sinais1/0
2026-08-22,PORTUGAL 1,Sporting Lisbon,Alverca,35945509,1.23,15.5,2.98,2.26,Lay_Draw,8.2,0,sportinglisbon,alverca,True,?,sinais1/0
