Data,kh,ka,mk,lay_real,g,fonte
2026-08-29,bihororadea,cslstefanestiidejos,Lay Away,14.42,1,validacao
2026-08-29,chengdurongcheng,liaoningtierenfc,Lay Away,8.24,1,validacao
2026-08-29,afturelding,ifvestri,Lay Away,14.94,1,validacao
2026-08-29,partick,queenspark,Lay Away,11.33,1,validacao
2026-08-29,celtic,falkirk,Lay Away,13.91,1,validacao
2026-08-29,sorrento,crotone,Lay Away,10.0,1,validacao
2026-08-29,dortmund,hamburgersv,Lay Away,8.86,1,validacao
2026-08-29,azalkmaar,goaheadeagles,Lay Away,8.65,1,validacao
2026-08-29,beitarjerusalem,maccabinetanya,Lay Away,6.59,1,validacao
2026-08-29,galatasaray,goztepe,Lay Away,11.85,1,validacao
2026-08-29,varazdin,rudes,Lay Away,12.36,1,validacao
2026-08-29,cosenza,potenza,Lay Away,10.0,0,validacao
2026-08-29,intermilanres,teamaltamura,Lay Away,10.0,1,validacao
2026-08-29,guarani,brusquefc,Lay Away,9.68,1,validacao
2026-08-29,realcartagena,tigresfczipaquira,Lay Away,14.94,1,validacao
2026-08-29,intermiamicf,cfmontreal,Lay Away,6.59,1,validacao
2026-08-29,alianzalima,deportivogarcilaso,Lay Away,13.91,1,validacao
2026-08-30,guangdonggzpowerfc,changchunyatai,Lay Away,8.45,1,validacao
2026-08-30,bodoglimt,rosenborg,Lay Away,9.06,1,validacao
2026-08-30,lnzlebedyn,veresrivne,Lay Away,11.33,1,validacao
2026-08-30,plzen,slovacko,Lay Away,11.33,1,validacao
2026-08-30,viking,aalesunds,Lay Away,10.09,0,validacao
2026-08-30,slovanbratislava,zemplin,Lay Away,10.81,1,validacao
2026-08-30,rennes,lemans,Lay Away,9.06,1,validacao
2026-08-30,manutd,ipswich,Lay Away,9.27,1,validacao
2026-08-30,redbullsalzburg,austriawien,Lay Away,8.86,1,validacao
2026-08-30,fram,kaakureyri,Lay Away,7.21,1,validacao
2026-08-30,mallorca,adceutafc,Lay Away,9.06,1,validacao
2026-08-30,flamengo,botafogofr,Lay Away,10.3,1,validacao
2026-08-30,argentinosjuniors,aldosivi,Lay Away,10.81,1,validacao
2026-08-30,carabobofc,zamorafc,Lay Away,10.09,1,validacao
2026-08-30,toluca,fcjuarez,Lay Away,10.3,1,validacao
2026-08-29,nagasaki,fctokyo,Lay Home,6.2,1,validacao
2026-08-29,elversberg,leverkusen,Lay Home,5.8,1,validacao
2026-08-29,alkholoodclub,alahli,Lay Home,9.0,1,validacao
2026-08-29,nkistra,dinamozagreb,Lay Home,8.0,1,validacao
2026-08-29,hapoelramatgan,hapoelbeersheva,Lay Home,8.4,1,validacao
2026-08-29,kansascity,vancouverwhitecaps,Lay Home,7.6,1,validacao
2026-08-30,fcutrecht,psv,Lay Home,5.8,1,validacao
2026-08-30,gwangjufc,fcseoul,Lay Home,8.0,1,validacao
