Data,Hora,Liga,Jogo,Método,Mercado,Lado,Odd_Entrada,Odd_Fav,Expectativa_WR,EV_Estimado,1/0,P/L,Placar,Resultado,Stake_R$,PnL_R$,PnL_u,Stake_Sugerida_R$,Lucro_Green_R$,Risco_Red_R$,mk,kh,ka,lay_real,g
2026-08-21,11:30,ROMANIA 2,Chindia Targoviste x CS FC Dinamo Bucuresti,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,7.35,1.07,94.3%,+3.18%,1,0.15196850393700786,,,,,,,,,Lay Under 0.5,chindiatargoviste,csfcdinamobucuresti,110.0,1
2026-08-21,13:00,CZECH 1,MFK Karvina x Zizkov,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.46,1.38,85.8%,+3.26%,1,0.2163677130044843,,,,,,,,,Lay Draw,mfkkarvina,zizkov,6.2,1
2026-08-21,13:00,ESTONIA 1,FCI Tallinn x Trans Narva,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,9.89,1.15,85.8%,+3.26%,1,0.10854893138357705,,,,,,,,,Lay Draw,fcitallinn,transnarva,11.0,1
2026-08-21,14:00,EGYPT 1,Zamalek x Al Ittihad (EGY),Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,11.03,1.5,94.3%,+3.18%,0,-1.0,,,,,,,,,Lay Under 0.5,zamalek,alittihadegy,12.5,0
2026-08-21,15:00,BOSNIA 1,Sarajevo x FK BSK Banja Luka,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.77,1.32,85.8%,+3.26%,1,0.20230607966457023,,,,,,,,,Lay Draw,sarajevo,fkbskbanjaluka,6.2,1
2026-08-21,15:00,ICELAND 2,Aegir x Afturelding,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,14.7,1.27,94.3%,+3.18%,1,0.07043795620437956,,,,,,,,,Lay Under 0.5,aegir,afturelding,110.0,1
2026-08-21,16:00,ENGLAND 1,Arsenal x Coventry,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.83,1.22,85.8%,+3.26%,1,0.14128843338213762,,,,,,,,,Lay Draw,arsenal,coventry,7.8,1
2026-08-21,16:00,ITALY 3,Union Brescia x Carpi,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,12.6,1.36,94.3%,+3.18%,1,0.08318965517241379,,,,,,,,,Lay Under 0.5,unionbrescia,carpi,15.5,1
2026-08-21,16:00,ITALY 3,Union Brescia x Carpi,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,4.94,1.36,85.8%,+3.26%,1,0.24492385786802026,,,,,,,,,Lay Draw,unionbrescia,carpi,5.5,1
2026-08-21,19:30,BOLIVIA 1,The Strongest x Universitario de Vinto,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.46,1.4,85.8%,+3.26%,1,0.2163677130044843,,,,,,,,,Lay Draw,thestrongest,universitariodevinto,6.0,1
