data,liga_bf,home,away,odd_h,odd_d,odd_a,odd_over25,gols_h_ft,gols_a_ft,venceu_mandante,base_sot_h,base_corners_h,base_shots_h,base_tem_stats,eventid,league_id,fm_tem_stats,fm_tem_xg,xg_h,xg_a,sot_h,sot_a,shots_h,shots_a,corners_h,corners_a,bigch_h,bigch_a,touches_box_h,touches_box_a,poss_h
2026-03-01,JAPAN 2,Renofa Yamaguchi,Gainare Tottori,1.57,3.5,4.6,1.85,0.0,0.0,0,2.0,3.0,8.0,1,5131115,918273,0,0,,,,,,,,,,,,,
2026-03-01,PARAGUAY 1,Cerro Porteno,Recoleta,1.17,6.25,13.0,1.65,2.0,0.0,1,0.0,1.0,4.0,1,1000005638,199,1,0,,,0,2,5,6,1,0,0,0,6,3,63
2026-03-01,PERU 1,U. de Deportes,FC Cajamarca,1.22,5.5,13.0,1.62,1.0,0.0,1,0.0,2.0,4.0,1,5169213,919710,1,0,,,0,1,4,2,2,1,0,0,7,8,64
2026-03-01,VENEZUELA 1,La Guaira,Rayo Zuliano,1.2,4.75,11.0,1.91,1.0,0.0,1,2.0,5.0,7.0,1,5142084,919709,1,0,,,2,0,7,5,5,2,0,0,,,64
2026-03-01,FRANCE 1,Lille,Nantes,1.5,4.2,6.5,1.93,1.0,0.0,1,2.0,1.0,4.0,1,4830666,53,1,1,0.27,0.09,2,1,4,1,1,1,0,0,8,2,67
2026-03-01,ROMANIA 1,Dinamo Bucuresti,FC Arges,1.53,3.3,6.25,2.35,0.0,1.0,0,4.0,1.0,7.0,1,4824856,900636,1,0,,,4,4,7,6,1,2,2,0,13,7,59
2026-03-01,DENMARK 1,Midtjylland,Brondby,1.45,4.2,6.5,1.57,0.0,0.0,0,2.0,4.0,8.0,1,,,0,0,,,,,,,,,,,,,
2026-03-01,AUSTRIA 1,Salzburg,Hartberg,1.42,4.75,6.0,1.57,0.0,0.0,0,2.0,4.0,15.0,1,4832297,900625,1,1,1.10,0.13,2,0,15,3,4,1,1,0,28,1,78
2026-03-01,SWITZERLAND 1,Young Boys,Zurich,1.53,4.33,5.0,1.48,3.0,0.0,1,4.0,5.0,15.0,1,5106019,900529,1,1,0.88,0.09,4,1,15,3,5,0,0,0,31,2,71
2026-03-01,BELGIUM 2,Lommel SK,Seraing,1.53,4.0,5.0,1.67,0.0,1.0,0,1.0,2.0,4.0,1,4862835,264,1,1,0.40,0.32,1,2,5,4,2,5,1,1,7,6,66
2026-03-01,ITALY 4,Milazzo,USD Ragusa,1.24,4.3,13.5,2.27,0.0,1.0,0,0.0,0.0,0.0,0,,,0,0,,,,,,,,,,,,,
2026-03-01,ITALY 4,Desenzano,Crema,1.38,3.95,7.5,1.85,0.0,0.0,0,0.0,0.0,0.0,0,,,0,0,,,,,,,,,,,,,
2026-03-01,ITALY 4,Mestre,Adriese,1.36,3.8,7.0,2.1,1.0,0.0,1,0.0,0.0,0.0,0,,,0,0,,,,,,,,,,,,,
