mes,Date,League,Home,Away,odd_lay,p,ev,liga_0x0_rate,mkt_prob_0x0,target,pnl
2024-03,2024-03-16,ITALY 1,Udinese,Torino,8.0,0.9175,0.2942,0.07,0.1538,1,0.95
2024-03,2024-03-16,ENGLAND 1,Burnley,Brentford,16.0,0.943,0.0408,0.04,0.0667,1,0.95
2024-03,2024-03-17,MEXICO 1,Guadalajara Chivas,Club America,13.0,0.9371,0.136,0.06,0.0909,0,-12.0
2024-03,2024-03-17,FRANCE 1,Brest,Lille,9.6,0.9456,0.4301,0.06,0.1538,1,0.95
2024-03,2024-03-17,SPAIN 2,Leganes,Mirandes,8.0,0.8964,0.126,0.17,0.1667,1,0.95
2024-03,2024-03-17,FRANCE 1,Reims,Metz,13.5,0.9365,0.0954,0.06,0.0909,1,0.95
2024-03,2024-03-17,CHILE 1,Coquimbo,Colo Colo,17.0,0.9479,0.0663,0.04,0.1053,0,-16.0
2024-03,2024-03-17,PORTUGAL 3,Caldas,Amora,12.5,0.9365,0.1589,0.09,0.0909,1,0.95
2024-03,2024-03-17,SPAIN 1,Las Palmas,Almeria,12.5,0.9305,0.0844,0.09,0.0769,1,0.95
2024-03,2024-03-17,PORTUGAL 2,Leixoes,Mafra,11.0,0.9433,0.3296,0.05,0.1429,1,0.95
2024-03,2024-03-17,WOM SPAIN 1,Athletic Bilbao W,Valencia W,12.5,0.951,0.3399,0.02,0.1,1,0.95
2024-03,2024-03-17,SPAIN 1,Rayo Vallecano,Betis,9.6,0.9139,0.1277,0.09,0.1429,1,0.95
2024-03,2024-03-17,COLOMBIA 1,Envigado,Millonarios,12.0,0.9342,0.1638,0.09,0.125,1,0.95
2024-03,2024-03-17,MEXICO 1,Toluca,UNAM Pumas,18.5,0.9509,0.0444,0.06,0.0667,1,0.95
2024-03,2024-03-17,COLOMBIA 1,Pereira,Aguilas,8.6,0.9147,0.2205,0.09,0.1538,1,0.95
2024-03,2024-03-20,JAPAN 2,Tokushima,Renofa Yamaguchi,10.5,0.9157,0.0691,0.07,0.125,1,0.95
2024-03,2024-03-20,ECUADOR 1,Dep. Cuenca,Macara,11.5,0.9375,0.2349,0.11,0.1176,1,0.95
2024-03,2024-03-22,IRELAND 2,Bray,Wexford,14.5,0.9368,0.0371,0.04,0.1176,1,0.95
2024-03,2024-03-23,ENGLAND 3,Carlisle,Stevenage,10.5,0.9315,0.2343,0.09,0.1053,1,0.95
2024-03,2024-03-23,ENGLAND 4,Crewe,AFC Wimbledon,11.5,0.9426,0.293,0.06,0.1111,1,0.95
2024-03,2024-03-23,ENGLAND 4,Morecambe,Gillingham,10.5,0.9174,0.087,0.06,0.125,1,0.95
2024-03,2024-03-23,COLOMBIA 1,Millonarios,Dep. Cali,13.5,0.9309,0.0204,0.07,0.1,1,0.95
2024-03,2024-03-23,USA 1,FC Cincinnati,New York City,12.5,0.9297,0.0747,0.07,0.1111,1,0.95
2024-03,2024-03-24,URUGUAY 1,Danubio,Wanderers,8.6,0.8993,0.0894,0.11,0.1429,1,0.95
2024-03,2024-03-24,COLOMBIA 1,Aguilas,Santa Fe,9.0,0.9028,0.0804,0.07,0.1667,1,0.95
2024-03,2024-03-27,COLOMBIA 1,Millonarios,Santa Fe,8.2,0.9042,0.1694,0.07,0.1538,1,0.95
2024-03,2024-03-28,BOLIVIA 1,Blooming,Aurora,14.0,0.9396,0.1073,0.06,0.0909,1,0.95
2024-03,2024-03-29,ENGLAND 2,Millwall,West Brom,8.6,0.9275,0.3304,0.05,0.1538,1,0.95
2024-03,2024-03-29,ENGLAND 2,Cardiff,Sunderland,10.5,0.9157,0.0691,0.05,0.1429,1,0.95
2024-03,2024-03-29,ENGLAND 2,Hull,Stoke,13.5,0.9342,0.0652,0.05,0.0909,1,0.95
2024-03,2024-03-29,ENGLAND 2,Preston,Rotherham,12.5,0.9366,0.1612,0.05,0.1053,1,0.95
2024-03,2024-03-29,ENGLAND 2,QPR,Birmingham,12.0,0.9423,0.2599,0.05,0.1053,1,0.95
