liga_bf,liga_coletor,volume_medio,n_capturas
ENGLAND 1,English Premier League,3074,13224
SPAIN 1,Spanish La Liga,1308,17176
ITALY 1,Italian Serie A,1145,13357
GERMANY 1,German Bundesliga,951,8607
FRANCE 1,French Ligue 1,843,12958
GERMANY 2,German Bundesliga 2,733,8094
ENGLAND 2,English Sky Bet Championship,702,27930
NETHERLANDS 1,Dutch Eredivisie,665,10697
NORWAY 1,Norwegian Eliteserien,663,4560
USA 1,US MLS,647,26220
SWEDEN 1,Swedish Allsvenskan,636,10716
JAPAN 1,Japanese J League,629,21318
BRAZIL 1,Brazilian Serie A,618,12312
SPAIN 2,Spanish Segunda Division,525,15485
DENMARK 1,Danish Superliga,521,8683
PORTUGAL 1,Portuguese Primeira Liga,520,11229
ARGENTINA 1,Argentinian Primera Division,515,20824
MEXICO 1,Mexican Liga MX,514,11267
BRAZIL 2,Brazilian Serie B,455,19095
ITALY 2,Italian Serie B,441,13813
COLOMBIA 1,Colombian Primera A,440,17670
CHILE 1,Chilean Primera Division,436,11172
SCOTLAND 1,Scottish Premiership,423,8835
FRANCE 2,French Ligue 2,373,13547
POLAND 1,Polish Ekstraklasa,363,12825
ENGLAND 3,English Sky Bet League 1,355,23617
ROMANIA 1,Romanian Liga I,314,12274
ENGLAND 4,English Sky Bet League 2,307,24871
