Data,Hora,Liga,Jogo,Home,Away,Método,Mercado,Lado,Odd_Entrada,Odd_Fav,Placar,Resultado,1/0,Status,PnL_u,P/L,Passa_Filtro_Refinado,Detalhe_Filtro
2026-08-21,15:00,CZECH 1,MFK Karvina x Zizkov,MFK Karvina,Zizkov,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.2,1.38,?,GREEN,1.0,🟢 GREEN,0.1856,0.1856,False,Over3.5=2.20 (<2.54)
2026-08-21,15:00,SAUDI ARABIA 1,Al Riyadh SC x Al Nassr,Al Riyadh SC,Al Nassr,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.4,11.5,0x4,GREEN,1.0,🟢 GREEN,0.1508,0.1508,False,Over3.5=2.18 (<2.54)
2026-08-21,15:00,BOSNIA 1,Sarajevo x FK BSK Banja Luka,Sarajevo,FK BSK Banja Luka,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.2,1.32,?,GREEN,1.0,🟢 GREEN,0.1856,0.1856,True,Over3.5=3.15 (>=2.54)
2026-08-21,15:00,ICELAND 2,Aegir x Afturelding,Aegir,Afturelding,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,8.0,10.5,0x7,GREEN,1.0,🟢 GREEN,0.1379,0.1379,False,Over3.5=1.52 (<2.54)
2026-08-21,15:00,WALES 1,Cardiff Metropolitan x The New Saints,Cardiff Metropolitan,The New Saints,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.8,9.4,0x5,GREEN,1.0,🟢 GREEN,0.201,0.201,True,Over3.5=2.64 (>=2.54)
2026-08-21,15:00,ENGLAND 1,Arsenal x Coventry,Arsenal,Coventry,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.8,1.22,?,GREEN,1.0,🟢 GREEN,0.1419,0.1419,True,Over3.5=2.58 (>=2.54)
2026-08-21,15:00,ITALY 3,Union Brescia x Carpi,Union Brescia,Carpi,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.5,1.36,?,GREEN,1.0,🟢 GREEN,0.2144,0.2144,True,Over3.5=3.50 (>=2.54)
2026-08-21,15:00,BOLIVIA 1,The Strongest x Universitario de Vinto,The Strongest,Universitario de Vinto,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.0,1.4,?,GREEN,1.0,🟢 GREEN,0.193,0.193,False,Over3.5=2.04 (<2.54)
2026-08-21,15:00,CROATIA 1,Rudes x Lokomotiva,Rudes,Lokomotiva,Lay Home / DC X2 (Fav Visitante <= 1.65),Match Odds (Home),LAY,6.8,1.61,4x1,RED,0.0,🔴 RED,-1.0,-1.0,True,"Away=1.61 ([1.54, 1.65])"
2026-08-21,15:00,TURKEY 1,Erzurum BB x Galatasaray,Erzurum BB,Galatasaray,Lay Home / DC X2 (Fav Visitante <= 1.65),Match Odds (Home),LAY,7.4,1.56,0x4,GREEN,1.0,🟢 GREEN,0.1508,0.1508,True,"Away=1.56 ([1.54, 1.65])"
