Data,Metodo,Home,Away,Odd,placar_gravado,placar_verificado,fonte,resultado_gravado,resultado_verificado,pnl_gravado,pnl_verificado,placar_bate,resultado_bate
2026-08-21,Lay Draw (Fav <= 1.40),MFK Karvina,Zizkov,6.2,?,3-0,b365:fuzzy0.91,GREEN,GREEN,0.1827,0.18269230769230768,,True
2026-08-21,Lay Draw (Fav <= 1.40),Al Riyadh SC,Al Nassr,7.4,0x4,0-4,betfair:fuzzy0.94,GREEN,GREEN,0.1484,0.14843749999999997,True,True
2026-08-21,Lay Draw (Fav <= 1.40),Sarajevo,FK BSK Banja Luka,6.2,?,1-0,b365:fuzzy0.91,GREEN,GREEN,0.1827,0.18269230769230768,,True
2026-08-21,Lay Draw (Fav <= 1.40),Aegir,Afturelding,8.0,0x7,0-7,betfair:exato,GREEN,GREEN,0.1357,0.1357142857142857,True,True
2026-08-21,Lay Draw (Fav <= 1.40),Cardiff Metropolitan,The New Saints,5.8,0x5,,,GREEN,SEM_PLACAR,0.1979,,,
2026-08-21,Lay Draw (Fav <= 1.40),Arsenal,Coventry,7.8,?,3-0,betfair:exato,GREEN,GREEN,0.1397,0.13970588235294118,,True
2026-08-21,Lay Draw (Fav <= 1.40),Union Brescia,Carpi,5.5,?,3-1,betfair:fuzzy0.87,GREEN,GREEN,0.2111,0.2111111111111111,,True
2026-08-21,Lay Draw (Fav <= 1.40),The Strongest,Universitario de Vinto,6.0,?,4-3,betfair:exato,GREEN,GREEN,0.19,0.19,,True
2026-08-21,Lay Home / DC X2 (Fav Visitante <= 1.65),Rudes,Lokomotiva,6.8,4x1,,,RED,SEM_PLACAR,-1.0,,,
2026-08-21,Lay Home / DC X2 (Fav Visitante <= 1.65),Erzurum BB,Galatasaray,7.4,0x4,0-4,b365:fuzzy0.85,GREEN,GREEN,0.1484,0.14843749999999997,True,True
2026-08-21,Lay Home / DC X2 (Fav Visitante <= 1.65),Treaty United,Cork City,8.0,2x2,2-2,betfair:exato,GREEN,GREEN,0.1357,0.1357142857142857,True,True
2026-08-22,Lay Draw (Fav <= 1.40),Hull,Man Utd,5.7,2x0,2-0,betfair:fuzzy0.82,GREEN,GREEN,0.2021,0.20212765957446807,True,True
2026-08-22,Lay Draw (Fav <= 1.40),NAC Breda,Jong Ajax Amsterdam,7.2,?,3-2,betfair:fuzzy0.82,GREEN,GREEN,0.1532,0.15322580645161288,,True
2026-08-22,Lay Draw (Fav <= 1.40),SK Artis Brno,Sparta Prague,5.8,0x4,0-4,b365:fuzzy0.95,GREEN,GREEN,0.1979,0.19791666666666666,True,True
2026-08-22,Lay Draw (Fav <= 1.40),Ludogorets,Slavia Sofia,5.5,?,1-1,betfair:exato,RED,RED,-1.0,-1.0,,True
