Data,Metodo,Liga,Home,Away,Hora,Odd_Lay,Odd_Fav,status,gols_H,gols_A,placar,resultado,pnl_u,pnl_rs,break_even,liquidado_em,fonte_placar
2026-08-01,Lay 0x3 Top 3,CHILE 1,Everton De Vina,Colo Colo,16:00,26.0,,LIQUIDADO,3,4,3-4,GREEN,0.038,3.8,0.9634,2026-09-11 23:11,betfair:fuzzy0.85
2026-08-01,Lay 0x3 Top 3,USA 2,Miami FC,Detroit City FC,20:00,25.0,,LIQUIDADO,2,2,2-2,GREEN,0.03958,3.96,0.9619,2026-09-11 23:11,betfair:fuzzy0.85
2026-08-01,Lay 0x3 Top 3,MEXICO 1,Queretaro,Tigres,20:00,28.0,,LIQUIDADO,3,2,3-2,GREEN,0.03519,3.52,0.966,2026-09-11 23:11,betfair:fuzzy0.88
2026-08-01,Lay 2x2 Top 3,USA 1,DC Utd,Nashville SC,20:30,17.0,,LIQUIDADO,2,2,2-2,RED,-1.0,-100.0,0.944,2026-09-11 23:11,betfair:fuzzy0.88
2026-08-01,Lay 2x2 Top 3,SOUTH KOREA 1,Jeonbuk Motors,FC Seoul,07:30,16.0,,SEM_PLACAR,,,,,,,0.9404,,
2026-08-01,Lay 2x2 Top 3,POLAND 1,Piast Gliwice,Wisla Krakow,09:45,16.0,,LIQUIDADO,4,3,4-3,GREEN,0.06333,6.33,0.9404,2026-09-11 23:11,b365:fuzzy0.81
2026-08-01,Lay Draw (Fav<=1.40),PERU 1,Alianza Lima,Alianza Atletico,22:30,5.2,1.39,LIQUIDADO,3,1,3-1,GREEN,0.22619,22.62,0.8155,2026-09-11 23:11,b365:fuzzy0.90
2026-08-01,Lay Draw (Fav<=1.40),ROMANIA 2,CS Afumati,CS FC Dinamo Bucuresti,05:00,6.2,1.33,LIQUIDADO,2,1,2-1,GREEN,0.18269,18.27,0.8455,2026-09-11 23:11,b365:fuzzy0.86
2026-08-01,Lay Draw (Fav<=1.40),CHINA 1,Chengdu Rongcheng,Wuhan Three Towns,09:00,5.9,1.4,LIQUIDADO,1,1,1-1,RED,-1.0,-100.0,0.8376,2026-09-11 23:04,
2026-08-01,Lay Draw (Fav<=1.40),SERBIA 2,FK Backa Topola,FK Vrsac,15:00,6.4,1.28,SEM_PLACAR,,,,,,,0.8504,,
2026-08-01,Lay Draw (Fav<=1.40),SERBIA 2,FK Javor Ivanjica,FK Teleoptik Zemun,14:00,5.7,1.4,SEM_PLACAR,,,,,,,0.8319,,
2026-08-01,Lay Draw (Fav<=1.40),CHINA 1,Guangdong GZ-Power FC,Foshan Nanshi FC,08:30,7.2,1.28,LIQUIDADO,1,1,1-1,RED,-1.0,-100.0,0.8671,2026-09-11 23:11,b365:fuzzy0.93
2026-08-01,Lay Draw (Fav<=1.40),SOUTH AFRICA 1,Orlando Pirates (SA),Milford,10:00,7.2,1.24,LIQUIDADO,2,0,2-0,GREEN,0.15323,15.32,0.8671,2026-09-11 23:11,b365:fuzzy0.90
2026-08-01,Lay Draw (Fav<=1.40),BULGARIA 1,PFC Levski Sofia,Septemvri,13:00,7.0,1.25,LIQUIDADO,3,0,3-0,GREEN,0.15833,15.83,0.8633,2026-09-11 23:11,betfair:fuzzy0.83
