Data,Hora,Metodo,Liga,Home,Away,Odd_Lay,Odd_Fav,Placar,Resultado,PnL_u,Status
2026-09-08,14:00:00,Lay 1x1 c/ Fav Forte,EGYPT 1,Zamalek,Abo Qair Semads,11.5,1.43,,,0.0,PENDENTE
2026-09-11,13:30:00,Lay 1x1 c/ Fav Forte,SERBIA 1,Zeleznicar Pancevo,Macva Sabac,12.0,1.42,2-0,GREEN,0.08636363636363636,LIQUIDADO
2026-09-11,15:45:00,Lay 1x1 c/ Fav Forte,IRELAND 2,Cork City,Cobh Ramblers,12.0,1.49,,,0.0,PENDENTE
2026-09-12,11:00:00,Lay 1x1 c/ Fav Forte,SCOTLAND 2,Dunfermline,Queens Park,10.5,1.49,,,0.0,PENDENTE
2026-09-12,12:30:00,Lay 1x1 c/ Fav Forte,SWEDEN 1,IFK Goteborg,Halmstads,12.0,1.47,,,0.0,PENDENTE
2026-09-12,13:30:00,Lay 1x1 c/ Fav Forte,SPAIN 1,Athletic Bilbao,Elche,11.5,1.44,,,0.0,PENDENTE
2026-09-12,14:45:00,Lay 1x1 c/ Fav Forte,ARGENTINA 1,Independiente Rivadavia,Aldosivi,10.5,1.46,,,0.0,PENDENTE
2026-09-12,20:00:00,Lay 1x1 c/ Fav Forte,MEXICO 1,Toluca,Atlas,11.5,1.5,,,0.0,PENDENTE
2026-09-13,09:30:00,Lay 1x1 c/ Fav Forte,UKRAINE 1,Polissya Zhytomyr,Livyi Bereg Kyiv,11.5,1.45,,,0.0,PENDENTE
2026-09-13,10:00:00,Lay 1x1 c/ Fav Forte,FRANCE 1,Lille,ESTAC Troyes,12.0,1.45,,,0.0,PENDENTE
2026-09-13,11:45:00,Lay 1x1 c/ Fav Forte,BULGARIA 1,Botev Vratsa,PFC Levski Sofia,11.5,1.5,0-0,GREEN,0.09047619047619047,LIQUIDADO
2026-09-13,12:00:00,Lay 1x1 c/ Fav Forte,CROATIA 1,NK Istra,Rudes,11.5,1.5,,,0.0,PENDENTE
2026-09-13,13:00:00,Lay 1x1 c/ Fav Forte,GREECE 1,Asteras Tripolis,AEK Athens,11.5,1.41,1-1,RED,-1.0,LIQUIDADO
2026-09-13,15:00:00,Lay 1x1 c/ Fav Forte,SAUDI ARABIA 1,Al Draih,Abha,12.0,1.46,,,0.0,PENDENTE
2026-09-13,16:00:00,Lay 1x1 c/ Fav Forte,PARAGUAY 1,Olimpia,Sportivo Luqueno,11.0,1.49,,,0.0,PENDENTE
2026-09-13,17:30:00,Lay 1x1 c/ Fav Forte,CHILE 1,Colo Colo,Deportes Concepcion,11.5,1.46,,,0.0,PENDENTE
2026-09-13,18:05:00,Lay 1x1 c/ Fav Forte,COLOMBIA 1,Atletico Nacional Medellin,Aguilas Doradas,10.5,1.48,,,0.0,PENDENTE
