data,horario,liga,jogo,metodo,mercado,lado,odd_execucao,stake,status,resultado,pnl_unidades,pnl_dolar
2026-08-01,07:00,CHINA 2,Yanbian Longding x Nanjing City,Lay 0x0 Protegido,CS_0x0,lay,12.0,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,07:00,CHINA 2,Yanbian Longding x Nanjing City,Lay Draw Estrutural,1X2_D,lay,3.5,100.0,Finalizado,RED,-2.5,-250.0
2026-08-01,07:00,CHINA 2,Yanbian Longding x Nanjing City,Over 2.5 Back Valor,O25,back,2.3,100.0,Finalizado,RED,-1.0,-100.0
2026-08-01,07:30,SOUTH KOREA 1,Gangwon x Bucheon FC 1995,Over 2.5 Back Valor,O25,back,2.06,100.0,Finalizado,GREEN,1.06,106.0
2026-08-01,07:30,SOUTH KOREA 1,Gangwon x Bucheon FC 1995,BTTS Lay Quant,BTTS_Y,lay,2.26,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,07:30,SOUTH KOREA 1,Jeonbuk x Seoul,Lay Draw Estrutural,1X2_D,lay,3.4,100.0,Finalizado,RED,-2.4,-240.0
2026-08-01,07:30,SOUTH KOREA 1,Jeonbuk x Seoul,Over 2.5 Back Valor,O25,back,1.99,100.0,Finalizado,RED,-1.0,-100.0
2026-08-01,07:30,SOUTH KOREA 1,Pohang x Gimcheon Sangmu,Lay 0x0 Protegido,CS_0x0,lay,10.5,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,07:30,SOUTH KOREA 1,Pohang x Gimcheon Sangmu,Lay Draw Estrutural,1X2_D,lay,3.35,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,07:30,SOUTH KOREA 1,Pohang x Gimcheon Sangmu,Over 2.5 Back Valor,O25,back,2.32,100.0,Finalizado,RED,-1.0,-100.0
2026-08-01,07:30,SOUTH KOREA 2,Asan x Seongnam,Lay Draw Estrutural,1X2_D,lay,3.4,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,07:30,SOUTH KOREA 2,Asan x Seongnam,Over 2.5 Back Valor,O25,back,2.12,100.0,Finalizado,RED,-1.0,-100.0
2026-08-01,07:30,SOUTH KOREA 2,Cheongju x Suwon Bluewings,Lay Draw Estrutural,1X2_D,lay,4.4,100.0,Finalizado,RED,-3.4000000000000004,-340.00000000000006
2026-08-01,07:30,SOUTH KOREA 2,Cheongju x Suwon Bluewings,Over 2.5 Back Valor,O25,back,1.93,100.0,Finalizado,GREEN,0.93,93.0
2026-08-01,08:00,CHINA 2,Ningbo Professional x Guangxi Hengchen,Lay Draw Estrutural,1X2_D,lay,3.85,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,08:00,CHINA 2,Ningbo Professional x Guangxi Hengchen,Over 2.5 Back Valor,O25,back,1.87,100.0,Finalizado,GREEN,0.8700000000000001,87.00000000000001
2026-08-01,08:00,CHINA 1,Tianjin Jinmen Tiger x Yunnan Yukun,Lay Draw Estrutural,1X2_D,lay,3.9,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,10:00,SWEDEN 2,Varberg x Falkenberg,Lay Draw Estrutural,1X2_D,lay,3.85,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,11:00,ICELAND 1,Vestmannaeyjar x Fram,Lay Draw Estrutural,1X2_D,lay,4.4,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,11:00,NORWAY 1,Fredrikstad x Sandefjord,Lay Draw Estrutural,1X2_D,lay,3.65,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,11:00,NORWAY 1,Fredrikstad x Sandefjord,Over 2.5 Back Valor,O25,back,1.83,100.0,Finalizado,RED,-1.0,-100.0
2026-08-01,12:00,NORWAY 2,Bryne x Stromsgodset,Lay Draw Estrutural,1X2_D,lay,4.1,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,12:00,SWEDEN 2,Brage x Landskrona,Lay Draw Estrutural,1X2_D,lay,3.9,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,12:00,URUGUAY 1,Albion x Danubio,Lay 0x0 Protegido,CS_0x0,lay,9.6,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,12:00,URUGUAY 1,Albion x Danubio,Lay Draw Estrutural,1X2_D,lay,3.3,100.0,Finalizado,RED,-2.3,-230.0
2026-08-01,12:00,URUGUAY 1,Albion x Danubio,Over 2.5 Back Valor,O25,back,2.54,100.0,Finalizado,GREEN,1.54,154.0
2026-08-01,12:00,URUGUAY 1,Albion x Danubio,BTTS Lay Quant,BTTS_Y,lay,2.2,100.0,Finalizado,RED,-1.2000000000000002,-120.0
2026-08-01,13:00,FINLAND 1,Gnistan x KuPS,Lay Draw Estrutural,1X2_D,lay,4.1,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,13:30,CHILE 1,Cobresal x Union La Calera,Lay Draw Estrutural,1X2_D,lay,3.6,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,13:30,CHILE 1,Cobresal x Union La Calera,Over 2.5 Back Valor,O25,back,2.18,100.0,Finalizado,GREEN,1.1800000000000002,118.0
2026-08-01,14:30,ARGENTINA 2,Nueva Chicago x San Martin T.,BTTS Lay Quant,BTTS_Y,lay,2.72,100.0,Finalizado,RED,-1.7200000000000002,-172.00000000000003
2026-08-01,15:00,ARGENTINA 2,Almagro x Midland,BTTS Lay Quant,BTTS_Y,lay,2.68,100.0,Finalizado,RED,-1.6800000000000002,-168.00000000000003
2026-08-01,15:00,ARGENTINA 2,Colegiales x Gimnasia Jujuy,Lay 0x0 Protegido,CS_0x0,lay,8.0,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,15:00,ARGENTINA 2,Colegiales x Gimnasia Jujuy,BTTS Lay Quant,BTTS_Y,lay,2.42,100.0,Finalizado,RED,-1.42,-142.0
2026-08-01,15:00,ARGENTINA 2,Ferro x Godoy Cruz,BTTS Lay Quant,BTTS_Y,lay,2.68,100.0,Finalizado,RED,-1.6800000000000002,-168.00000000000003
2026-08-01,15:00,PERU 1,FC Cajamarca x Sport Huancayo,Lay Draw Estrutural,1X2_D,lay,3.6,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,15:00,PERU 1,FC Cajamarca x Sport Huancayo,Over 2.5 Back Valor,O25,back,1.94,100.0,Finalizado,RED,-1.0,-100.0
2026-08-01,15:00,URUGUAY 1,Maldonado x Juventud,Lay Draw Estrutural,1X2_D,lay,4.0,100.0,Finalizado,RED,-3.0,-300.0
2026-08-01,15:00,URUGUAY 1,Maldonado x Juventud,Over 2.5 Back Valor,O25,back,2.08,100.0,Finalizado,RED,-1.0,-100.0
2026-08-01,15:30,ARGENTINA 2,Patronato x Quilmes,BTTS Lay Quant,BTTS_Y,lay,2.5,100.0,Finalizado,RED,-1.5,-150.0
2026-08-01,15:30,ARGENTINA 1,Estudiantes Rio Cuarto x Banfield,BTTS Lay Quant,BTTS_Y,lay,2.3,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,15:30,ARGENTINA 1,Gimnasia Mendoza x Union de Santa Fe,Lay 0x0 Protegido,CS_0x0,lay,9.6,100.0,Finalizado,GREEN,0.95,95.0
2026-08-01,15:30,ARGENTINA 1,Gimnasia Mendoza x Union de Santa Fe,Over 2.5 Back Valor,O25,back,2.48,100.0,Finalizado,RED,-1.0,-100.0
