Date,League,Home,Away,Odd_CS_0x0_Lay,Prob_ML,total_xGOT,total_Gf,liga_0x0_rate,mkt_prob_0x0,Decision,Reason,ev_lay,Timestamp
2026-03-01,MEXICO 1,CF America,Tigres,14.0,0.9620798826217651,1.3952464946810736,2.222719882974653,0.08,0.07142857142857142,APOSTA,APROVADO,0.421,2026-07-16T13:49:46.154778
2026-03-01,USA 1,LA Galaxy,Charlotte FC,19.0,0.9716732501983643,1.7885210225169688,2.501470489075224,0.04,0.05263157894736842,APOSTA,APROVADO,0.4132,2026-07-16T13:49:46.324936
2026-03-01,CZECH 1,Zizkov,MFK Chrudim,15.5,0.9470410943031311,0,2.628575140785043,0.11,0.06451612903225806,APOSTA,APROVADO,0.1318,2026-07-16T13:49:46.439017
2026-03-01,NETHERLANDS 1,PEC Zwolle,Ajax,34.0,0.988034188747406,3.5035702622875284,4.599424458590281,0.02,0.029411764705882353,APOSTA,APROVADO,0.5438,2026-07-16T13:49:47.221686
2026-03-01,ITALY 1,US Cremonese,AC Milan,20.0,0.985487699508667,2.2419528410351792,2.7144803314232537,0.08,0.05,APOSTA,APROVADO,0.6605,2026-07-16T13:49:47.450039
2026-03-01,GERMANY 2,FC Magdeburg,Karlsruhe,32.0,0.985487699508667,2.5281410485848665,2.6491116626790303,0.08,0.03125,APOSTA,APROVADO,0.4863,2026-07-16T13:49:48.422374
2026-03-01,GERMANY 2,Braunschweig,Preussen Munster,13.0,0.9646897315979004,2.4572166029371516,1.74959475161259,0.08,0.07692307692307693,APOSTA,APROVADO,0.4927,2026-07-16T13:49:48.430827
2026-03-01,GERMANY 2,Hertha Berlin,Nurnberg,18.5,0.985487699508667,2.5391963164222133,1.9279903285153956,0.08,0.05405405405405406,APOSTA,APROVADO,0.6822,2026-07-16T13:49:48.437736
2026-03-01,SPAIN 2,Sociedad B,Deportivo,11.0,0.9657142758369446,,,0.06,0.09090909090909091,APOSTA,APROVADO,0.5746,2026-07-16T13:49:48.829354
2026-03-01,SWITZERLAND 2,FC Vaduz,Stade Nyonnais,25.0,0.988034188747406,3.780763817267226,3.1797428786666027,0.06,0.04,APOSTA,APROVADO,0.6515,2026-07-16T13:49:49.071170
2026-03-01,SWITZERLAND 1,Lausanne,FC Basel,23.0,1.0,3.3406037266696114,2.9731483394294793,0.06,0.043478260869565216,APOSTA,APROVADO,0.95,2026-07-16T13:49:49.181112
