liga,N,logloss_1x2,brier_1x2,overround_%,brier_o25,gap_home_pp,gap_draw_pp,gap_away_pp
SAUDI ARABIA 1,272,0.8730668875999124,0.5112268515916858,10.250873282537315,0.24103382323314881,2.385587544674493,1.0759161769936583,-3.4615037216681586
TURKEY 2,302,0.9155244179604386,0.540106258670471,10.247805870796105,0.23135341166534457,3.769779368883988,-0.9950001769222716,-2.7747791919617306
PORTUGAL 1,251,0.9171039207232334,0.5424360215314894,8.110775464790247,0.23826315697350728,-0.023519042236102905,3.576583293900672,-3.55306425166458
EUROPA CHAMPIONS LEAGUE,223,0.9221118589443411,0.5427527106193248,6.987241343479625,0.22508673009237073,3.1197345317431626,-3.552866250668796,0.4331317189256296
EUROPA CONFERENCE LEAGUE,372,0.9265141013710544,0.5487855086230549,8.985777401318574,0.24320612122914956,0.4679033026594226,0.2988003139532509,-0.7667036166126735
GREECE 1,183,0.937503596019281,0.5563045258843518,7.975314314492293,0.23764685000814373,-1.6786608373353715,3.4386178867698867,-1.759957049434501
BULGARIA 1,232,0.9416193112377843,0.5578620789542414,8.272310938260942,0.23817957784651195,0.8941102809542514,-1.3988069109602463,0.5046966300060021
SCOTLAND 1,184,0.9581904910567663,0.5667399617561151,7.851530058698077,0.24218358636111362,3.504986888065517,0.1248485856912005,-3.6298354737567102
PERU 1,236,0.9588790388302024,0.5659309823809487,8.027617463042603,0.24151919206307357,2.6794779271293194,0.23763815864057491,-2.917116085769891
ITALY 1,300,0.9592091749437763,0.569702794365647,5.726780723689161,0.2567634353078049,-1.8137767096154818,-3.6656369151399524,5.479413624755431
SPAIN 1,299,0.9598579016526994,0.5674814804119162,5.650260103005431,0.24278289364379624,5.42129983817653,-2.2202680758056523,-3.201031762370878
GERMANY 1,236,0.9699612657102512,0.5745295727859934,5.643065522786404,0.2196226187305437,-0.26684990342322834,3.091954351455854,-2.825104448032615
TURKEY 1,234,0.9843229464745405,0.5902537619211444,7.996896674357176,0.2299066334038767,-0.40659449013664073,4.195199874318671,-3.7886053841820235
COLOMBIA 1,294,0.9886375221763649,0.5914699378987822,6.666408230372647,0.24484054805712882,2.5342006881448853,0.8292617862556675,-3.363462474400553
ITALY 2,302,0.9922992797254552,0.5917833087934058,7.942583978910867,0.2446989173836835,3.999532154999983,-0.10695770633217805,-3.892574448667812
