"Data_Arquivo","Horario_Entrada","Liga","Jogo","Metodo","Fonte_Dados","Odd_Exec","Responsabilidade_Sugerida_R$","Resultado_1_0","Placar_FT","Match_Tipo","Swap","Matched","Mes_Ref","Odd_Base","1/0","PnL_Linha","Lucro_Ciclo","Resets_Teto_Acum"
"2026-03-01","07:30","TURKEY 2","Serik Spor vs Sivasspor","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","9.23","312.5","","","sem_match","False","False","2026-03","9.23","","0.0","39943.17215539468","2"
"2026-03-01","10:00","TURKEY 2","Umraniyespor vs Bandirmaspor","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","9.63","375.0","","","sem_match","False","False","2026-03","9.63","","0.0","39943.17215539468","2"
"2026-03-01","12:15","SPAIN 1","Valencia vs Osasuna","Lay_CS_1x0_B365","api_diaria_cruzada_betfair","7.43","500.0","0.0","1x0","alias_exact","False","True","2026-03","7.43","0.0","-2671.1104281296493","37272.06172726503","2"
"2026-03-01","12:30","SWITZERLAND 1","Grasshoppers vs Lugano","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.63","437.5","1.0","1x0","alias_exact","False","True","2026-03","8.63","1.0","245.08519003931846","37517.146917304344","2"
"2026-03-02","13:00","SERBIA 1","IMT Novi Beograd vs Radnik","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","9.63","250.0","1.0","0x0","alias_exact","False","True","2026-03","9.63","1.0","243.239241331027","37760.386158635374","2"
"2026-03-02","15:00","POLAND 1","Zaglebie vs Wisla Plock","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","10.53","312.5","1.0","2x0","alias_exact","False","True","2026-03","10.53","1.0","244.13256488261007","38004.518723517984","2"
"2026-03-02","16:30","EGYPT 1","Pharco vs Kahrabaa Ismailia","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.23","375.0","1.0","0x2","alias_exact","False","True","2026-03","8.23","1.0","353.3675368598221","38357.8862603778","2"
"2026-03-02","18:30","PARAGUAY 1","Sp. Luqueno vs Rubio Nu","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","9.43","437.5","0.0","0x1","alias_exact","False","True","2026-03","9.43","0.0","-3085.8245331127778","35272.06172726503","2"
"2026-03-03","08:30","BULGARIA 1","Spartak Varna vs Montana","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","9.63","250.0","1.0","1x0","alias_exact","False","True","2026-03","9.63","1.0","216.68597914252607","35488.74770640755","2"
"2026-03-03","11:00","BULGARIA 1","Beroe vs Slavia Sofia","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.43","312.5","1.0","0x3","alias_exact","False","True","2026-03","8.43","1.0","278.9503890307217","35767.698095438274","2"
"2026-03-03","16:45","SCOTLAND 2","Dunfermline vs Ross County","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","9.23","375.0","1.0","3x0","alias_exact","False","True","2026-03","9.23","1.0","283.52612445224617","36051.22421989052","2"
"2026-03-04","15:00","SPAIN 1","Rayo Vallecano vs Oviedo","Lay_CS_1x0_B365","api_diaria_cruzada_betfair","6.63","250.0","1.0","3x0","alias_exact","False","True","2026-03","6.63","1.0","461.5483002850509","36512.772520175575","2"
"2026-03-05","16:30","EGYPT 1","Ceramica Cleopatra vs National Bank Egypt","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","10.03","250.0","1.0","2x2","alias_exact","False","True","2026-03","10.03","1.0","335.5553257332624","36848.32784590884","2"
"2026-03-06","15:30","FRANCE 3","Stade Briochin vs Orleans","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.43","312.5","1.0","1x3","alias_exact","False","True","2026-03","8.43","1.0","450.0415640554455","37298.36940996428","2"
"2026-03-06","20:30","CHILE 1","D. Concepcion vs Nublense","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.23","375.0","1.0","0x2","alias_exact","False","True","2026-03","8.23","1.0","258.6445366528354","37557.01394661712","2"
"2026-03-07","10:00","SPAIN 1","Osasuna vs Mallorca","Lay_CS_1x0_B365","api_diaria_cruzada_betfair","6.63","250.0","1.0","2x2","alias_exact","False","True","2026-03","6.63","1.0","375.10348876916544","37932.11743538628","2"
"2026-03-08","08:15","POLAND 1","Motor Lublin vs Gornik Zabrze","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","10.53","312.5","1.0","0x0","alias_exact","False","True","2026-03","10.53","1.0","258.40025223185427","38190.517687618136","2"
"2026-03-08","09:30","ROMANIA 1","Otelul vs FC Hermannstadt","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","10.03","250.0","1.0","0x2","alias_exact","False","True","2026-03","10.03","1.0","299.4638582066838","38489.98154582482","2"
"2026-03-08","11:00","ITALY 1","Bologna vs Verona","Lay_CS_1x0_B365","api_diaria_cruzada_betfair","6.83","500.0","1.0","1x2","alias_exact","False","True","2026-03","6.83","1.0","511.8623236757468","39001.84386950057","2"
"2026-03-08","12:00","SERBIA 1","Sp. Subotica vs IMT Novi Beograd","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.83","437.5","0.0","0x1","alias_exact","False","True","2026-03","8.83","0.0","-3703.4744595362854","35298.36940996428","2"
"2026-03-08","12:15","SPAIN 1","Getafe vs Betis","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.03","375.0","1.0","2x0","alias_exact","False","True","2026-03","8.03","1.0","266.0028449502134","35564.372254914495","2"
"2026-03-09","10:30","BULGARIA 1","Montana vs Ludogorets","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.03","250.0","1.0","0x3","alias_exact","False","True","2026-03","8.03","1.0","301.381601711017","35865.75385662551","2"
"2026-03-09","13:00","GREECE 1","Panetolikos vs Kifisia","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.23","312.5","1.0","2x1","alias_exact","False","True","2026-03","8.23","1.0","332.0199803081951","36197.7738369337","2"
"2026-03-09","15:00","ROMANIA 1","CFR Cluj vs Dinamo Bucuresti","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","10.03","375.0","1.0","2x0","alias_exact","False","True","2026-03","10.03","1.0","300.2151870671554","36497.98902400086","2"
"2026-03-09","16:45","FRANCE 2","Dunkerque vs Reims","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","9.23","437.5","1.0","1x1","alias_exact","False","True","2026-03","9.23","1.0","363.50477996648885","36861.49380396735","2"
"2026-03-10","14:00","TURKEY 2","Manisa FK vs Sariyer","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","10.53","250.0","","","sem_match","False","False","2026-03","10.53","","0.0","36861.49380396735","2"
"2026-03-12","10:00","TURKEY 2","Boluspor vs Corum","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","9.03","250.0","","","sem_match","False","False","2026-03","9.03","","0.0","36861.49380396735","2"
