Date,Horario,Liga,Home,Away,Odd_Lay,Prob,Metodo,Placar_Final,Status,PnL
2026-07-01,13:00:00,WORLD WORLD CUP,England,DR Congo,13.0,94.7,RF,2-1,ENCERRADO,0.95
2026-07-01,17:00:00,WORLD WORLD CUP,Belgium,Senegal,13.5,93.8,RF,3-2,ENCERRADO,0.95
2026-07-01,21:00:00,WORLD WORLD CUP,USA,Bosnia,19.0,98.5,RF,,PENDENTE,
2026-07-02,16:00:00,WORLD WORLD CUP,Spain,Austria,20.0,99.5,RF,3-0,ENCERRADO,0.95
2026-07-02,21:00:00,BRAZIL 2,Fortaleza EC,Ponte Preta,20.0,96.2,RF,,PENDENTE,
2026-07-03,00:00:00,WORLD WORLD CUP,Switzerland,Algeria,11.5,98.5,RF,2-0,ENCERRADO,0.95
2026-07-03,15:45:00,IRELAND 2,Cobh Ramblers,Cork City,16.5,95.5,RF,0-1,ENCERRADO,0.95
2026-07-03,15:45:00,IRELAND 2,Finn Harps,Wexford F.C,18.5,95.5,RF,,PENDENTE,
2026-07-03,15:45:00,IRELAND 2,Treaty United,Kerry FC,18.5,95.5,RF,,PENDENTE,
2026-07-03,15:45:00,IRELAND 1,Drogheda,Bohemians,15.0,94.3,RF,0-2,ENCERRADO,0.95
2026-07-03,15:45:00,IRELAND 1,Sligo Rovers,Shamrock Rovers,17.0,98.8,RF,1-2,ENCERRADO,0.95
2026-07-03,16:00:00,IRELAND 1,Shelbourne,Dundalk,18.0,96.6,RF,2-1,ENCERRADO,0.95
2026-07-03,22:30:00,WORLD WORLD CUP,Colombia,Ghana,12.5,97.2,RF,1-0,ENCERRADO,0.95
2026-07-04,08:00:00,CHINA 1,Ningbo Professional,Shijiazhuang Gongfu FC,11.5,97.6,RF,,PENDENTE,
2026-07-04,08:00:00,CHINA 1,Shaanxi Union FC,Wuxi Wugou,13.0,99.5,RF,,PENDENTE,
2026-07-04,08:00:00,CHINA 1,Suzhou Dongwu,Guangdong GZ-Power FC,17.0,98.5,RF,,PENDENTE,
2026-07-04,08:00:00,CHINA 1,Liaoning Tieren FC,Chongqing Tonglianglong,15.5,98.5,RF,,PENDENTE,
2026-07-04,08:35:00,CHINA 1,Dalian Yingbo,Wuhan Three Towns,20.0,97.6,RF,3-2,ENCERRADO,0.95
2026-07-04,09:00:00,CHINA 1,Tianjin Jinmen Tiger FC,Shenzhen Peng City,18.0,98.7,RF,,PENDENTE,
2026-07-04,09:00:00,FINLAND 1,Lahti,Gnistan,16.5,97.6,RF,1-0,ENCERRADO,0.95
2026-07-04,10:00:00,SWEDEN 1,Degerfors,Malmo FF,17.0,97.6,RF,0-1,ENCERRADO,0.95
2026-07-04,10:00:00,SWEDEN 1,Halmstads,Vasteras SK,16.5,96.0,RF,,PENDENTE,
2026-07-04,14:00:00,WORLD WORLD CUP,Canada,Morocco,10.5,97.6,RF,0-3,ENCERRADO,0.95
2026-07-04,16:00:00,BRAZIL 2,Criciuma,Sport Recife,10.5,93.8,RF,1-0,ENCERRADO,0.95
2026-07-04,16:00:00,BRAZIL 2,Londrina,CRB,12.0,97.2,RF,5-0,ENCERRADO,0.95
2026-07-04,16:00:00,BRAZIL 2,Novorizontino,Atletico GO,12.5,94.7,RF,3-0,ENCERRADO,0.95
2026-07-04,16:00:00,ECUADOR 1,Libertad FC,CD Leones del Norte,10.5,96.2,RF,,PENDENTE,
2026-07-04,17:00:00,USA 1,Indy Eleven,Charleston Battery,19.5,100.0,RF,,PENDENTE,
2026-07-04,20:00:00,BRAZIL 2,Goias,Ceara SC Fortaleza,11.0,93.8,RF,,PENDENTE,
2026-07-04,21:00:00,ECUADOR 1,Barcelona (Ecu),Deportivo Cuenca,13.5,94.7,RF,,PENDENTE,
2026-07-04,22:00:00,USA 1,San Antonio FC,Monterey Bay FC,14.0,98.7,RF,,PENDENTE,
2026-07-05,08:30:00,CHINA 1,Guangxi Hengchen,Dalian Kun City FC,17.0,98.7,RF,,PENDENTE,
2026-07-05,08:30:00,CHINA 1,Nanjing City,Foshan Nanshi FC,12.5,98.5,RF,,PENDENTE,
2026-07-05,09:00:00,SWEDEN 1,IFK Goteborg,AIK,19.5,98.5,RF,,PENDENTE,
2026-07-05,11:30:00,SWEDEN 1,Elfsborg,Hammarby,19.0,97.2,RF,1-2,ENCERRADO,0.95
2026-07-06,14:00:00,SWEDEN 1,Brommapojkarna,GAIS,17.0,98.8,RF,1-1,ENCERRADO,0.95
2026-07-06,19:00:00,BRAZIL 2,Botafogo SP,Avai,10.5,95.5,RF,3-1,ENCERRADO,0.95
2026-07-06,19:00:00,BRAZIL 2,Vila Nova,Sao Bernardo,10.5,98.7,RF,,PENDENTE,
2026-07-06,21:00:00,WORLD WORLD CUP,USA,Belgium,16.5,96.2,RF,1-4,ENCERRADO,0.95
2026-07-07,13:00:00,WORLD WORLD CUP,Argentina,Egypt,14.0,96.2,RF,3-2,ENCERRADO,0.95
2026-07-07,21:00:00,ECUADOR 1,Aucas,Guayaquil City,18.5,97.2,RF,1-0,ENCERRADO,0.95
2026-07-08,20:00:00,BRAZIL 2,Ponte Preta,Criciuma,11.5,98.5,RF,1-2,ENCERRADO,0.95
2026-07-08,20:00:00,USA 1,Hartford Athletic FC,Orange County Blues,17.0,100.0,RF,,PENDENTE,
2026-07-08,23:30:00,USA 1,Sacramento Republic,Rhode Island FC,12.5,99.5,RF,,PENDENTE,
2026-07-10,15:45:00,IRELAND 2,Athlone Town,Cobh Ramblers,18.0,98.7,RF,,PENDENTE,
2026-07-10,15:45:00,IRELAND 2,Wexford F.C,Kerry FC,12.5,97.6,RF,,PENDENTE,
2026-07-10,19:00:00,ECUADOR 1,CD Leones del Norte,Univ Catolica (Ecu),13.0,97.2,RF,,PENDENTE,
2026-07-10,19:00:00,URUGUAY 1,Deportivo Maldonado,Albion FC,13.0,98.5,RF,,PENDENTE,
2026-07-11,07:00:00,CHINA 1,Yanbian Longding,Suzhou Dongwu,13.5,98.8,RF,3-1,ENCERRADO,0.95
2026-07-11,08:00:00,CHINA 1,Dalian Kun City FC,Nanjing City,12.5,99.5,RF,,PENDENTE,
2026-07-11,08:00:00,CHINA 1,Wuhan Three Towns,Henan Songshan Longmen,18.0,97.2,RF,,PENDENTE,
2026-07-11,08:30:00,CHINA 1,Guangdong GZ-Power FC,Shijiazhuang Gongfu FC,18.5,97.6,RF,,PENDENTE,
2026-07-11,08:30:00,ESTONIA 1,Parnu JK Vaprus,Tammeka Tartu,19.0,99.5,RF,,PENDENTE,
2026-07-11,09:00:00,NORWAY 1,Fredrikstad,Lillestrom,18.5,98.8,RF,0-2,ENCERRADO,0.95
2026-07-11,10:00:00,SWEDEN 1,Mjallby,AIK,18.0,99.5,RF,1-2,ENCERRADO,0.95
2026-07-11,11:00:00,FINLAND 1,TPS,AC Oulu,16.5,96.2,RF,3-0,ENCERRADO,0.95
2026-07-11,13:00:00,IRELAND 1,Galway Utd,Sligo Rovers,19.5,96.2,RF,,PENDENTE,
2026-07-11,13:00:00,NORWAY 1,Tromso,Valerenga,17.5,97.2,RF,4-0,ENCERRADO,0.95
2026-07-11,15:00:00,URUGUAY 1,Danubio,Nacional (Uru),12.0,98.7,RF,,PENDENTE,
2026-07-11,16:00:00,BRAZIL 4,Portuguesa SP,Marcilio,12.0,96.2,RF,,PENDENTE,
2026-07-11,16:10:00,ECUADOR 1,Mushuc Runa,Independiente (Ecu),15.0,96.2,RF,,PENDENTE,
2026-07-11,18:00:00,BRAZIL 4,XV De Piracicaba,Cianorte PR,11.0,96.2,RF,,PENDENTE,
2026-07-11,18:00:00,URUGUAY 1,Wanderers (Uru),Progreso,11.0,97.6,RF,,PENDENTE,
2026-07-12,09:00:00,SWEDEN 1,Vasteras SK,Degerfors,15.0,97.2,RF,2-0,ENCERRADO,0.95
2026-07-12,11:30:00,SWEDEN 1,GAIS,Elfsborg,15.5,100.0,RF,1-0,ENCERRADO,0.95
2026-07-12,12:00:00,NORWAY 1,Sandefjord,Ham-Kam,19.0,99.5,RF,2-2,ENCERRADO,0.95
2026-07-12,15:00:00,URUGUAY 1,Boston River,Central Espanol,11.5,96.0,RF,,PENDENTE,
2026-07-12,16:00:00,BOLIVIA 1,Real Potosi,Nacional Potosi,18.5,96.2,RF,1-1,ENCERRADO,0.95
2026-07-12,16:00:00,BRAZIL 2,Avai,Nautico PE,12.0,98.7,RF,,PENDENTE,
2026-07-12,16:00:00,BRAZIL 4,ABC RN,Aguia de Maraba,17.0,96.5,RF,,PENDENTE,
2026-07-12,16:00:00,BRAZIL 4,AD Iguatu,Maguary,11.5,96.0,RF,,PENDENTE,
2026-07-12,17:00:00,BRAZIL 4,Asa AL,Ivinhema FC,14.0,98.7,RF,,PENDENTE,
2026-07-12,17:00:00,BRAZIL 4,Ferroviario,Imperatriz MA,12.5,97.2,RF,,PENDENTE,
2026-07-12,18:00:00,BRAZIL 2,Atletico GO,Fortaleza EC,11.0,98.5,RF,,PENDENTE,
2026-07-12,18:00:00,BRAZIL 4,Guapore RO,Luverdense,10.5,96.5,RF,,PENDENTE,
2026-07-12,19:00:00,BRAZIL 2,CRB,Goias,12.5,97.2,RF,2-2,ENCERRADO,0.95
2026-07-13,08:00:00,CHINA 1,Ningbo Professional,Foshan Nanshi FC,16.0,98.5,RF,,PENDENTE,
2026-07-13,19:00:00,BRAZIL 2,America MG,Londrina,11.0,95.5,RF,1-1,ENCERRADO,0.95
2026-07-14,18:30:00,ECUADOR 1,Macara,Mushuc Runa,11.0,96.0,RF,2-1,ENCERRADO,0.95
2026-07-15,21:30:00,ECUADOR 1,Barcelona (Ecu),Guayaquil City,13.0,97.6,RF,,PENDENTE,
2026-07-16,18:30:00,ECUADOR 1,Aucas,Independiente (Ecu),12.0,97.2,RF,,PENDENTE,
2026-07-16,19:30:00,BRAZIL 1,Botafogo FR,Santos,14.0,98.7,RF,,PENDENTE,
2026-07-16,20:00:00,BRAZIL 2,CRB,Nautico PE,14.5,96.5,RF,,PENDENTE,
2026-07-16,22:00:00,MEXICO 1,Necaxa,Atlante,19.0,97.2,RF,,PENDENTE,
2026-07-17,00:10:00,MEXICO 1,Tijuana,Tigres,14.0,98.5,RF,,PENDENTE,
2026-07-17,08:00:00,CHINA 1,Changchun Yatai,Wuxi Wugou,17.0,98.7,RF,1-5,ENCERRADO,0.95
2026-07-17,08:00:00,CHINA 1,Suzhou Dongwu,Shenzhen Juniors FC,18.0,99.8,RF,,PENDENTE,
2026-07-17,08:30:00,CHINA 1,Foshan Nanshi FC,Nantong Zhiyun F.C,13.0,98.5,RF,,PENDENTE,
2026-07-17,12:30:00,ROMANIA 1,FC Voluntari,Botosani,11.5,92.3,RF,,PENDENTE,
2026-07-17,13:00:00,BULGARIA 1,Spartak Varna,CSKA 1948 Sofia,15.0,96.5,RF,,PENDENTE,
2026-07-17,15:00:00,PERU 1,FC Cajamarca,Juan Pablo II College,17.0,95.5,RF,,PENDENTE,
2026-07-17,19:00:00,BRAZIL 2,Sao Bernardo,Avai,11.0,97.2,RF,1-1,ENCERRADO,0.95
2026-07-17,19:30:00,URUGUAY 1,Nacional (Uru),Wanderers (Uru),17.0,97.6,RF,,PENDENTE,
2026-07-17,20:00:00,BRAZIL 1,Fluminense,Red Bull Bragantino,13.5,96.5,RF,,PENDENTE,
2026-07-17,20:00:00,BRAZIL 1,Mirassol,Gremio,11.5,96.2,RF,2-1,ENCERRADO,0.95
2026-07-17,21:00:00,BRAZIL 2,Fortaleza EC,Novorizontino,10.5,95.5,RF,,PENDENTE,
2026-07-17,21:00:00,ECUADOR 1,Delfin,Macara,13.0,97.6,RF,2-1,ENCERRADO,0.95
2026-07-17,22:00:00,MEXICO 1,Atletico San Luis,Cruz Azul,18.0,98.5,RF,,PENDENTE,
2026-07-18,08:00:00,SWEDEN 2,Oddevold,Varbergs BoIS,18.0,96.2,RF,,PENDENTE,
2026-07-18,08:30:00,CHINA 1,Guangxi Hengchen,Shaanxi Union FC,14.0,99.5,RF,,PENDENTE,
2026-07-18,08:30:00,CHINA 1,Meizhou Hakka,Dalian Kun City FC,18.5,99.8,RF,,PENDENTE,
2026-07-18,08:30:00,CHINA 1,Nanjing City,Guangdong GZ-Power FC,15.0,98.8,RF,,PENDENTE,
2026-07-18,09:00:00,CHINA 1,Wuhan Three Towns,Shenzhen Peng City,19.0,98.5,RF,,PENDENTE,
2026-07-18,09:00:00,NORWAY 1,Ham-Kam,Tromso,15.5,98.7,RF,1-4,ENCERRADO,0.95
2026-07-18,10:00:00,SWEDEN 1,AIK,GAIS,17.0,100.0,RF,2-0,ENCERRADO,0.95
2026-07-18,10:00:00,SWEDEN 2,Ostersunds FK,Landskrona,16.0,96.2,RF,,PENDENTE,
2026-07-18,11:00:00,FINLAND 1,AC Oulu,Gnistan,18.0,98.5,RF,0-2,ENCERRADO,0.95
2026-07-18,11:00:00,NORWAY 1,Start,Rosenborg,18.5,97.6,RF,0-3,ENCERRADO,0.95
2026-07-18,12:30:00,URUGUAY 1,Progreso,Deportivo Maldonado,12.0,94.7,RF,,PENDENTE,
2026-07-18,13:00:00,BULGARIA 1,Septemvri,Arda,10.5,98.5,RF,,PENDENTE,
2026-07-18,13:00:00,PERU 1,Cesar Vallejo Moquegua,Comerciantes Unidos,10.5,98.5,RF,,PENDENTE,
2026-07-18,15:15:00,BULGARIA 1,Ludogorets,Lokomotiv Plovdiv,19.5,97.2,RF,,PENDENTE,
2026-07-18,16:00:00,BRAZIL 2,Ponte Preta,Goias,11.0,96.5,RF,1-2,ENCERRADO,0.95
2026-07-18,16:00:00,BRAZIL 2,Sport Recife,Operario PR,11.0,98.5,RF,2-2,ENCERRADO,0.95
2026-07-18,16:00:00,ECUADOR 1,Deportivo Cuenca,Univ Catolica (Ecu),12.0,97.6,RF,,PENDENTE,
2026-07-18,16:00:00,URUGUAY 1,Penarol,Boston River,15.0,94.3,RF,3-0,ENCERRADO,0.95
2026-07-18,17:30:00,PERU 1,Atletico Grau,UTC Cajamarca,11.5,96.5,RF,,PENDENTE,
2026-07-18,20:30:00,PERU 1,Cusco FC,Alianza Atletico,16.5,97.2,RF,,PENDENTE,
2026-07-18,21:00:00,ECUADOR 1,Barcelona (ECU),Libertad FC,17.0,96.5,RF,,PENDENTE,
2026-07-18,22:07:00,MEXICO 1,Guadalajara,Toluca,19.5,96.2,RF,,PENDENTE,
2026-07-19,00:10:00,MEXICO 1,Queretaro,CF America,17.5,96.5,RF,,PENDENTE,
2026-07-19,10:00:00,SWEDEN 2,Varnamo,Ljungskile,19.0,98.5,RF,2-3,ENCERRADO,0.95
2026-07-19,13:00:00,PERU 1,CD Los Chankas,Sport Boys (Per),12.5,96.5,RF,,PENDENTE,
2026-07-19,13:30:00,ROMANIA 1,ACS Petrolul 52,Dinamo Bucharest,10.5,97.2,RF,,PENDENTE,
2026-07-19,21:15:00,ECUADOR 1,Independiente (Ecu),Emelec,19.5,97.2,RF,,PENDENTE,
2026-07-20,13:15:00,BULGARIA 1,Slavia Sofia,CSKA Sofia,15.5,96.5,RF,,PENDENTE,
2026-07-20,14:00:00,SWEDEN 2,Norrby IF,Sundsvall,15.5,98.5,RF,,PENDENTE,
2026-07-20,15:30:00,BULGARIA 1,Botev Plovdiv,Lokomotiv Sofia,15.5,96.5,RF,,PENDENTE,
2026-07-21,18:30:00,ECUADOR 1,Libertad FC,Delfin,10.5,98.7,RF,,PENDENTE,
2026-07-21,19:30:00,BRAZIL 1,Atletico MG,Bahia,15.0,97.6,RF,1-1,ENCERRADO,0.95
2026-07-21,19:30:00,BRAZIL 2,Avai,America MG,10.5,96.5,RF,2-1,ENCERRADO,0.95
2026-07-21,21:00:00,ECUADOR 1,Univ Catolica (Ecu),Barcelona (Ecu),12.5,98.8,RF,,PENDENTE,
2026-07-22,19:30:00,BRAZIL 2,Ceara SC Fortaleza,CRB,11.0,96.5,RF,,PENDENTE,
2026-07-22,20:30:00,BRAZIL 2,Goias,Sport Recife,10.5,94.7,RF,,PENDENTE,
2026-07-22,20:30:00,USA 1,Columbus,New York City,15.0,98.5,RF,,PENDENTE,
2026-07-22,21:25:00,USA 1,Charlotte FC,Atlanta Utd,17.5,98.5,RF,,PENDENTE,
2026-07-22,21:30:00,BRAZIL 1,Chapecoense,Flamengo,18.0,98.8,RF,,PENDENTE,
2026-07-22,21:30:00,BRAZIL 1,Internacional,Cruzeiro MG,13.0,97.6,RF,,PENDENTE,
2026-07-22,21:30:00,BRAZIL 2,Nautico PE,Londrina,12.5,98.5,RF,,PENDENTE,
2026-07-22,21:30:00,USA 1,Houston Dynamo,DC Utd,18.0,99.5,RF,,PENDENTE,
2026-07-22,22:40:00,USA 1,Austin FC,Seattle Sounders,17.0,97.2,RF,,PENDENTE,
2026-07-23,19:30:00,BRAZIL 1,Corinthians,Remo,13.5,97.2,RF,,PENDENTE,
2026-07-23,21:00:00,ECUADOR 1,Emelec,Mushuc Runa,14.5,97.6,RF,,PENDENTE,
2026-07-24,15:15:00,BULGARIA 1,Arda,Slavia Sofia,11.5,98.5,RF,,PENDENTE,
2026-07-24,15:45:00,IRELAND 2,Treaty United,Athlone Town,13.0,96.5,RF,,PENDENTE,
2026-07-24,16:00:00,IRELAND 1,St Patricks,Dundalk,19.5,96.6,RF,,PENDENTE,
2026-07-24,16:00:00,POLAND 2,Odra Opole,Arka Gdynia,15.5,99.5,RF,,PENDENTE,
2026-07-24,17:00:00,PERU 1,Alianza Atletico,CD Los Chankas,15.0,97.6,RF,,PENDENTE,
2026-07-24,19:30:00,URUGUAY 1,Nacional (Uru),Progreso,17.0,98.5,RF,,PENDENTE,
2026-07-24,20:10:00,COLOMBIA 1,Llaneros FC,Deportivo Pereira,11.0,98.5,RF,,PENDENTE,
2026-07-24,22:15:00,COLOMBIA 1,Deportivo Cali,Jaguares de Cordoba,12.0,94.3,RF,,PENDENTE,
2026-07-24,22:30:00,PERU 1,Universitario de Deportes,Cusco FC,18.0,95.5,RF,,PENDENTE,
2026-07-25,00:00:00,MEXICO 1,Atlante,CF America,18.0,96.2,RF,,PENDENTE,
2026-07-25,06:30:00,CHINA 1,Qingdao Hainiu,Tianjin Jinmen Tiger FC,13.0,100.0,RF,,PENDENTE,
2026-07-25,08:00:00,CHINA 1,Changchun Yatai,Nanjing City,14.5,98.8,RF,,PENDENTE,
2026-07-25,08:00:00,CHINA 1,Ningbo Professional,Guangdong GZ-Power FC,13.0,98.7,RF,,PENDENTE,
2026-07-25,08:00:00,CHINA 1,Shaanxi Union FC,Shenzhen Juniors FC,17.5,98.8,RF,,PENDENTE,
2026-07-25,08:30:00,CHINA 1,Foshan Nanshi FC,Wuxi Wugou,15.0,97.6,RF,,PENDENTE,
2026-07-25,09:00:00,CHINA 1,Wuhan Three Towns,Chongqing Tonglianglong,15.0,98.8,RF,,PENDENTE,
2026-07-25,09:00:00,DENMARK 2,Hvidovre,Vendsyssel FF,19.5,96.2,RF,,PENDENTE,
2026-07-25,10:30:00,POLAND 2,Pogon Siedlce,LKS Lodz,15.5,99.8,RF,,PENDENTE,
2026-07-25,11:00:00,FINLAND 1,KuPS,VPS,16.0,96.5,RF,,PENDENTE,
2026-07-25,11:00:00,NORWAY 1,Kristiansund,Start,15.5,96.5,RF,,PENDENTE,
2026-07-25,12:00:00,CZECH 1,Teplice,Bohemians 1905,12.5,98.5,RF,,PENDENTE,
2026-07-25,12:00:00,CZECH 1,Zlin,Banik Ostrava,12.5,94.0,RF,,PENDENTE,
2026-07-25,12:30:00,POLAND 1,Gornik Zabrze,Slask Wroclaw,16.0,97.6,RF,,PENDENTE,
2026-07-25,12:30:00,SWEDEN 1,Kalmar FF,Mjallby,17.0,99.5,RF,,PENDENTE,
2026-07-25,13:00:00,BULGARIA 1,CSKA 1948 Sofia,Botev Vratsa,14.5,98.5,RF,,PENDENTE,
2026-07-25,13:00:00,SLOVAKIA 1,Spartak Trnava,MFK Skalica,15.5,96.5,RF,,PENDENTE,
2026-07-25,13:00:00,SLOVAKIA 1,Trencin,KFC Komarno,17.5,96.5,RF,,PENDENTE,
2026-07-25,14:30:00,ROMANIA 1,Dinamo Bucharest,Universitatea Craiova,12.0,98.5,RF,,PENDENTE,
2026-07-25,15:00:00,PERU 1,Sport Huancayo,Atletico Grau,13.5,97.2,RF,,PENDENTE,
2026-07-25,15:00:00,URUGUAY 1,Central Espanol,Cerro Largo FC,11.5,96.0,RF,,PENDENTE,
2026-07-25,15:45:00,IRELAND 1,Sligo Rovers,Drogheda,15.0,94.7,RF,,PENDENTE,
2026-07-25,16:00:00,PARAGUAY 1,Deportivo Recoleta,Sportivo San Lorenzo,13.0,98.5,RF,,PENDENTE,
2026-07-25,17:15:00,PERU 1,Juan Pablo II College,Cienciano,18.0,97.6,RF,,PENDENTE,
