Date,League,Home,Away,Matched_Names,Odd,Prob_ML,Placar,Status,PnL
2026-07-03,IRELAND 1,Shelbourne,Dundalk,Shelbourne x Dundalk,1.62,0.5643159413430714,2-1,GREEN,0.62
2026-07-04,SWEDEN 1,Degerfors,Malmo FF,Degerfors x Malmö FF,1.7,0.550196895152649,0-1,RED,-1.0
2026-07-04,NORWAY 2,Bryne,Sandnes,Bryne x Sandnes Ulf,1.62,0.53799032780703,1-1,GREEN,0.62
2026-07-05,SWEDEN 1,Goteborg,AIK,IFK Göteborg x AIK,1.67,0.557515414532765,1-2,GREEN,0.67
2026-07-05,SWEDEN 1,Elfsborg,Hammarby,Elfsborg x Hammarby,1.62,0.5731050529805092,1-2,GREEN,0.62
2026-07-06,SWEDEN 1,Brommapojkarna,GAIS,Brommapojkarna x GAIS,1.67,0.5505067969508051,1-1,GREEN,0.67
2026-07-10,IRELAND 1,Waterford,St. Patricks,Waterford x St Patrick's Athl.,1.62,0.5831799700117075,1-1,GREEN,0.62
2026-07-11,IRELAND 1,Galway,Sligo Rovers,Galway United x Sligo Rovers,1.62,0.5709109098769559,3-2,GREEN,0.62
2026-07-11,SWEDEN 1,Orgryte,Hacken,Örgryte x Häcken,1.57,0.5901235098238515,4-3,GREEN,0.57
2026-07-11,SWEDEN 1,Mjallby,AIK,Mjällby x AIK,1.62,0.5701690799533956,1-2,GREEN,0.62
2026-07-12,SWEDEN 1,Brommapojkarna,Sirius,Brommapojkarna x Sirius,1.57,0.5896642505386527,1-2,GREEN,0.57
2026-07-12,SWEDEN 1,Vasteras SK,Degerfors,Västerås SK x Degerfors,1.7,0.5486024147684406,2-0,RED,-1.0
2026-07-12,SWEDEN 1,Hammarby,Kalmar,Hammarby x Kalmar,1.67,0.5622317388017247,2-0,RED,-1.0
2026-07-17,SWEDEN 1,Goteborg,Brommapojkarna,IFK Göteborg x Brommapojkarna,1.57,0.588633975077352,2-1,GREEN,0.57
2026-07-17,SWEDEN 1,Mjallby,Vasteras SK,Mjällby x Västerås SK,1.62,0.5827559960761759,0-0,RED,-1.0
2026-07-18,SWEDEN 2,Oddevold,Varberg,Oddevold x Varberg,1.67,0.5299144912559662,2-4,GREEN,0.67
2026-07-18,SWEDEN 2,Ostersund,Landskrona,Östersunds FK x Landskrona,1.67,0.5226474182809,2-0,RED,-1.0
2026-07-18,SWEDEN 1,AIK,GAIS,AIK x GAIS,1.62,0.5745923002525558,2-0,RED,-1.0
2026-07-19,SWEDEN 2,Norrkoping,Sandviken,Norrköping x Sandviken,1.57,0.5528982323957069,3-0,RED,-1.0
2026-07-19,SWEDEN 2,Nordic United,Orebro,United Nordic x Örebro,1.62,0.5351971419981144,2-0,RED,-1.0
2026-07-19,SWEDEN 2,Varnamo,Ljungskile,Värnamo x Ljungskile,1.62,0.5186371612620466,2-3,GREEN,0.62
2026-07-19,SWEDEN 1,Elfsborg,Sirius,Elfsborg x Sirius,1.57,0.58732551768449,1-3,GREEN,0.57
2026-07-20,SWEDEN 1,Orgryte,Djurgarden,Örgryte x Djurgården,1.62,0.5801011885674259,0-0,RED,-1.0
2026-07-24,SWEDEN 1,Vasteras SK,Orgryte,Västerås SK x Örgryte,1.57,0.5972520668341523,2-0,RED,-1.0
2026-07-25,SWEDEN 1,Kalmar,Mjallby,Kalmar x Mjällby,1.62,0.570400202140878,2-1,GREEN,0.62
2026-07-25,IRELAND 1,Sligo Rovers,Drogheda,Sligo Rovers x Drogheda United,1.7,0.5369989188972417,2-2,GREEN,0.7
2026-07-26,SWEDEN 2,Sundsvall,Falkenberg,GIF Sundsvall x Falkenberg,1.67,0.5212429072754438,1-2,GREEN,0.67
2026-07-26,SWEDEN 2,Norrby,Ostersund,Norrby x Östersunds FK,1.62,0.5149151522288161,2-2,GREEN,0.62
