Date,League,Home,Away,Matched_Names,Odd,Prob_ML,Placar,Status,PnL
2026-07-03,IRELAND 2,Finn Harps,Wexford,Finn Harps x Wexford,1.9,0.6481277975473773,1-0,GREEN,0.95
2026-07-03,NORWAY 2,Raufoss,Strommen,Raufoss x Strømmen,2.5,0.7571675344677782,1-0,GREEN,0.95
2026-07-03,NORWAY 2,Ranheim,Stabaek,Ranheim x Stabæk,2.32,0.7950304517575839,2-5,RED,-1.32
2026-07-04,USA 2,Indy Eleven,Charleston,Indy Eleven x Charleston Battery,2.46,0.7847475608600928,2-0,GREEN,0.95
2026-07-04,SOUTH KOREA 2,Ansan Greeners,Suwon FC,Ansan Greeners x Suwon,1.7,0.6456974123152757,1-3,RED,-0.7
2026-07-05,SWEDEN 1,Elfsborg,Hammarby,Elfsborg x Hammarby,1.87,0.6675925437019072,1-2,RED,-0.87
2026-07-10,IRELAND 1,Waterford,St. Patricks,Waterford x St Patrick's Athl.,1.64,0.687548767546715,1-1,GREEN,0.95
2026-07-12,ECUADOR 1,Emelec,Barcelona SC,CS Emelec x Barcelona,2.34,0.7112462256772398,0-0,GREEN,0.95
2026-07-18,NORWAY 1,Start,Rosenborg,Start x Rosenborg,2.3,0.7733327396721507,0-3,RED,-1.3
2026-07-18,NORWAY 1,Kristiansund,Sarpsborg 08,Kristiansund x Sarpsborg 08,2.28,0.7498895162289271,0-0,GREEN,0.95
2026-07-18,SOUTH KOREA 2,Suwon FC,Seoul E-Land,Suwon x Seoul E-Land,2.36,0.6944249013054682,2-2,GREEN,0.95
2026-07-18,SOUTH KOREA 2,Seongnam,Busan,Seongnam x Busan I'Park,2.5,0.6852025691887336,1-0,GREEN,0.95
2026-07-18,NORWAY 1,HamKam,Tromso,HamKam x Tromsø,1.99,0.6705809074814738,1-4,RED,-0.99
2026-07-19,ECUADOR 1,Tecnico U.,Aucas,Técnico Universitario x SD Aucas,2.32,0.7143904312909977,0-1,RED,-1.32
