Date,League,Home,Away,Matched_Names,Odd,Prob_ML,Placar,Status,PnL
2026-07-04,SOUTH KOREA 1,Daejeon,Bucheon FC 1995,Daejeon Citizen x Bucheon 1995,1.73,0.6116631504017003,2-2,GREEN,0.95
2026-07-04,CHINA 1,Beijing Guoan,Shandong Taishan,Beijing Guoan x Shandong Luneng,1.84,0.5512864574114943,2-0,RED,-0.84
2026-07-05,CHINA 1,Shanghai Shenhua,Zhejiang Professional,Shanghai Shenhua x Zhejiang FC,1.65,0.5942900715121826,3-2,RED,-0.65
2026-07-06,BRAZIL 2,Vila Nova FC,Sao Bernardo,Vila Nova x São Bernardo,2.02,0.6006091699370211,2-1,RED,-1.02
2026-07-08,USA 2,Hartford Athletic,Orange County SC,Hartford Athletic x Orange County SC,1.91,0.619997045768959,2-2,GREEN,0.95
2026-07-10,SOUTH KOREA 2,Suwon FC,Jeonnam,Suwon x Jeonnam Dragons,1.82,0.6177755270596392,5-0,RED,-0.82
2026-07-11,IRELAND 1,Galway,Sligo Rovers,Galway United x Sligo Rovers,1.76,0.5801157340724252,3-2,RED,-0.76
2026-07-11,SOUTH KOREA 1,Gimcheon Sangmu,Bucheon FC 1995,Sangju Sangmu x Bucheon 1995,2.04,0.6385293455186047,1-1,GREEN,0.95
2026-07-12,SWEDEN 1,Malmo FF,Goteborg,Malmö FF x IFK Göteborg,2.06,0.648256185180119,4-0,RED,-1.06
2026-07-12,SWEDEN 1,Vasteras SK,Degerfors,Västerås SK x Degerfors,2.16,0.5994367721856555,2-0,RED,-1.16
2026-07-17,SWEDEN 1,Mjallby,Vasteras SK,Mjällby x Västerås SK,1.95,0.5833667620786759,0-0,GREEN,0.95
2026-07-17,CHINA 2,Changchun Yatai,Wuxi Wugou,Changchun Yatai x Wuxi Wugou,2.1,0.5575934311955917,1-5,GREEN,0.95
2026-07-17,SWEDEN 1,Goteborg,Brommapojkarna,IFK Göteborg x Brommapojkarna,2.1,0.6147412751570852,2-1,RED,-1.1
2026-07-18,SOUTH KOREA 1,Gangwon,Gimcheon Sangmu,Gangwon x Sangju Sangmu,1.75,0.5547419259788626,2-0,RED,-0.75
2026-07-18,SWEDEN 2,Oddevold,Varberg,Oddevold x Varberg,2.34,0.5987794183313225,2-4,GREEN,0.95
2026-07-19,SOUTH KOREA 2,Gyeongnam,Ansan Greeners,Gyeongnam x Ansan Greeners,1.72,0.5663639705015325,5-0,RED,-0.72
2026-07-20,ECUADOR 1,Mushuc Runa,Orense,Mushuc Runa SC x Orense SC,2.02,0.588513462752149,2-1,RED,-1.02
