ID_Evento,Date,Time,League,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_H_Lay,Odd_D_Lay,Odd_A_Lay,Odd_Over25_FT_Back,Odd_Under25_FT_Back,Odd_BTTS_Yes_Back,Odd_BTTS_No_Back,captured_at
36038657,2026-09-07,11:00:00,EGYPT 1,Al Ittihad (EGY),Asyut Petroleum,1.79,3.3,6.2,1.83,3.45,6.6,2.96,1.49,2.48,1.61,2026-09-07 19:11:53
36038519,2026-09-07,11:00:00,EGYPT 1,Olympic El Qanal,El Geish,3.75,2.82,2.56,3.85,2.86,2.6,3.2,1.43,2.32,1.65,2026-09-07 19:11:53
36023866,2026-09-07,11:00:00,TURKEY 2,Erokspor A.S,Kayserispor,2.56,3.7,2.82,2.64,3.75,2.9,1.91,2.04,1.76,2.24,2026-09-07 19:11:53
36023876,2026-09-07,11:00:00,TURKEY 2,Istanbulspor,76 Igdir Belediyespor,3.7,3.65,2.1,3.85,3.75,2.16,1.86,2.1,1.74,2.3,2026-09-07 19:11:53
35982974,2026-09-07,11:30:00,ROMANIA 1,FC Voluntari,Arges Pitesti,2.92,3.0,2.98,2.98,3.05,3.05,2.64,1.6,2.1,1.88,2026-09-07 19:11:53
36013750,2026-09-07,12:00:00,GREECE 1,Asteras Tripolis,Iraklis,2.06,3.35,4.2,2.1,3.45,4.4,2.36,1.7,2.06,1.91,2026-09-07 19:11:53
36039888,2026-09-07,12:30:00,SAUDI ARABIA 1,Al-Adalh,Al-Saqer FC,3.3,3.35,2.4,3.4,3.5,2.48,2.06,1.9,1.81,2.1,2026-09-07 19:11:53
36032449,2026-09-07,12:30:00,SAUDI ARABIA 1,Al-Khaleej Saihat,Al Riyadh SC,2.22,3.5,3.6,2.26,3.55,3.75,2.16,1.84,1.87,2.08,2026-09-07 19:11:53
36016325,2026-09-07,13:00:00,CYPRUS 1,Pafos FC,Olympiakos Nicosia FC,1.37,5.5,10.0,1.38,5.7,11.0,1.68,2.38,1.99,1.91,2026-09-07 19:11:53
36017396,2026-09-07,13:00:00,POLAND 1,Wieczysta Krakow,Zaglebie Lubin,1.96,3.85,4.1,1.99,3.9,4.3,1.77,2.24,1.7,2.36,2026-09-07 19:11:53
36038259,2026-09-07,13:00:00,SERBIA 2,Vozdovac,FK Backa Topola,2.8,3.45,2.7,2.88,3.65,2.82,2.14,1.82,1.88,2.06,2026-09-07 19:11:53
36039239,2026-09-07,13:05:00,SAUDI ARABIA 1,Al Jabalain,Al-Wahda (KSA),2.06,3.8,3.7,2.12,4.0,3.85,1.78,2.26,1.68,2.3,2026-09-07 19:11:53
35979407,2026-09-07,13:30:00,ITALY 1,Cagliari,Lecce,2.36,3.1,3.9,2.38,3.15,3.95,2.52,1.64,2.04,1.93,2026-09-07 19:11:53
36019602,2026-09-07,13:45:00,ISRAEL 1,Maccabi Netanya,Hapoel Haifa,1.92,3.7,4.6,1.94,3.85,4.7,1.65,2.5,1.6,2.52,2026-09-07 19:11:53
36018262,2026-09-07,14:00:00,CYPRUS 1,Aris FC Limassol,Omonia,3.75,4.0,2.02,3.9,4.1,2.06,1.83,2.18,1.7,2.28,2026-09-07 19:11:53
