mercado,lado,modelo,filtro,spread%,liquido,val_n,val_wr%,odd_real,val_roi%,val_ic95,val_p,passa_FDR,conf_n,conf_roi%,robusto_entre_modelos,APROVADO,motivo_reprovacao
CS_0x0,back,poisson_lasso,EV>0.05,30.2%,Nao,32,31.2%,9.35,144.22%,"[6.4%, 300.8%]",0.0185,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_1x1,back,rf,EV>0.05,19.3%,Nao,4163,12.6%,11.4,44.75%,"[33.1%, 56.2%]",0.0,True,62,-28.23%,Sim,False,Mercado Ilíquido (Spread > 15%) | Colapso OOS (ROI Confirmação <= 0%)
CS_1x1,back,lr,EV>0.05,19.3%,Nao,4510,13.1%,10.94,44.27%,"[33.5%, 55.8%]",0.0,True,60,-40.33%,Sim,False,Mercado Ilíquido (Spread > 15%) | Colapso OOS (ROI Confirmação <= 0%)
CS_0x0,back,poisson_en,EV>0.05,30.2%,Nao,68,22.1%,8.44,44.19%,"[-24.9%, 124.7%]",0.1155,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_1x1,back,lda,EV>0.05,19.3%,Nao,4479,12.8%,11.08,42.04%,"[30.9%, 53.5%]",0.0,True,62,-72.90%,Sim,False,Mercado Ilíquido (Spread > 15%) | Colapso OOS (ROI Confirmação <= 0%)
CS_1x1,back,lightgbm,EV>0.05,19.3%,Nao,4511,12.2%,11.39,39.58%,"[28.4%, 50.9%]",0.0,True,70,-14.00%,Sim,False,Mercado Ilíquido (Spread > 15%) | Colapso OOS (ROI Confirmação <= 0%)
CS_1x1,back,gbc,EV>0.05,19.3%,Nao,4372,12.0%,11.54,39.42%,"[28.7%, 51.1%]",0.0,True,64,-55.47%,Sim,False,Mercado Ilíquido (Spread > 15%) | Colapso OOS (ROI Confirmação <= 0%)
CS_1x1,back,dt,EV>0.05,19.3%,Nao,4387,12.1%,11.51,39.23%,"[27.8%, 50.3%]",0.0,True,109,-10.55%,Sim,False,Mercado Ilíquido (Spread > 15%) | Colapso OOS (ROI Confirmação <= 0%)
CS_1x1,back,et,EV>0.05,19.3%,Nao,4733,11.8%,11.56,37.00%,"[26.3%, 48.4%]",0.0,True,136,6.69%,Sim,False,Mercado Ilíquido (Spread > 15%)
CS_1x1,back,xgboost,EV>0.05,19.3%,Nao,4884,12.2%,10.88,35.12%,"[24.7%, 45.7%]",0.0,True,85,-17.88%,Sim,False,Mercado Ilíquido (Spread > 15%) | Colapso OOS (ROI Confirmação <= 0%)
BTTS_Y,lay,lda,EV>0.05,6.8%,Sim,57,68.4%,2.7,30.23%,"[2.1%, 55.1%]",0.0155,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_1x1,lay,et,EV>0.05,19.3%,Nao,628,90.6%,7.98,22.86%,"[4.8%, 39.4%]",0.009,False,11,37.27%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
CS_1x1,lay,gbc,EV>0.05,19.3%,Nao,748,91.0%,8.36,21.95%,"[4.3%, 39.1%]",0.0065,False,6,-10.83%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_0x0,back,poisson_gbr,EV>0.05,30.2%,Nao,116,8.6%,13.89,20.69%,"[-48.3%, 97.4%]",0.3345,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
BTTS_Y,lay,lr,EV>0.05,6.8%,Sim,85,67.1%,2.76,19.61%,"[-6.0%, 43.7%]",0.0635,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_0x0,back,poisson_et,EV>0.05,30.2%,Nao,254,8.3%,14.09,17.72%,"[-27.4%, 65.0%]",0.2515,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
