data,ko,jogo,home,away,minuto,linha,estado,odd,liq,primeiro_visto,status,resultado,ft_total,pnl,market_id,selection_id,competicao,lay,spread,lay_size,placar_entrada,gols_diff,placar_ok,linha_n,fonte_grav,gh,ga,fonte_ext
2026-09-01,2026-09-01 15:00,ACS Sepsi OSK x CFR Cluj,ACS Sepsi OSK,CFR Cluj,78,Under 3.5,3,1.88,318.0,2026-09-01 16:34,Finalizado,RED,4,-1.0,,,,,,,,,,3.5,coletor,,,
2026-09-01,2026-09-01 15:30,Odra Opole x Wisla Krakow,Odra Opole,Wisla Krakow,85,Under 3.5,3,1.92,492.0,2026-09-01 17:11,Finalizado,GREEN,3,0.8786,,,,,,,,,,3.5,coletor,,,
2026-09-01,2026-09-01 16:00,Parma x US Cremonese,Parma,US Cremonese,82,Under 2.5,2,1.88,11055.0,2026-09-01 17:38,Finalizado,GREEN,2,0.8404,,,,,,,,,,2.5,coletor,0.0,2.0,b365
2026-09-01,2026-09-01 17:00,FK Teleoptik Zemun x Vozdovac,FK Teleoptik Zemun,Vozdovac,75,Under 3.5,3,2.14,410.0,2026-09-01 18:30,Finalizado,GREEN,3,1.0887,,,,,,,,,,3.5,coletor,1.0,2.0,b365
2026-09-01,2026-09-01 17:00,Mks Kluczbork x Lechia Gdansk,Mks Kluczbork,Lechia Gdansk,75,Under 2.5,2,1.8,389.0,2026-09-01 18:30,Finalizado,GREEN,2,0.764,,,,,,,,,,2.5,coletor,,,
2026-09-01,2026-09-01 17:00,Sariyer G.K. x Pendikspor,Sariyer G.K.,Pendikspor,85,Under 2.5,2,1.75,695.0,2026-09-01 18:41,Finalizado,GREEN,2,0.7162,,,,,,,,,,2.5,coletor,2.0,0.0,betfair
2026-09-01,2026-09-01 17:00,Boluspor x Keciorengucu,Boluspor,Keciorengucu,85,Under 2.5,2,1.58,1093.0,2026-09-01 18:41,Finalizado,GREEN,2,0.5539,,,,,,,,,,2.5,coletor,0.0,2.0,betfair
2026-09-01,2026-09-01 17:00,Stal Rzeszow x Podbeskidzie B-B,Stal Rzeszow,Podbeskidzie B-B,85,Under 2.5,2,1.78,559.0,2026-09-01 18:41,Finalizado,RED,3,-1.0,,,,,,,,,,2.5,coletor,,,
2026-09-01,2026-09-01 17:30,Neuchatel Xamax x Yverdon Sport,Neuchatel Xamax,Yverdon Sport,77,Under 2.5,2,2.1,1013.0,2026-09-01 19:02,Finalizado,RED,3,-1.0,,,,,,,,,,2.5,coletor,,,
2026-09-01,2026-09-01 17:30,Kruger United FC x Orlando Pirates (SA),Kruger United FC,Orlando Pirates (SA),77,Under 2.5,2,2.04,390.0,2026-09-01 19:02,Finalizado,RED,3,-1.0,,,,,,,,,,2.5,coletor,0.0,4.0,b365
2026-09-01,2026-09-01 17:55,Al Tadhamon x Al Salmiyah,Al Tadhamon,Al Salmiyah,83,Under 2.5,2,2.1,360.0,2026-09-01 19:34,Finalizado,GREEN,2,1.0505,,,,,,,,,,2.5,coletor,,,
2026-09-01,2026-09-01 18:30,LKP Motor Lublin x Legia Warsaw,LKP Motor Lublin,Legia Warsaw,79,Under 2.5,2,2.12,1702.0,2026-09-01 20:06,Finalizado,GREEN,2,1.0696,,,,,,,,,,2.5,coletor,,,
2026-09-01,2026-09-01 18:45,Chesterfield x Gillingham,Chesterfield,Gillingham,75,Under 2.5,2,2.04,1503.0,2026-09-01 20:16,Finalizado,GREEN,2,0.9932,,,,,,,,,,2.5,coletor,1.0,1.0,betfair
2026-09-01,2026-09-01 18:45,Preston x Bristol City,Preston,Bristol City,75,Under 2.5,2,2.06,925.0,2026-09-01 20:16,Finalizado,RED,4,-1.0,,,,,,,,,,2.5,coletor,1.0,3.0,betfair
2026-09-01,2026-09-01 18:45,Swansea x Watford,Swansea,Watford,75,Under 2.5,2,2.16,1205.0,2026-09-01 20:16,Finalizado,GREEN,2,1.1078,,,,,,,,,,2.5,coletor,2.0,0.0,betfair
2026-09-01,2026-09-01 18:45,Northampton x Crawley Town,Northampton,Crawley Town,75,Under 2.5,2,1.95,619.0,2026-09-01 20:16,Finalizado,GREEN,2,0.9072,,,,,,,,,,2.5,coletor,1.0,1.0,betfair
2026-09-01,2026-09-01 18:45,Swindon x Port Vale,Swindon,Port Vale,75,Under 2.5,2,2.08,969.0,2026-09-01 20:16,Finalizado,RED,3,-1.0,,,,,,,,,,2.5,coletor,3.0,1.0,betfair
2026-09-01,2026-09-01 18:45,Doncaster x Notts Co,Doncaster,Notts Co,75,Under 2.5,2,2.04,336.0,2026-09-01 20:16,Finalizado,GREEN,2,0.9932,,,,,,,,,,2.5,coletor,1.0,1.0,b365
2026-09-01,2026-09-01 18:45,Swindon x Port Vale,Swindon,Port Vale,80,Under 3.5,3,1.9,905.0,2026-09-01 20:21,Finalizado,GREEN,3,0.8595,,,,,,,,,,3.5,coletor,3.0,1.0,betfair
2026-09-01,2026-09-01 18:45,Crewe x Walsall,Crewe,Walsall,80,Under 3.5,3,1.88,520.0,2026-09-01 20:21,Finalizado,GREEN,3,0.8404,,,,,,,,,,3.5,coletor,2.0,2.0,betfair
2026-09-01,2026-09-01 18:45,Huddersfield x Oxford Utd,Huddersfield,Oxford Utd,80,Under 3.5,3,1.84,341.0,2026-09-01 20:21,Finalizado,RED,4,-1.0,,,,,,,,,,3.5,coletor,3.0,1.0,betfair
2026-09-01,2026-09-01 18:45,Portsmouth x Derby,Portsmouth,Derby,80,Under 2.5,2,1.93,1680.0,2026-09-01 20:21,Finalizado,GREEN,2,0.8881,,,,,,,,,,2.5,coletor,0.0,2.0,betfair
2026-09-01,2026-09-01 18:45,Exeter x Barnet,Exeter,Barnet,80,Under 2.5,2,1.91,390.0,2026-09-01 20:21,Finalizado,GREEN,2,0.869,,,,,,,,,,2.5,coletor,1.0,1.0,betfair
2026-09-01,2026-09-01 18:45,Wycombe x Sheff Wed,Wycombe,Sheff Wed,85,Under 3.5,3,2.18,487.0,2026-09-01 20:25,Finalizado,GREEN,3,1.1269,,,,,,,,,,3.5,coletor,1.0,2.0,b365
2026-09-01,2026-09-01 18:45,Bradford x Cambridge Utd,Bradford,Cambridge Utd,85,Under 2.5,2,1.56,1379.0,2026-09-01 20:25,Finalizado,GREEN,2,0.5348,,,,,,,,,,2.5,coletor,1.0,2.0,betfair
2026-09-01,2026-09-01 19:00,Ravenna x Forli,Ravenna,Forli,75,Under 3.5,3,2.0,896.0,2026-09-01 20:31,Finalizado,GREEN,3,0.955,,,,,,,,,,3.5,coletor,,,
2026-09-01,2026-09-01 19:00,Birmingham x Southampton,Birmingham,Southampton,75,Under 2.5,2,2.12,3003.0,2026-09-01 20:31,Finalizado,GREEN,2,1.0696,,,,,,,,,,2.5,coletor,1.0,1.0,betfair
2026-09-01,2026-09-01 19:00,Potenza x Monopoli,Potenza,Monopoli,75,Under 2.5,2,1.69,433.0,2026-09-01 20:31,Finalizado,GREEN,2,0.6589,,,,,,,,,,2.5,coletor,,,
2026-09-01,2026-09-01 19:00,SSD Bari x AZ Picerno ASD,SSD Bari,AZ Picerno ASD,75,Under 2.5,2,1.86,1429.0,2026-09-01 20:31,Finalizado,GREEN,2,0.8213,,,,,,,,,,2.5,coletor,,,
2026-09-01,2026-09-01 21:30,Club 2 de Mayo x Sportivo Luqueno,Club 2 de Mayo,Sportivo Luqueno,78,Under 2.5,2,1.84,1241.0,2026-09-01 23:04,Finalizado,RED,4,-1.0,,,,,,,,,,2.5,coletor,,,
