ko,home,away,odd_h,u25,odd,liq,back_0x1,min_to_ko,competition,capture_ts,kodt,Data,gh,ga,fonte,red,pnl,be
2026-08-17 15:00,Chernomorets Bourgas,CSKA Sofia II,1.93,1.79,16.0,203.1,13.0,12.9,Bulgarian B League,2026-08-17 14:47:00,2026-08-17 15:00:00,2026-08-17,0.0,1.0,b365:fuzzy0.84,1,-1.0,0.9404388714733543
2026-08-17 18:00,FC Liege,Francs Borains,2.02,2.1,15.5,139.35,13.5,12.9,Belgian Challenger Pro League,2026-08-17 17:47:03,2026-08-17 18:00:00,2026-08-17,0.0,0.0,b365:fuzzy0.97,0,0.06551724137931034,0.9385113268608415
2026-08-20 16:00,Lincoln Red Imps,Larne,2.02,1.79,14.0,224.55,13.5,14.1,UEFA Europa Conference Qualifiers,2026-08-20 15:45:48,2026-08-20 16:00:00,2026-08-20,0.0,2.0,b365:fuzzy0.84,0,0.07307692307692307,0.931899641577061
2026-08-20 17:00,Vendsyssel FF,Hillerod Fodbold,2.14,1.89,14.5,368.31,12.5,15.8,Danish 1st Division,2026-08-20 16:44:07,2026-08-20 17:00:00,2026-08-20,1.0,0.0,planilha_dia:exato,0,0.07037037037037036,0.9342560553633218
2026-08-20 18:45,Fleury Merogis,Orleans,2.08,1.96,15.5,261.73,13.5,14.9,French Ligue 3,2026-08-20 18:30:03,2026-08-20 18:45:00,2026-08-20,0.0,2.0,b365:exato,0,0.06551724137931034,0.9385113268608415
2026-08-21 17:30,SV Ried,Grazer AK,2.08,1.95,15.0,1388.36,13.5,7.4,Austrian Bundesliga,2026-08-21 17:22:30,2026-08-21 17:30:00,2026-08-21,1.0,0.0,betfair:fuzzy0.90,0,0.06785714285714285,0.9364548494983278
2026-08-21 19:15,Tondela,Academica,2.06,1.75,14.0,429.57,12.0,14.9,Portuguese Segunda Liga,2026-08-21 19:00:00,2026-08-21 19:15:00,2026-08-21,0.0,2.0,betfair:exato,0,0.07307692307692307,0.931899641577061
2026-08-21 20:00,Academia Anzoategui FC,Trujillanos,1.93,1.85,16.0,483.13,11.5,11.8,Venezuelan Primera Division,2026-08-21 19:48:04,2026-08-21 20:00:00,2026-08-21,0.0,0.0,betfair:fuzzy0.88,0,0.06333333333333332,0.9404388714733543
2026-08-22 10:00,Kagoshima Utd,FC Gifu,2.12,1.91,15.0,107.69,11.0,14.3,Japanese J League 3,2026-08-22 09:45:33,2026-08-22 10:00:00,2026-08-22,0.0,0.0,b365:fuzzy0.90,0,0.06785714285714285,0.9364548494983278
2026-08-22 10:00,Leixoes,Leiria,2.12,1.97,15.0,206.05,13.0,14.3,Portuguese Segunda Liga,2026-08-22 09:45:33,2026-08-22 10:00:00,2026-08-22,2.0,4.0,betfair:exato,0,0.06785714285714285,0.9364548494983278
2026-08-22 11:00,Wuhan Three Towns,Tianjin Jinmen Tiger FC,2.12,2.14,15.5,735.01,14.0,10.3,Chinese Super League,2026-08-22 10:49:32,2026-08-22 11:00:00,2026-08-22,0.0,0.0,betfair:fuzzy0.97,0,0.06551724137931034,0.9385113268608415
