Data,Liga,Home,Away,odd_lay,p,EV,fonte_Odd_CS_0x0,casamento,universo,placar,fonte_placar,Resultado,PnL,Em_Claude
2026-09-01,ENGLAND 2,Birmingham,Southampton,17.0,0.9536,0.1639,b365 (13.0),EXATO,Base consolidada B365 + feed_diario (2026-09-01),1x1,b365 + betfair,GREEN,0.0594,SIM
2026-09-02,CROATIA 2,Opatija,Hrvace,15.0,0.9556,0.2859,b365 (13.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),1x0,b365 + betfair,GREEN,0.0679,NAO
2026-09-02,SCOTLAND 1,Dundee FC,St Johnstone,15.5,0.9536,0.2334,b365 (12.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),1x1,b365 + betfair,GREEN,0.0655,SIM
2026-09-02,ENGLAND 3,Wigan,MK Dons,15.5,0.9495,0.1692,b365 (13.0),EXATO,Base consolidada B365 + feed_diario (2026-09-02),3x1,b365 + betfair,GREEN,0.0655,NAO
2026-09-02,ENGLAND 2,West Brom,Charlton,14.5,0.9444,0.1459,b365 (11.0),EXATO,Base consolidada B365 + feed_diario (2026-09-02),1x1,b365 + betfair,GREEN,0.0704,SIM
2026-09-02,SCOTLAND 1,Motherwell,Dundee Utd,19.5,0.9564,0.1019,b365 (15.0),EXATO,Base consolidada B365 + feed_diario (2026-09-02),3x0,b365 + betfair,GREEN,0.0514,SIM
2026-09-02,JAPAN 1,Cerezo Osaka,Kashiwa Reysol,16.5,0.9472,0.0819,b365 (13.0),FUZZY (0.85),Base consolidada B365 + feed_diario (2026-09-02),2x0,b365 + betfair,GREEN,0.0613,SIM
2026-09-02,BULGARIA 1,Slavia Sofia,Levski Sofia,15.0,0.9405,0.0601,b365 (11.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),1x2,b365 + betfair,GREEN,0.0679,NAO
2026-09-02,ITALY CUP,Udinese,Venezia,14.0,0.936,0.0572,b365 (11.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),2x1,b365 + betfair,GREEN,0.0731,NAO
2026-09-02,BELGIUM 1,St. Truiden,Royale Union SG,19.5,0.9523,0.0218,b365 (15.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),0x3,b365 + betfair,GREEN,0.0514,NAO
2026-09-03,SWITZERLAND 1,Lugano,Servette,19.5,0.9606,0.1843,b365 (15.0),EXATO,Base consolidada B365 + feed_diario (2026-09-03),1x0,b365 + betfair,GREEN,0.0514,SIM
2026-09-04,USA 1,New York City,Nashville SC,16.0,0.946,0.0881,b365 (13.0),EXATO,Base consolidada B365 + feed_diario (2026-09-04),0x0,b365 + betfair,RED,-1.0,SIM
2026-09-05,ENGLAND 5,Hartlepool,Woking,15.0,0.9676,0.466,b365 (12.0),EXATO,Base consolidada B365 + feed_diario (2026-09-05),1x0,b365 + betfair,GREEN,0.0679,SIM
2026-09-05,ENGLAND 5,Scunthorpe,Harrogate,19.0,0.9704,0.3885,b365 (15.0),FUZZY (0.91),Base consolidada B365 + feed_diario (2026-09-05),0x2,b365 + betfair,GREEN,0.0528,SIM
2026-09-05,ENGLAND 5,Barrow,Sutton,15.0,0.9621,0.384,b365 (11.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),3x0,b365 + betfair,GREEN,0.0679,SIM
2026-09-05,ITALY 2,Ascoli,Benevento,14.0,0.9567,0.3463,b365 (11.0),EXATO,Base consolidada B365 + feed_diario (2026-09-05),1x0,b365 + betfair,GREEN,0.0731,SIM
2026-09-05,ENGLAND 5,Aldershot,FC Halifax,19.5,0.9648,0.2652,b365 (13.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),1x0,b365 + betfair,GREEN,0.0514,SIM
2026-09-05,ENGLAND 2,Preston,Blackburn,13.5,0.942,0.1701,b365 (11.0),EXATO,Base consolidada B365 + feed_diario (2026-09-05),2x1,b365 + betfair,GREEN,0.076,SIM
2026-09-05,ENGLAND 1,Fulham,Crystal Palace,13.5,0.9412,0.1585,b365 (11.0),EXATO,Base consolidada B365 + feed_diario (2026-09-05),2x3,b365 + betfair,GREEN,0.076,SIM
2026-09-05,SCOTLAND 1,Dundee Utd,Falkirk,17.5,0.9536,0.1407,b365 (13.0),EXATO,Base consolidada B365 + feed_diario (2026-09-05),1x1,b365 + betfair,GREEN,0.0576,SIM
2026-09-05,ENGLAND 3,Leicester,Oxford Utd,18.5,0.9554,0.1268,b365 (17.0),EXATO,Base consolidada B365 + feed_diario (2026-09-05),0x4,b365 + betfair,GREEN,0.0543,SIM
2026-09-05,ENGLAND 2,West Brom,Watford,15.0,0.9443,0.1172,b365 (11.0),EXATO,Base consolidada B365 + feed_diario (2026-09-05),1x0,b365 + betfair,GREEN,0.0679,SIM
2026-09-05,ENGLAND 1,Brentford,Sunderland,16.0,0.9472,0.1082,b365 (12.0),EXATO,Base consolidada B365 + feed_diario (2026-09-05),1x1,b365 + betfair,GREEN,0.0633,SIM
2026-09-05,ENGLAND 1,Brighton,Leeds,16.0,0.9472,0.1082,b365 (12.0),EXATO,Base consolidada B365 + feed_diario (2026-09-05),1x1,b365 + betfair,GREEN,0.0633,SIM
2026-09-05,ENGLAND 3,Reading,Blackpool,17.5,0.9517,0.1077,b365 (13.0),EXATO,Base consolidada B365 + feed_diario (2026-09-05),3x1,b365 + betfair,GREEN,0.0576,NAO
2026-09-05,ENGLAND 3,Bradford City,Mansfield,15.0,0.9434,0.1039,b365 (11.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),1x0,b365 + betfair,GREEN,0.0679,SIM
2026-09-05,ENGLAND 2,Portsmouth,Cardiff,19.0,0.9549,0.0946,b365 (13.0),EXATO,Base consolidada B365 + feed_diario (2026-09-05),2x0,b365 + betfair,GREEN,0.0528,SIM
2026-09-05,USA 1,Columbus Crew,Colorado Rapids,16.0,0.9457,0.0846,b365 (13.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),3x0,b365 + betfair,GREEN,0.0633,NAO
