metodo,periodo,corte,N,G,R,red_pct,WR,BE,edge_pp,odd_med,ROI,PnL_u,IC_lo,IC_hi,p_le0,dias,oh_med,oa_med
Lay Goleada Visit (AO Away),completo,Todos,11813,11375,438,3.7077795648861427,96.29222043511386,97.00515126182479,-0.7129308267109336,36.86028104630492,-0.7394128765899084,-87.34684311156589,-1.1095388057830338,-0.38397395787836064,1.0,837,3.03781088631169,2.7793380174384152
Lay Goleada Visit (AO Away),completo,TOP 3,2300,2184,116,5.043478260869565,94.95652173913044,95.65214044231729,-0.695618703186851,24.894347826086957,-0.7276482173865829,-16.735908999891407,-1.6739173124204383,0.17465270401740768,0.9406,837,3.6254913043478267,2.3583130434782613
Lay Goleada Visit (AO Away),completo,TOP 2,1605,1518,87,5.420560747663552,94.57943925233646,95.42455056868205,-0.8451113163456037,23.44859813084112,-0.8902043671516604,-14.287780092784152,-2.0542084578296023,0.23380262945627645,0.9383,837,3.7182492211838007,2.3012336448598134
Lay Goleada Visit (AO Away),completo,TOP 1,837,792,45,5.376344086021505,94.6236559139785,95.08709559041225,-0.4634396764337412,21.41816009557945,-0.49251729512332487,-4.122369760182229,-2.1773576330722624,1.0890053449818353,0.718,837,3.867753882915173,2.2180167264038233
Lay Goleada Visit (AO Away),2026,Todos,3361,3232,129,3.838143409699494,96.16185659030052,96.93014406884204,-0.7682874785415295,36.02365367450164,-0.8090963220847864,-27.19372738526967,-1.4428495091332842,-0.17709415121003078,0.9937,237,3.0486759892889017,2.819410889616186
Lay Goleada Visit (AO Away),2026,TOP 3,648,611,37,5.709876543209877,94.29012345679013,95.59529011355046,-1.305166656760337,24.650462962962962,-1.385602153202003,-8.97870195274898,-3.310976424072276,0.41179918651336084,0.9329,237,3.6784259259259255,2.3656327160493826
Lay Goleada Visit (AO Away),2026,TOP 2,450,418,32,7.111111111111111,92.88888888888889,95.37827607784003,-2.489387188951142,23.308888888888887,-2.637668471255242,-11.86950812064859,-5.280103546644908,-0.19299865651255244,0.9834,237,3.7825777777777776,2.308755555555556
Lay Goleada Visit (AO Away),2026,TOP 1,237,221,16,6.751054852320674,93.24894514767934,95.09952438608416,-1.8505792384048259,21.679324894514767,-1.9632321129589834,-4.65286010771279,-5.4674521910048925,1.1921878884878898,0.879,237,3.882236286919831,2.2582278481012654
Lay Goleada Mand (AO Home),completo,Todos,16821,16097,724,4.304143629986327,95.69585637001367,96.534354193822,-0.8384978238083263,32.337643421913086,-0.8636497360564075,-145.2745221020483,-1.2101128555040113,-0.5330466864417835,1.0,877,2.4034700671779325,3.691143213839843
Lay Goleada Mand (AO Home),completo,TOP 3,2471,2326,145,5.868069607446378,94.13193039255361,94.92913705019109,-0.7972066576374615,20.53460137596115,-0.8410437527905448,-20.78219113145436,-1.8643294543709628,0.11449674715982622,0.955,877,2.075078915418859,4.39923917442331
Lay Goleada Mand (AO Home),completo,TOP 2,1704,1607,97,5.692488262910798,94.3075117370892,94.74127968708937,-0.43376795000017454,19.537265258215964,-0.4654459028840428,-7.93119818514409,-1.667685862252108,0.67224679256306,0.7797,877,2.036549295774648,4.508403755868544
Lay Goleada Mand (AO Home),completo,TOP 1,877,827,50,5.701254275940707,94.2987457240593,94.47785308115292,-0.1791073570936219,18.227480045610033,-0.2053382055322785,-1.8008160625180822,-1.874452920781543,1.378737560038302,0.5861,877,1.9777423033067274,4.719258836944129
Lay Goleada Mand (AO Home),2026,Todos,4644,4458,186,4.0051679586563305,95.99483204134367,96.41142264216319,-0.41659060081952193,30.910529715762273,-0.42944742413349185,-19.943538376759363,-1.050531698265722,0.16943375755172663,0.9153,240,2.4520628768303188,3.6535938845822566
Lay Goleada Mand (AO Home),2026,TOP 3,689,655,34,4.934687953555878,95.06531204644412,94.88270953568058,0.18260251076354095,20.398403483309142,0.18631187595948914,1.2836888253608802,-1.52790092908751,1.7636772668180225,0.4029,240,2.1077503628447025,4.3208272859216255
Lay Goleada Mand (AO Home),2026,TOP 2,472,453,19,4.025423728813559,95.97457627118644,94.69210429245877,1.2824719787276728,19.384533898305083,1.3490750815415165,6.367634384875958,-0.557930263325566,3.0557749636908134,0.0747,240,2.0716101694915254,4.419830508474576
Lay Goleada Mand (AO Home),2026,TOP 1,240,228,12,5.0,95.0,94.4000600744607,0.5999399255392945,17.829166666666666,0.6183498881615362,1.484039731587687,-2.4838641882606174,3.319773113106407,0.3171,240,2.01025,4.640291666666667
Lay 0x1 SuperFav Mand,completo,Todos,447,411,36,8.053691275167784,91.94630872483222,93.26091639541548,-1.3146076705832566,14.241610738255034,-1.4216293005232945,-6.354682973339127,-4.109883639294187,1.098325986236826,0.8584,297,1.7912304250559286,5.17234899328859
Lay 0x1 SuperFav Mand,completo,TOP 3,433,398,35,8.083140877598153,91.91685912240185,93.25105773322329,-1.3341986108214354,14.222863741339491,-1.4433222386238915,-6.24958529324145,-4.186571894567287,1.1372596908377708,0.8566,297,1.7935103926096996,5.1846420323325635
Lay 0x1 SuperFav Mand,completo,TOP 2,404,372,32,7.920792079207921,92.07920792079209,93.23244882986977,-1.1532409090776907,14.188118811881187,-1.2521886915837803,-5.058842313998472,-4.094827895418728,1.3687466979343481,0.8085,297,1.7931188118811883,5.189405940594059
