grupo,N,G,R,WR,BE,gap_pp,ROI,PnL_u,odd_med,IC_lo,IC_hi,p_roi_le0,dias,greens_por_red,metodo,periodo
QUALIFICADOS (sem ranking),5464,5163,301,94.49121522693997,94.39020059712452,0.10101462981545462,0.1323438668751755,7.231268886059588,18.5,-0.5353068568250838,0.778080839597469,0.345,750,18.42105263157895,2x2,completo
MANTIDOS (rank 1-3),1877,1782,95,94.93873201917954,94.05342653062658,0.8853054885529565,0.9920394525291041,18.620580523971284,17.5,-0.11382043603441558,2.0412620836832316,0.0395,750,17.36842105263158,2x2,completo
DESCARTADOS (rank >3),3587,3381,206,94.25703930861444,94.56642722740514,-0.3093879187906934,-0.31751635455566457,-11.389311637911689,19.0,-1.1243622233809638,0.45704126279250923,0.7831,434,18.94736842105263,2x2,completo
QUALIFICADOS (sem ranking),2330,2205,125,94.63519313304721,93.70808679583139,0.9271063372158217,1.0364137220969787,24.148439724859603,17.0,0.09738224654372467,1.9674286309926077,0.0143,227,16.842105263157894,2x2,2026
MANTIDOS (rank 1-3),599,577,22,96.32721202003339,92.63657147500327,3.6906405450301216,4.064987016945177,24.349272231501608,15.5,2.2374233284330725,5.634201474715166,0.0,227,15.263157894736844,2x2,2026
DESCARTADOS (rank >3),1731,1628,103,94.04968226458695,94.07887690396313,-0.029194639376195486,-0.011602108991450005,-0.2008325066419996,17.5,-1.1079509077330125,1.0775659628145426,0.5007,153,17.36842105263158,2x2,2026
QUALIFICADOS (sem ranking),416,389,27,93.50961538461539,94.83486184446382,-1.3252464598484281,-1.4001364285322055,-5.824567542693975,18.5,-3.352102291648916,0.6448360568472273,0.9103,33,18.42105263157895,2x2,forward 01/08+
MANTIDOS (rank 1-3),92,88,4,95.65217391304348,94.55876771011033,1.093406202933156,1.1532576938932555,1.060997078381795,17.5,-3.4786813607302465,4.668886259223925,0.2774,33,17.36842105263158,2x2,forward 01/08+
DESCARTADOS (rank >3),324,301,23,92.90123456790124,94.91325894434198,-2.0120243764407464,-2.125174265764126,-6.885564621075769,19.0,-4.405721084486095,0.047719294345934124,0.9713,24,18.94736842105263,2x2,forward 01/08+
QUALIFICADOS (sem ranking),3800,3721,79,97.92105263157895,96.23772148852395,1.6833311430550002,1.7636878858230434,67.02013966127565,27.0,1.2123324964168614,2.257537332554689,0.0,672,27.368421052631582,0x3,completo
MANTIDOS (rank 1-3),1534,1489,45,97.06649282920469,95.9977768514111,1.0687159777935884,1.1333449064988197,17.385510865691895,25.0,0.1543227141091683,2.0571684700249557,0.0136,672,25.263157894736842,0x3,completo
DESCARTADOS (rank >3),2266,2232,34,98.49955869373345,96.40015532494539,2.0994033687880553,2.1904072725323807,49.634628795583744,28.0,1.6031101081296735,2.6935216049070383,0.0,296,28.421052631578952,0x3,completo
QUALIFICADOS (sem ranking),2134,2113,21,99.01593252108715,95.97440565626954,3.041526864817612,3.187019954597364,68.01100583110775,25.0,2.7652859381514383,3.5767357752297264,0.0,196,25.263157894736842,0x3,2026
MANTIDOS (rank 1-3),508,504,4,99.21259842519686,95.24996935572668,3.9626290694701694,4.186585866532656,21.267856201985893,21.0,3.245494350402463,4.928676202876904,0.0,196,21.05263157894737,0x3,2026
DESCARTADOS (rank >3),1626,1609,17,98.95448954489545,96.20073630859166,2.753753236303791,2.8747324495154896,46.74314962912186,26.0,2.3643788547561413,3.3195652633484714,0.0,132,26.315789473684212,0x3,2026
QUALIFICADOS (sem ranking),128,125,3,97.65625,96.57072058434213,1.085529415657871,1.1224167047339477,1.436693382059453,28.0,-1.9875009348682744,3.5233120152057604,0.2035,27,28.421052631578952,0x3,forward 01/08+
MANTIDOS (rank 1-3),66,64,2,96.96969696969697,96.35517545282231,0.6145215168746665,0.6407908528754995,0.4229219628978297,26.5,-4.249389512399635,3.8747241792467433,0.3209,27,26.842105263157894,0x3,forward 01/08+
DESCARTADOS (rank >3),62,61,1,98.38709677419355,96.80017185337937,1.5869249208141811,1.6351151921961662,1.013771419161623,30.0,-1.589034157650763,3.398533820750297,0.1464,12,30.52631578947369,0x3,forward 01/08+
