runner,fav,corte,N,reds,red_pct,WR,BE,edge_pp,odd_med,lay_size_med,ROI,IC_lo,IC_hi,p,dias,BH_passa,decisao
0 - 0,<=1.40,Todos,112,2,1.7857142857142856,98.21428571428571,96.19477093472845,2.019514779557263,26.5,179.87,2.1220744453769447,-0.6549701054680572,4.080211909079376,0.0607,24,False,INCONCLUSIVO
3 - 2,>1.80,Todos,619,13,2.10016155088853,97.89983844911147,97.01778351660266,0.8820549325088023,34.0,173.58,0.9120227356407085,-0.31306887285860047,1.88786323328922,0.0665,26,False,INCONCLUSIVO
0 - 3,1.40-1.80,Todos,118,5,4.23728813559322,95.76271186440678,94.03842138153236,1.7242904828744243,16.0,186.67000000000002,1.8361095599665842,-1.5396586180037348,4.839358121223795,0.1212,23,False,INCONCLUSIVO
1 - 0,>1.80,TOP 3,52,6,11.538461538461538,88.46153846153845,85.37839330251565,3.0831451590228154,6.4,405.855,3.5826509618917757,-5.259626749488398,12.318457917122473,0.2,25,False,INCONCLUSIVO
1 - 1,<=1.40,Todos,175,9,5.142857142857142,94.85714285714286,94.08390737002755,0.7732354871153091,16.0,216.1,0.8269557584433709,-2.384613665020758,4.0209638263876855,0.3009,25,False,INCONCLUSIVO
1 - 0,>1.80,Todos,1495,125,8.361204013377927,91.63879598662209,91.3164630032714,0.3223329833506816,11.5,267.04,0.3294017733503621,-1.2384402148092923,2.2287159797906666,0.3186,27,False,INCONCLUSIVO
3 - 0,1.40-1.80,Todos,323,18,5.572755417956656,94.42724458204334,93.99492593939148,0.43231864265186326,16.0,209.14,0.4739651098076532,-2.979807424181845,2.8905738151229117,0.3797,25,False,INCONCLUSIVO
2 - 1,<=1.40,Todos,152,11,7.236842105263158,92.76315789473684,92.27820627749577,0.4849516172410695,11.5,266.71000000000004,0.5459222683382456,-3.3844085752530417,4.33970202779233,0.385,25,False,INCONCLUSIVO
2 - 2,<=1.40,Todos,127,4,3.149606299212598,96.85039370078741,96.52894529492279,0.32144840586462164,27.0,188.73,0.2934231853192365,-2.855086183072571,2.803976739307838,0.4009,25,False,INCONCLUSIVO
2 - 1,1.40-1.80,Todos,453,35,7.72626931567329,92.27373068432672,92.10474282693204,0.1689878573946757,10.5,238.44,0.15983283391630554,-2.1811483242703775,2.967609802955139,0.4388,26,False,INCONCLUSIVO
Any Other Home Win,>1.80,Todos,1269,55,4.334121355397951,95.66587864460206,95.63965122463733,0.026227419964719445,24.0,181.92,0.02142696777142096,-1.977675991690176,1.9152276509037254,0.4819,27,False,INCONCLUSIVO
0 - 2,1.40-1.80,Todos,145,19,13.10344827586207,86.89655172413792,92.3192323907489,-5.422680666610969,11.5,216.93,-5.870905397848199,-11.91685576613914,-0.009965973422785202,1.0,23,False,REPROVA
0 - 1,>1.80,TOP 3,66,10,15.151515151515152,84.84848484848484,87.33377044418566,-2.4852855957008146,7.4,311.555,-2.942122558672456,-11.976514362534791,5.312067763805611,1.0,27,False,INCONCLUSIVO
0 - 1,>1.80,Todos,1485,120,8.080808080808081,91.91919191919192,92.35697969377095,-0.43778777457903484,13.0,270.06,-0.4521382939799494,-1.9109706208417319,0.6925084056646302,1.0,27,False,INCONCLUSIVO
0 - 1,<=1.40,Todos,71,5,7.042253521126761,92.95774647887323,94.23947739194169,-1.2817309130684462,19.5,203.19,-1.40497577457144,-7.762210072207373,4.511975689338943,1.0,24,False,INCONCLUSIVO
0 - 1,1.40-1.80,Todos,426,26,6.103286384976526,93.89671361502347,94.54839360827812,-0.6516799932546502,21.0,229.775,-0.7021669591168915,-3.1064473686950556,1.2772419452402748,1.0,26,False,INCONCLUSIVO
1 - 0,1.40-1.80,Todos,442,44,9.95475113122172,90.04524886877829,91.5104216514235,-1.4651727826452188,11.0,232.87,-1.6693876532492058,-5.255592652433904,2.349325322088818,1.0,25,False,INCONCLUSIVO
1 - 0,<=1.40,Todos,147,14,9.523809523809524,90.47619047619048,91.91848267259975,-1.4422921964092783,12.0,227.47,-1.5783649767349879,-7.385966425955718,3.7355410296182936,1.0,24,False,INCONCLUSIVO
0 - 2,>1.80,Todos,1416,68,4.80225988700565,95.19774011299435,95.44075499033825,-0.2430148773438945,22.0,179.72,-0.24311592149014405,-1.2986656822496818,0.6649502739983079,1.0,27,False,INCONCLUSIVO
1 - 1,1.40-1.80,Todos,451,46,10.199556541019955,89.80044345898004,90.85266085633286,-1.052217397352817,10.5,250.5,-1.192548144872273,-4.563495326311818,2.5349480281567036,1.0,26,False,INCONCLUSIVO
1 - 2,1.40-1.80,Todos,434,27,6.221198156682028,93.77880184331798,94.60399661743946,-0.825194774121496,22.0,191.47500000000002,-0.8982074068060191,-3.91730568492447,1.8552915100168113,1.0,26,False,INCONCLUSIVO
1 - 2,<=1.40,Todos,87,8,9.195402298850574,90.80459770114942,94.52782558307405,-3.723227881924618,19.5,210.58,-3.940802519642243,-12.082485407167951,2.743261290447632,1.0,23,False,INCONCLUSIVO
1 - 1,>1.80,Todos,1506,206,13.678618857901725,86.32138114209828,88.38360316765646,-2.0622220255581913,8.0,266.49,-2.318144341434345,-4.379908541881497,-0.49463406248907205,1.0,27,False,REPROVA
1 - 1,>1.80,TOP 3,80,12,15.0,85.0,86.17908625072491,-1.1790862507249034,6.8,303.78499999999997,-1.3987969410999979,-9.837054669170762,6.832622331919946,1.0,27,False,INCONCLUSIVO
