mercado,N_2024,gap_2024,ROI_2024,N_2025,gap_2025,ROI_2025,N_26jan-jul,gap_26jan-jul,ROI_26jan-jul,N_26ago-set,gap_26ago-set,ROI_26ago-set
H,13860,-2.2514303602605716,-3.814293430487407,19891,-2.353815897888882,-4.039071105508549,10353,-2.6342693642934774,-4.590384980310955,2315,-1.0576249557976454,-2.015881558176608
A,13834,-2.2248605364902088,-3.3815893221215245,19861,-2.9416310583512773,-4.264239253264764,10493,-1.0867002896016176,-1.6408286158237473,2386,-2.963345719202626,-4.499806036144687
D,14738,-2.9133111300219876,-3.8409945805264947,20994,-2.0009185755567565,-2.616363592361795,11296,-2.0103799029991434,-2.674677870404628,2558,-0.3910303400693732,-0.5843483946609784
1X,0,,,7233,-2.166060055936491,-4.266749744367146,4364,-2.731379488249695,-5.94797154637147,980,-1.1143467530934081,-2.8918385290961073
X2,0,,,13772,-3.3461175647615615,-6.869323323160863,8526,-1.793114166233295,-3.8499389344165262,1956,-2.1509649977869874,-5.256771886490286
12,0,,,1749,-6.409325611891075,-14.53605585183817,1025,-0.3220333730058678,-0.8147875246848473,144,-5.774527402150019,-15.905608724221157
Over05_FT,1623,-25.946648188374365,-74.32021121782033,2256,-27.24240020522004,-75.43968000269278,316,-32.08633219905601,-77.75995608662456,6,,
Under05_FT,22,,,75,,,113,-5.770067542778506,-7.095456145219177,25,,
Over15_FT,7572,-3.7606760850450596,-8.9434650814398,15220,-4.390438554853669,-11.157120109085787,7502,-3.205552269312205,-8.785980180718433,1452,-3.590642168616646,-11.13572497208162
Under15_FT,7472,-3.8200333913330407,-5.1751751014654985,17035,-3.0193126366791954,-4.05463130035002,9348,-1.7337920397072153,-2.42120735020085,2073,-0.6700966828224078,-0.808270342678515
Over25_FT,15456,-4.0579622634428505,-7.233534042503031,22299,-4.030644169682493,-7.580449867420865,11435,-3.3132514181007386,-6.109951494866437,2540,-3.8765959783925696,-7.769737897923146
Under25_FT,15135,-3.6246778538717397,-6.6893304430267255,22029,-2.880428449485486,-5.502263210291849,11432,-1.3983929025250776,-2.4865080358321348,2566,-0.10066626029019601,0.1640330848209805
Over35_FT,0,,,16032,-2.7822292637379773,-3.9621425537116206,10256,-1.460204698250734,-1.933354835869517,2350,-3.3548714819164016,-5.262375073970457
Under35_FT,0,,,14775,-3.625727389260183,-9.722921255173784,8825,-3.214626676625365,-8.591361665316672,2068,0.047234957072708424,-0.3844951392843537
Over45_FT,0,,,4467,-3.0105383557684084,-3.8948522179967666,3152,-0.4228182534054237,-0.6282104534999761,905,-4.675197656497345,-6.318715826744585
Under45_FT,0,,,3731,-9.270323236297262,-25.0685761091603,1844,-7.018931422188701,-20.59127813362126,453,-0.3732267591009166,-3.167869740388568
BTTS_Yes,13906,-3.428631914646342,-6.707936470404309,19055,-3.9089729532372504,-7.619972670565541,10833,-4.035531429114227,-8.268387646234874,2533,-3.7318098143299125,-8.127252289634331
BTTS_No,13884,-3.538939522370172,-6.239237422595682,18983,-2.64109832986646,-4.674209565199668,10831,-1.3195133440181093,-2.4243457718398376,2533,-1.7066321218506688,-3.2081623053506085
