estado,janela,fav,N,reds,red_pct,WR,BE,edge_pp,odd_med,ROI,IC_lo,IC_hi,p,dias,BH_passa,decisao
1-0 (mand marcou),25-40,>1.80,76,1,1.3157894736842104,98.68421052631578,95.56157599371602,3.122634532599766,21.0,3.2715915531418776,-0.0062465563764536785,4.704164542159757,0.0254,21,False,INCONCLUSIVO
0-1 (visit marcou),46-60,>1.80,97,2,2.0618556701030926,97.9381443298969,95.59911111831893,2.339033211577979,22.0,2.4476274396088646,-0.564285748824502,4.644793770639103,0.0503,24,False,INCONCLUSIVO
1 gol,46-60,>1.80,306,10,3.2679738562091507,96.73202614379085,95.13316177990706,1.5988643638838007,20.0,1.6876895814163142,-0.497367463079819,3.886872355063599,0.0618,26,False,INCONCLUSIVO
0-1 (visit marcou),25-40,>1.80,50,1,2.0,98.0,95.30860321963605,2.6913967803639416,21.0,2.829934787997039,-2.1353873118461544,5.168593146258093,0.0993,19,False,INCONCLUSIVO
1-0 (mand marcou),46-60,>1.80,90,3,3.3333333333333335,96.66666666666667,95.83020120895668,0.8364654577099895,23.0,0.880592318334158,-3.619252744145501,4.302192752765832,0.3044,20,False,INCONCLUSIVO
1 gol,60-75,>1.80,127,5,3.937007874015748,96.06299212598425,95.82474065130566,0.23825147467858576,24.0,0.2723074336587495,-2.5525167276260508,4.2059805181533045,0.4021,25,False,INCONCLUSIVO
1 gol,25-40,>1.80,394,22,5.583756345177665,94.41624365482232,94.21274416378004,0.2034994910422916,16.5,0.19766968687831427,-2.0100993904747604,2.6029552500475575,0.4067,26,False,INCONCLUSIVO
1 gol,46-60,1.40-1.80,58,3,5.172413793103448,94.82758620689656,94.64199119909922,0.1855950077973234,17.75,0.22347807126765984,-5.419418801370891,5.589949415308503,0.4362,20,False,INCONCLUSIVO
1 gol,10-25,>1.80,478,34,7.112970711297072,92.88702928870293,93.1434399550913,-0.2564106663883736,13.5,-0.28522810782949154,-1.866886576327134,1.7895562978716455,1.0,26,False,INCONCLUSIVO
1 gol,10-25,1.40-1.80,122,12,9.836065573770492,90.1639344262295,93.8236059408751,-3.6596715146455905,17.5,-3.861637647814689,-8.69482630878676,0.8649927975699248,1.0,21,False,INCONCLUSIVO
1 gol,25-40,1.40-1.80,81,7,8.641975308641975,91.35802469135803,94.13934922221196,-2.7813245308539347,17.0,-2.925537161552284,-9.435366891570185,4.472087272123077,1.0,21,False,INCONCLUSIVO
0-1 (visit marcou),60-75,>1.80,58,3,5.172413793103448,94.82758620689656,96.09326839623125,-1.2656821893347048,24.0,-1.3048649202626479,-5.803874976390768,4.030277871243456,1.0,20,False,INCONCLUSIVO
