ko,dia,home,away,janela,fav,quem,minuto,odd,lay_size,lay_pre,red,fonte,pnl,be
2026-08-17 15:00,2026-08-17,Chernomorets Bourgas,CSKA Sofia II,10-25,>1.80,?,14.399999999999999,12.5,371.33,950.0,0,b365,0.08260869565217391,0.9236947791164659
2026-08-17 15:00,2026-08-17,Chernomorets Bourgas,CSKA Sofia II,25-40,>1.80,?,25.1,15.0,261.29,950.0,0,b365,0.06785714285714285,0.9364548494983278
2026-08-17 15:00,2026-08-17,Chernomorets Bourgas,CSKA Sofia II,46-60,>1.80,?,46.2,18.5,200.64,950.0,0,b365,0.054285714285714284,0.948509485094851
2026-08-17 15:00,2026-08-17,Slovan Bratislava II,FK Humenne,10-25,>1.80,?,14.399999999999999,18.0,75.87,20.0,0,b365,0.055882352941176466,0.947075208913649
2026-08-17 15:00,2026-08-17,Slovan Bratislava II,FK Humenne,25-40,>1.80,?,25.1,19.0,368.58,20.0,0,b365,0.05277777777777778,0.949868073878628
2026-08-17 15:00,2026-08-17,Slovan Bratislava II,FK Humenne,46-60,>1.80,?,46.2,22.0,446.49,20.0,0,b365,0.04523809523809524,0.9567198177676538
2026-08-17 16:00,2026-08-17,Pisa,Empoli,25-40,1.40-1.80,mand,39.4,29.0,633.69,22.0,0,betfair,0.033928571428571426,0.9671848013816926
2026-08-17 16:00,2026-08-17,Pisa,Empoli,46-60,1.40-1.80,mand,49.8,30.0,968.49,22.0,0,betfair,0.03275862068965517,0.9682804674457429
2026-08-17 16:30,2026-08-17,Sassuolo,Cesena,10-25,1.40-1.80,?,19.799999999999997,26.0,86.58,24.0,0,betfair,0.038,0.9633911368015414
2026-08-17 16:30,2026-08-17,Sassuolo,Cesena,25-40,1.40-1.80,?,25.1,24.0,86.16,24.0,0,betfair,0.041304347826086954,0.9603340292275574
2026-08-17 17:00,2026-08-17,Brondby,SonderjyskE,10-25,1.40-1.80,?,11.100000000000001,23.0,724.89,24.0,0,betfair,0.04318181818181818,0.9586056644880174
2026-08-17 17:00,2026-08-17,Hacken,Halmstads,25-40,<=1.40,?,26.799999999999997,25.0,1247.11,23.0,0,betfair,0.03958333333333333,0.9619238476953909
2026-08-17 18:00,2026-08-17,All Boys,Nueva Chicago,10-25,>1.80,mand,14.100000000000001,25.0,72.28,55.0,0,betfair,0.03958333333333333,0.9619238476953909
2026-08-17 18:00,2026-08-17,De Graafschap,Jong AZ Alkmaar,10-25,>1.80,?,14.100000000000001,10.5,1493.6,13.5,0,betfair,0.09999999999999999,0.9090909090909092
2026-08-17 18:00,2026-08-17,FC Liege,Francs Borains,46-60,>1.80,visit,55.7,21.0,814.96,18.0,0,b365,0.0475,0.9546539379474941
2026-08-17 18:00,2026-08-17,FC Liege,Francs Borains,60-75,>1.80,visit,61.0,25.0,86.17,18.0,0,b365,0.03958333333333333,0.9619238476953909
2026-08-17 18:00,2026-08-17,FK Novi Pazar,Vojvodina,25-40,>1.80,?,29.700000000000003,14.0,174.68,18.0,0,betfair,0.07307692307692307,0.931899641577061
2026-08-17 18:00,2026-08-17,FK Novi Pazar,Vojvodina,46-60,>1.80,?,55.7,17.5,91.25,18.0,0,betfair,0.05757575757575757,0.9455587392550143
2026-08-17 18:00,2026-08-17,FK Novi Pazar,Vojvodina,60-75,>1.80,?,61.0,20.0,77.38,18.0,0,betfair,0.049999999999999996,0.9523809523809524
2026-08-17 18:00,2026-08-17,IR Reykjavik,Njardvik,10-25,>1.80,?,14.100000000000001,11.0,136.69,15.0,0,betfair,0.095,0.9132420091324202
2026-08-17 18:00,2026-08-17,IR Reykjavik,Njardvik,25-40,>1.80,?,29.700000000000003,13.0,653.54,15.0,0,betfair,0.07916666666666666,0.9266409266409267
2026-08-17 18:00,2026-08-17,Jong FC Utrecht,Vitesse Arnhem,10-25,>1.80,?,24.5,17.0,687.16,16.5,0,betfair,0.059375,0.943952802359882
2026-08-17 18:00,2026-08-17,Jong FC Utrecht,Vitesse Arnhem,25-40,>1.80,visit,29.700000000000003,18.0,620.5,16.5,0,betfair,0.055882352941176466,0.947075208913649
2026-08-17 18:30,2026-08-17,FCSB,Botosani,10-25,1.40-1.80,?,10.2,22.0,72.09,18.5,0,betfair,0.04523809523809524,0.9567198177676538
2026-08-17 18:45,2026-08-17,US Cremonese,Sampdoria,10-25,>1.80,mand,16.0,16.5,83.16,18.0,0,b365,0.06129032258064516,0.9422492401215806
2026-08-17 18:45,2026-08-17,US Cremonese,Sampdoria,25-40,>1.80,mand,26.4,20.0,694.09,18.0,0,b365,0.049999999999999996,0.9523809523809524
2026-08-17 18:45,2026-08-17,US Cremonese,Sampdoria,46-60,>1.80,mand,47.1,27.0,862.14,18.0,0,b365,0.036538461538461534,0.9647495361781077
2026-08-17 19:00,2026-08-17,Cardiff,Wrexham,10-25,>1.80,?,11.399999999999999,11.5,84.49,14.0,0,betfair,0.09047619047619047,0.9170305676855895
2026-08-17 19:00,2026-08-17,Cardiff,Wrexham,25-40,>1.80,?,26.9,14.0,148.27,14.0,0,betfair,0.07307692307692307,0.931899641577061
2026-08-17 19:00,2026-08-17,Cardiff,Wrexham,46-60,>1.80,?,47.6,16.5,112.88,14.0,0,betfair,0.06129032258064516,0.9422492401215806
2026-08-17 19:00,2026-08-17,Cardiff,Wrexham,60-75,>1.80,visit,63.0,25.0,98.72,14.0,0,betfair,0.03958333333333333,0.9619238476953909
2026-08-17 19:00,2026-08-17,Sportivo Belgrano,Def Belgrano VR,10-25,1.40-1.80,?,11.399999999999999,13.0,72.39,950.0,0,b365,0.07916666666666666,0.9266409266409267
2026-08-17 19:00,2026-08-17,Sportivo Belgrano,Def Belgrano VR,46-60,1.40-1.80,visit,47.6,24.0,652.92,950.0,0,b365,0.041304347826086954,0.9603340292275574
2026-08-17 19:15,2026-08-17,Fram,Stjarnan,10-25,>1.80,?,11.899999999999999,13.5,364.43,13.5,0,betfair,0.076,0.929368029739777
2026-08-17 19:15,2026-08-17,Palermo,Lecce,10-25,>1.80,?,11.899999999999999,14.0,898.99,24.0,0,betfair,0.07307692307692307,0.931899641577061
2026-08-17 19:15,2026-08-17,Throttur,Fylkir,10-25,>1.80,?,11.899999999999999,13.5,204.07,16.5,0,betfair,0.076,0.929368029739777
2026-08-17 19:30,2026-08-17,Almeria,Eldense,10-25,1.40-1.80,?,12.5,21.0,298.71,23.0,0,betfair,0.0475,0.9546539379474941
2026-08-17 19:30,2026-08-17,Almeria,Eldense,25-40,1.40-1.80,?,27.9,25.0,1900.7,23.0,0,betfair,0.03958333333333333,0.9619238476953909
2026-08-17 20:00,2026-08-17,Lanus,CA Independiente,25-40,>1.80,?,28.700000000000003,16.5,1359.69,28.0,0,betfair,0.06129032258064516,0.9422492401215806
2026-08-17 20:00,2026-08-17,Lanus,CA Independiente,46-60,>1.80,?,49.2,20.0,81.83,28.0,0,betfair,0.049999999999999996,0.9523809523809524
2026-08-17 22:00,2026-08-17,Club Deportes Santa Cruz,San Luis,25-40,>1.80,visit,31.4,22.0,443.04,26.0,0,b365,0.04523809523809524,0.9567198177676538
2026-08-17 22:15,2026-08-17,Velez Sarsfield,Defensa y Justicia,10-25,>1.80,?,16.4,18.5,70.74,22.0,0,betfair,0.054285714285714284,0.948509485094851
2026-08-17 22:15,2026-08-17,Velez Sarsfield,Defensa y Justicia,25-40,>1.80,mand,26.6,23.0,335.87,22.0,0,betfair,0.04318181818181818,0.9586056644880174
2026-08-17 22:15,2026-08-17,Velez Sarsfield,Defensa y Justicia,46-60,>1.80,mand,47.0,27.0,663.36,22.0,0,betfair,0.036538461538461534,0.9647495361781077
2026-08-17 23:00,2026-08-17,Guarani,Ypiranga RS,10-25,1.40-1.80,?,22.4,25.0,87.81,990.0,1,b365,-1.0,0.9619238476953909
2026-08-17 23:00,2026-08-17,Guarani,Ypiranga RS,25-40,1.40-1.80,?,32.6,30.0,108.92,990.0,1,b365,-1.0,0.9682804674457429
2026-08-17 23:00,2026-08-17,Internacional,Remo,10-25,1.40-1.80,?,12.2,23.0,944.07,24.0,0,betfair,0.04318181818181818,0.9586056644880174
2026-08-18 11:35,2026-08-18,Shanghai Shenhua,Beijing Guoan,25-40,>1.80,?,30.799999999999997,11.5,8980.83,13.0,0,betfair,0.09047619047619047,0.9170305676855895
2026-08-18 11:35,2026-08-18,Shanghai Shenhua,Beijing Guoan,46-60,>1.80,?,46.5,12.0,6361.47,13.0,0,betfair,0.08636363636363636,0.9205020920502093
2026-08-18 11:35,2026-08-18,Shanghai Shenhua,Beijing Guoan,60-75,>1.80,?,62.2,16.0,3997.4,13.0,0,betfair,0.06333333333333332,0.9404388714733543
2026-08-18 16:30,2026-08-18,Ironi Modiin,Maccabi Herzliya,25-40,>1.80,visit,27.200000000000003,24.0,1057.05,18.5,0,b365,0.041304347826086954,0.9603340292275574
2026-08-18 16:30,2026-08-18,Maccabi Bnei Raina,Bnei Yehuda,10-25,>1.80,?,16.6,13.5,262.94,21.0,0,betfair,0.076,0.929368029739777
2026-08-19 11:35,2026-08-19,Shanghai Port FC,Dalian Yingbo,10-25,1.40-1.80,?,13.2,10.5,2034.23,21.0,0,betfair,0.09999999999999999,0.9090909090909092
