runner,lado,fav,gols,lado_fav,corte,N_rec,perdas_rec,ROI_rec,IC_lo,IC_hi,p_ic,dias,N_antes,ROI_antes,P_perm,odd_med,aprovado,BH_ic,BH_perm,fam
CS_3x1,lay,fav>1.80,U25>2.20,fav fora,TOP 3,72,0,3.4670190263350005,3.3869645258740255,3.549089614494515,0.0,30,303,0.4850166019998221,0.12,28.0,False,True,False,CS
CS_Goleada_H,lay,fav1.40-1.80,U25>2.20,fav fora,TOP 3,49,0,2.510016901924726,2.103032116260011,2.908567983924669,0.0,23,181,-1.7969010566048111,0.0025,44.0,False,True,False,CS
CS_Goleada_H,lay,fav>1.80,U25 1.60-2.20,fav fora,Todos,253,2,1.62138499585018,0.7608888274332878,2.476878388931987,0.0,33,1133,-0.30033368875118865,0.025,42.0,False,True,False,CS
CS_Goleada_H,lay,fav1.40-1.80,U25>2.20,fav fora,Todos,68,0,2.323364808683354,2.045942216639287,2.591671692532747,0.0,23,205,-1.4033412106093384,0.005,47.0,False,True,False,CS
CS_Goleada_H,lay,Todos,U25 1.60-2.20,fav fora,Todos,259,2,1.6155987782886336,0.7727563056653607,2.4506559232305025,0.0,33,1157,-0.3536667980409555,0.0225,42.0,False,True,False,CS
CS_Goleada_H,lay,fav>1.80,U25 1.60-2.20,fav fora,TOP 3,79,0,2.995442387169147,2.723099792672013,3.2504408269328455,0.0,33,434,0.35309005340913013,0.07,32.0,False,True,False,CS
CS_Goleada_H,lay,fav1.40-1.80,Todos,fav fora,Todos,74,0,2.2461957650963327,1.9980694324292108,2.497136021998648,0.0,23,229,-1.5572024635511057,0.0,50.0,False,True,True,CS
CS_Goleada_H,lay,Todos,U25 1.60-2.20,fav fora,TOP 3,79,0,2.995442387169147,2.723099792672013,3.2504408269328455,0.0,33,435,0.3556907084587643,0.045,32.0,False,True,False,CS
CS_3x1,lay,Todos,U25>2.20,fav fora,TOP 3,72,0,3.4670190263350005,3.3869645258740255,3.549089614494515,0.0,30,355,1.334606620390154,0.2375,28.0,False,True,False,CS
CS_Goleada_H,lay,fav1.40-1.80,Todos,fav fora,TOP 3,49,0,2.510016901924726,2.103032116260011,2.908567983924669,0.0,23,196,-2.069301754801905,0.0,44.0,False,True,True,CS
Under25_FT,lay,fav1.40-1.80,Todos,Todos,Todos,633,232,10.012450208240974,4.584528357568532,15.416456164234283,0.0005,36,2731,-2.4570223765878794,0.0,2.32,False,False,True,nao-CS
Under25_FT,lay,fav1.40-1.80,U25 1.60-2.20,fav fora,Todos,56,18,30.033757464617768,12.242836524959795,45.760580462748074,0.0005,19,298,-7.188335155271595,0.0,2.0700000000000003,False,False,True,nao-CS
Over25_FT,back,fav1.40-1.80,U25 1.60-2.20,fav fora,Todos,56,18,29.99732142857143,12.221376357560567,45.67814944776806,0.0005,19,298,-7.228020134228191,0.01,1.94,False,False,False,nao-CS
Under25_FT,lay,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,276,115,14.095942428932846,4.1286109442133245,23.33257088251154,0.001,31,1369,-1.7822285173729486,0.0075,2.04,False,False,False,nao-CS
