Data,Home,Away,liga,tipo,odd,p,ev,passa_xgb,gh,ga
2026-09-19,Jeonnam,Suwon FC,SOUTH KOREA 2,fuzzy,19.0,0.9475797017415365,-0.04336465199788342,0,0,3
2026-09-19,Tottenham,Aston Villa,ENGLAND 1,exato,17.0,0.952521026134491,0.14523139297962184,1,2,3
2026-09-19,FK Pardubice,Bohemians,CZECH 1,fuzzy,16.5,0.9461031754811605,0.06339723666509045,1,2,1
2026-09-19,Palermo,Padova,ITALY 2,exato,19.0,0.9335983395576477,-0.30831146538257603,0,2,1
2026-09-19,Brommapojkarna,Goteborg,SWEDEN 1,fuzzy,19.5,0.9369208614031473,-0.27688924570878426,0,0,1
2026-09-19,Vasteras SK,Malmo FF,SWEDEN 1,exato,19.0,0.9481504956881205,-0.032548106710116764,0,2,0
2026-09-19,Brighton,Arsenal,ENGLAND 1,exato,17.5,0.9449990590413412,-0.009766419728596376,0,3,0
2026-09-19,Everton,Ipswich,ENGLAND 1,exato,17.0,0.9414945046106974,-0.041668146848679255,0,1,0
2026-09-19,Elgin City,Stranraer,SCOTLAND 4,fuzzy,18.5,0.9581312735875448,0.17752199769020138,1,1,5
2026-09-19,Dundee FC,Motherwell,SCOTLAND 1,fuzzy,18.5,0.9549954533576965,0.11966611444950104,1,2,1
2026-09-19,Sampdoria,Catanzaro,ITALY 2,exato,13.5,0.916796068350474,-0.1690928806861247,0,2,1
2026-09-19,Charleroi,Cercle Brugge KSV,BELGIUM 1,fuzzy,20.0,0.9336710770924886,-0.37326201200485176,0,3,2
2026-09-19,Alverca,Rio Ave,PORTUGAL 1,exato,14.5,0.9367275834083557,0.03571358025074001,1,1,0
2026-09-19,Anderlecht,Waregem,BELGIUM 1,fuzzy,20.0,0.9506125450134277,-0.03527972698211679,0,3,0
2026-09-19,FBC Melgar,Sport Boys,PERU 1,fuzzy,18.5,0.9445554614067078,-0.0729517370462418,0,1,1
2026-09-19,Colorado Rapids,Seattle Sounders,USA 1,fuzzy,20.0,0.9521193703015646,-0.005218562483786826,0,3,3
2026-09-19,Jeonnam,Suwon FC,SOUTH KOREA 2,fuzzy,19.0,0.941285232702891,-0.16264484028021564,0,0,3
2026-09-19,Tottenham,Aston Villa,ENGLAND 1,exato,17.0,0.9475797017415365,0.06147594451904359,1,2,3
2026-09-19,FK Pardubice,Bohemians,CZECH 1,fuzzy,16.5,0.9473626216252645,0.08411512573560131,1,2,1
2026-09-19,Vasteras SK,Malmo FF,SWEDEN 1,exato,19.0,0.9354948997497559,-0.27237164974212646,0,2,0
2026-09-19,Brommapojkarna,Goteborg,SWEDEN 1,fuzzy,19.5,0.9388939340909322,-0.23851298193136783,0,0,1
2026-09-19,Palermo,Padova,ITALY 2,exato,19.0,0.9481504956881205,-0.032548106710116764,0,2,1
2026-09-20,Celtic,Rangers,SCOTLAND 1,exato,20.0,0.9441390434900919,-0.1644260823726661,0,0,1
2026-09-20,Brondby,FC Copenhagen,DENMARK 1,exato,18.5,0.9523911476135254,0.07161667346954337,1,0,1
2026-09-20,Sonderjyske,Randers FC,DENMARK 1,fuzzy,19.5,0.9419944683710734,-0.1782075901826231,0,4,2
2026-09-20,Sigma Olomouc,Sparta Prague,CZECH 1,exato,20.0,0.9314128359158834,-0.4183139234781259,0,0,3
2026-09-20,Lausanne,Lugano,SWITZERLAND 1,exato,19.5,0.9262445569038391,-0.4845433682203293,0,0,4
2026-09-20,Skalica,Podbrezova,SLOVAKIA 1,fuzzy,18.0,0.9493483106295267,0.04080217580000489,1,0,1
2026-09-20,Slavia Prague,Plzen,CZECH 1,exato,20.0,0.949796179930369,-0.051566210389138,0,2,1
2026-09-20,Goztepe,Rizespor,TURKEY 1,exato,19.0,0.9419392148653666,-0.15025187830130338,0,2,2
2026-09-20,Kortrijk,Beveren,BELGIUM 1,fuzzy,18.0,0.9338451425234476,-0.2374796917041151,0,1,0
2026-09-20,Modena,Empoli,ITALY 2,exato,14.5,0.933788001537323,-0.0067633777856827,0,2,1
2026-09-20,Estudiantes Merida,Trujillanos,VENEZUELA 1,fuzzy,18.5,0.9169982473055521,-0.5813823372125633,0,1,1
2026-09-20,Queretaro,Club Leon,MEXICO 1,fuzzy,17.0,0.933301309744517,-0.18054279983043742,0,1,1
2026-09-20,Celtic,Rangers,SCOTLAND 1,exato,20.0,0.9506503939628601,-0.034524640440940946,0,0,1
2026-09-20,Brondby,FC Copenhagen,DENMARK 1,exato,18.5,0.9345943927764893,-0.2567334532737733,0,0,1
2026-09-20,Sonderjyske,Randers FC,DENMARK 1,fuzzy,19.5,0.9419944683710734,-0.1782075901826231,0,4,2
2026-09-20,Sigma Olomouc,Sparta Prague,CZECH 1,exato,20.0,0.9394838809967041,-0.25729657411575324,0,0,3
