Data,Home,Away,liga,tipo,odd,p,ev,passa_xgb,gh,ga,fonte
2026-09-01,Helsingborg,Orebro,SWEDEN 2,fuzzy,20.0,0.947480042775472,-0.09777314662933279,0,1,1,betfair:exato
2026-09-01,Preston,Bristol City,ENGLAND 2,exato,15.0,0.9261699517567953,-0.15375922123591057,0,1,3,betfair:exato
2026-09-01,Swansea,Watford,ENGLAND 2,exato,14.5,0.9186163345972697,-0.22599396506945346,0,2,0,betfair:exato
2026-09-01,Birmingham,Southampton,ENGLAND 2,exato,17.0,0.9534056385358175,0.16022557318210662,1,1,1,betfair:exato
2026-09-01,Stoke,Norwich,ENGLAND 2,exato,15.0,0.9106992483139038,-0.3850462377071381,0,1,0,betfair:exato
2026-09-02,Cerezo Osaka,Kashiwa Reysol,JAPAN 1,fuzzy,16.5,0.9493733843167623,0.11719217201074017,1,2,0,b365:exato
2026-09-02,Mito,Kashima Antlers,JAPAN 1,fuzzy,15.0,0.9185318350791931,-0.267949065566063,0,4,2,b365:exato
2026-09-02,Yokohama F. Marinos,Kyoto,JAPAN 1,fuzzy,18.5,0.9313772122065226,-0.31609043478965826,0,1,1,b365:exato
2026-09-02,Slavia Sofia,Levski Sofia,BULGARIA 1,fuzzy,15.0,0.9354901512463888,-0.014422238866487636,0,1,2,betfair:exato
2026-09-02,West Brom,Charlton,ENGLAND 2,exato,14.5,0.9400687217712402,0.08399302959442134,1,1,1,betfair:exato
2026-09-02,Wigan,MK Dons,ENGLAND 3,exato,15.5,0.9386756221453348,0.0025383621454232452,0,3,1,betfair:exato
2026-09-02,Dundee FC,St Johnstone,SCOTLAND 1,fuzzy,15.5,0.9508560299873352,0.19072566330432883,1,1,1,betfair:exato
2026-09-02,Kilmarnock,St. Mirren,SCOTLAND 1,exato,18.5,0.9427435199419657,-0.10638205707073278,0,0,1,betfair:exato
2026-09-02,Motherwell,Dundee Utd,SCOTLAND 1,exato,19.5,0.9534075061480204,0.0437759945789965,1,3,0,betfair:exato
2026-09-03,Lugano,Servette,SWITZERLAND 1,exato,19.5,0.960684597492218,0.18531542122364042,1,1,0,betfair:exato
2026-09-03,Hibernian,Hearts,SCOTLAND 1,exato,19.0,0.9436851938565572,-0.11716557641824021,0,1,3,betfair:exato
2026-09-03,Real Sociedad,Celta Vigo,SPAIN 1,exato,16.0,0.9385295708974203,-0.030453344186146536,0,0,0,betfair:exato
2026-09-04,Hobro,Hvidovre IF,DENMARK 2,fuzzy,17.5,0.9236881534258524,-0.3816417227188753,0,1,3,betfair:exato
2026-09-04,Altrincham,Eastleigh,ENGLAND 5,exato,19.5,0.9431727528572083,-0.15528995692729952,0,2,1,betfair:exato
2026-09-04,New York City,Nashville SC,USA 1,exato,16.0,0.9453720847765604,0.0786847521861388,1,0,0,betfair:exato
2026-09-05,Kaiserslautern,Darmstadt,GERMANY 2,fuzzy,18.5,0.9568649729092916,0.15415875017643033,1,3,0,betfair:exato
2026-09-05,Varnamo,Varberg,SWEDEN 2,fuzzy,20.0,0.9425241351127625,-0.19664350450038914,0,1,1,betfair:exato
2026-09-05,Preston,Blackburn,ENGLAND 2,exato,13.5,0.9424891670544943,0.17647929688294783,1,2,1,b365:exato
2026-09-05,Wigan,Stockport County,ENGLAND 3,fuzzy,17.5,0.943645159403483,-0.033391968409221096,0,0,4,betfair:exato
2026-09-05,Aldershot,FC Halifax,ENGLAND 5,fuzzy,19.5,0.9657117128372192,0.2830928146839141,1,1,0,betfair:exato
2026-09-05,Degerfors,Halmstad,SWEDEN 1,fuzzy,14.5,0.9341912468274435,-0.000936483343441874,0,2,0,betfair:exato
2026-09-05,Oddevold,Falkenberg,SWEDEN 2,fuzzy,16.5,0.9371356964111328,-0.08411779403686526,0,2,1,betfair:exato
2026-09-05,Burnley,Bristol City,ENGLAND 2,exato,15.5,0.9389818708101908,0.007269904017447759,0,1,2,betfair:exato
2026-09-05,Portsmouth,Cardiff,ENGLAND 2,exato,19.0,0.954913059870402,0.09560248454411746,1,2,0,betfair:exato
2026-09-05,QPR,Middlesbrough,ENGLAND 2,exato,18.5,0.9506819049517313,0.04008114635944304,1,0,1,betfair:exato
2026-09-05,Sheffield Utd,Norwich,ENGLAND 2,fuzzy,17.0,0.9537031451861063,0.16526831090450222,1,1,3,betfair:exato
2026-09-05,West Brom,Watford,ENGLAND 2,exato,15.0,0.9412203431129456,0.07124412953853598,1,1,0,betfair:exato
2026-09-05,Bradford City,Mansfield,ENGLAND 3,fuzzy,15.0,0.9448634386062622,0.12570840716361997,1,1,0,betfair:exato
2026-09-05,Doncaster,Plymouth,ENGLAND 3,exato,16.5,0.9488563338915507,0.10868669251600838,1,2,3,betfair:exato
2026-09-05,Leicester,Oxford Utd,ENGLAND 3,exato,18.5,0.9565241734186808,0.14787099957466054,1,0,4,betfair:exato
2026-09-05,Reading,Blackpool,ENGLAND 3,exato,17.5,0.944487472375234,-0.018693607052166605,0,3,1,betfair:exato
2026-09-05,Barrow,Sutton,ENGLAND 5,fuzzy,15.0,0.9565180738766988,0.29994520445664774,1,3,0,betfair:exato
