dia,t,League,Home,Away,metodo,odd,red,be
2025-01-03,2025-01-03 16:00:00,FRANCE 2,Caen,Clermont,2x2,17.0,0,0.05604719764011801
2025-01-03,2025-01-03 16:00:00,FRANCE 2,Paris FC,Martigues,Draw,8.6,0,0.11111111111111105
2025-01-03,2025-01-03 17:00:00,FRANCE 1,Nice,Rennes,2x2,17.5,0,0.054441260744985676
2025-01-03,2025-01-03 17:00:00,SPAIN 1,Valencia,Real Madrid,Home,9.0,0,0.10614525139664799
2025-01-03,2025-01-03 17:15:00,PORTUGAL 1,Vitoria Guimaraes,Sporting CP,2x2,18.5,0,0.051490514905149
2025-01-03,2025-01-03 17:15:00,PORTUGAL 1,Vitoria Guimaraes,Sporting CP,0x3,23.0,0,0.04139433551198257
2025-01-04,2025-01-04 07:30:00,TURKEY 1,Adana Demirspor,Basaksehir,Home,5.8,0,0.16521739130434787
2025-01-04,2025-01-04 09:30:00,ENGLAND 2,Blackburn,Burnley,0x3,32.0,0,0.029733959311424085
2025-01-04,2025-01-04 12:00:00,ENGLAND 2,Hull,Leeds,Home,7.2,0,0.13286713286713292
2025-01-04,2025-01-04 12:00:00,ENGLAND 1,Aston Villa,Leicester,Draw,6.2,0,0.15447154471544722
2025-01-04,2025-01-04 12:00:00,ENGLAND 1,Manchester City,West Ham,Draw,7.0,0,0.13669064748201443
2025-01-04,2025-01-04 12:30:00,ISRAEL 1,Maccabi Tel Aviv,SC Ashdod,Draw,7.6,0,0.1258278145695364
2025-01-04,2025-01-04 13:00:00,FRANCE 1,St Etienne,Reims,2x2,18.0,0,0.05292479108635095
2025-01-04,2025-01-04 13:00:00,FRANCE 1,St Etienne,Reims,0x3,27.0,0,0.03525046382189234
2025-01-04,2025-01-04 13:00:00,TURKEY 1,Galatasaray,Goztepe,Draw,7.6,0,0.1258278145695364
2025-01-04,2025-01-04 14:00:00,ITALY 1,Fiorentina,Napoli,2x2,18.0,0,0.05292479108635095
2025-01-04,2025-01-04 14:30:00,PORTUGAL 3,Varzim,Vilaverdense,Draw,5.3,0,0.18095238095238098
2025-01-04,2025-01-04 14:30:00,ISRAEL 1,Hapoel Hadera,H. Beer Sheva,Draw,6.6,0,0.14503816793893132
2025-01-04,2025-01-04 16:45:00,ITALY 1,Verona,Udinese,2x2,17.5,0,0.054441260744985676
2025-01-04,2025-01-04 17:00:00,FRANCE 1,Lyon,Montpellier,Draw,6.4,0,0.1496062992125985
2025-01-04,2025-01-04 17:30:00,PORTUGAL 1,Boavista,Arouca,0x3,34.0,0,0.02798232695139924
2025-01-05,2025-01-05 08:00:00,PORTUGAL 2,Oliveirense,Felgueiras,0x3,27.0,1,0.03525046382189234
2025-01-05,2025-01-05 08:30:00,ITALY 1,Monza,Cagliari,2x2,17.5,0,0.054441260744985676
2025-01-05,2025-01-05 09:00:00,SCOTLAND 1,Hibernian,Rangers,Home,6.2,0,0.15447154471544722
2025-01-05,2025-01-05 11:30:00,SPAIN CUP,Ponferradina,Real Sociedad,Home,9.8,0,0.09743589743589731
2025-01-05,2025-01-05 13:00:00,TURKEY 2,Adanaspor AS,Amedspor,0x3,27.0,0,0.03525046382189234
2025-01-05,2025-01-05 13:30:00,ITALY 3,Giugliano,Avellino,0x3,26.0,0,0.036608863198458574
2025-01-05,2025-01-05 13:30:00,ENGLAND 1,Liverpool,Manchester Utd,Draw,7.0,1,0.13669064748201443
2025-01-05,2025-01-05 13:30:00,ITALY 3,Padova,Caldiero Terme,Draw,7.4,0,0.12925170068027214
2025-01-05,2025-01-05 15:30:00,GREECE 1,Panathinaikos,PAOK,2x2,18.5,0,0.051490514905149
2025-01-05,2025-01-05 16:45:00,ITALY 1,AS Roma,Lazio,2x2,16.5,0,0.05775075987841938
2025-01-05,2025-01-05 16:45:00,FRANCE 1,Marseille,Le Havre,Draw,5.8,0,0.16521739130434787
2025-01-06,2025-01-06 13:30:00,ITALY 3,L.R. Vicenza,Pergolettese,Draw,5.3,0,0.18095238095238098
2025-01-06,2025-01-06 13:30:00,ITALY 3,Ternana,Pontedera,Draw,5.6,1,0.1711711711711712
2025-01-06,2025-01-06 17:00:00,ENGLAND 2,QPR,Luton,2x2,19.0,0,0.05013192612137196
2025-01-06,2025-01-06 17:00:00,ENGLAND 1,Wolves,Nottingham,2x2,18.5,0,0.051490514905149
2025-01-06,2025-01-06 17:00:00,ENGLAND 1,Wolves,Nottingham,0x3,30.0,1,0.03171953255425708
2025-01-06,2025-01-06 17:15:00,PORTUGAL 1,Gil Vicente,Rio Ave,2x2,18.5,0,0.051490514905149
2025-01-07,2025-01-07 16:45:00,ENGLAND 3,Wycombe,Huddersfield,2x2,19.0,0,0.05013192612137196
2025-01-08,2025-01-08 05:00:00,AUSTRALIA 1,Sydney FC,Perth Glory,Draw,7.8,0,0.1225806451612903
2025-01-08,2025-01-08 16:45:00,SCOTLAND 1,Celtic,Dundee Utd,Draw,9.8,0,0.09743589743589731
2025-01-08,2025-01-08 17:00:00,SCOTLAND 4,Edinburgh City,East Fife,0x3,32.0,0,0.029733959311424085
2025-01-09,2025-01-09 14:00:00,SAUDI ARABIA 1,Al Nassr,Al Okhdood,Draw,6.4,0,0.1496062992125985
2025-01-09,2025-01-09 17:00:00,SCOTLAND 1,Dundee FC,Rangers,Draw,6.2,1,0.15447154471544722
2025-01-10,2025-01-10 16:00:00,FRANCE 2,Annecy,Guingamp,2x2,18.5,0,0.051490514905149
2025-01-10,2025-01-10 16:45:00,ITALY 1,Lazio,Como,2x2,19.0,0,0.05013192612137196
2025-01-10,2025-01-10 17:00:00,SPAIN 1,Rayo Vallecano,Celta Vigo,2x2,19.0,0,0.05013192612137196
2025-01-11,2025-01-11 07:45:00,AUSTRALIA 1,Perth Glory,Auckland FC,Home,8.4,1,0.11377245508982026
2025-01-11,2025-01-11 09:30:00,SCOTLAND 1,Ross County,Celtic,Draw,9.0,0,0.10614525139664799
2025-01-11,2025-01-11 10:00:00,SPAIN 1,Alaves,Girona,2x2,18.5,0,0.051490514905149
2025-01-11,2025-01-11 11:00:00,ITALY 3,Novara,Virtus Verona,Draw,6.0,0,0.15966386554621848
2025-01-11,2025-01-11 11:00:00,ITALY 3,Taranto,ACR Messina,Home,7.0,0,0.13669064748201443
2025-01-11,2025-01-11 12:00:00,SCOTLAND 2,Falkirk,Queen's Park,Draw,6.6,1,0.14503816793893132
2025-01-11,2025-01-11 12:00:00,SCOTLAND 4,Edinburgh City,Peterhead,0x3,27.0,0,0.03525046382189234
2025-01-11,2025-01-11 14:00:00,ITALY 1,Torino,Juventus,0x3,22.0,0,0.0432801822323462
2025-01-11,2025-01-11 14:30:00,GERMANY 1,B. Monchengladbach,Bayern Munich,Draw,6.0,0,0.15966386554621848
2025-01-11,2025-01-11 14:30:00,GERMANY 1,B. Monchengladbach,Bayern Munich,Home,8.6,0,0.11111111111111105
2025-01-11,2025-01-11 14:30:00,SPAIN 2,Tenerife,Castellon,2x2,17.5,0,0.054441260744985676
2025-01-11,2025-01-11 15:30:00,GREECE 1,Olympiacos Piraeus,Aris,Draw,6.4,0,0.1496062992125985
