folga,janela,fav,N,perdas,WR,BE,gap_pp,odd_med,ROI,IC_lo,IC_hi,p,dias,BH_passa,decisao
1,10-25,1.40-1.80,446,303,32.062780269058294,34.42454529666958,-2.3617650276112845,3.05,-7.433295964125562,-25.53015150537635,7.041263935078922,1.0,27,False,INCONCLUSIVO
1,10-25,<=1.40,202,145,28.217821782178216,29.685644356862046,-1.4678225746838303,3.625,-5.423267326732677,-32.814085473277714,22.750435660181616,1.0,26,False,INCONCLUSIVO
1,10-25,>1.80,1493,945,36.704621567314135,40.57070606974133,-3.8660845024271975,2.54,-8.657970529135971,-17.58650851775926,-0.61063755051718,1.0,27,False,REPROVA
1,25-40,1.40-1.80,425,242,43.05882352941177,45.6684294938154,-2.6096059644036385,2.24,-5.524941176470592,-17.248196347031968,5.314727175505759,1.0,26,False,INCONCLUSIVO
1,25-40,<=1.40,181,115,36.46408839779006,38.55608586893349,-2.0919974711434364,2.68,-2.5312154696132625,-26.616828070258496,24.267150717703295,1.0,26,False,INCONCLUSIVO
1,25-40,>1.80,1435,750,47.73519163763066,51.086242128874304,-3.3510504912436403,2.02,-5.813449477351919,-13.046642810933207,0.36565462114161085,1.0,27,False,INCONCLUSIVO
1,46-60,1.40-1.80,408,194,52.450980392156865,54.097513734738264,-1.6465333425814022,1.9,-3.204044117647062,-9.953918353413655,4.476783935692245,1.0,26,False,INCONCLUSIVO
1,46-60,<=1.40,167,92,44.91017964071856,47.043002352658476,-2.1328227119399132,2.18,-2.8625748502994046,-18.63754145282274,14.47349448229891,1.0,26,False,INCONCLUSIVO
1,46-60,>1.80,1370,600,56.20437956204379,59.182237999901844,-2.9778584378580497,1.72,-4.939233576642337,-8.659431356146943,-0.9218032322757905,1.0,27,False,REPROVA
1,60-75,1.40-1.80,367,135,63.21525885558583,63.02993227917123,0.1853265764146017,1.59,0.15653950953678245,-7.271008469821412,6.641461966738967,0.4742,26,False,INCONCLUSIVO
1,60-75,<=1.40,151,65,56.95364238410596,57.57902731024783,-0.6253849261418698,1.75,1.3205298013245017,-9.491066735397304,11.508578053092366,0.3948,26,False,INCONCLUSIVO
1,60-75,>1.80,1244,421,66.15755627009646,68.24350969514975,-2.0859534250532885,1.46,-2.7719453376205805,-4.868112703667184,-0.16967898213552415,1.0,27,False,REPROVA
1,75-85,1.40-1.80,282,51,81.91489361702128,82.05927177422379,-0.14437815720250713,1.21,0.08617021276595394,-3.427760620915036,3.8250250626566347,0.4728,26,False,INCONCLUSIVO
1,75-85,<=1.40,123,28,77.23577235772358,77.31977289359729,-0.08400053587370726,1.27,0.7154471544715425,-8.955139083801123,9.050989527389891,0.424,25,False,INCONCLUSIVO
1,75-85,>1.80,956,173,81.90376569037657,83.58780098865242,-1.6840352982758433,1.18,-1.8150627615062789,-4.497727766739856,0.7692316449825826,1.0,27,False,INCONCLUSIVO
2,10-25,1.40-1.80,410,167,59.26829268292683,60.22137913884541,-0.9530864559185837,1.66,-1.5592682926829278,-8.700494092126643,5.515317571956398,1.0,27,False,INCONCLUSIVO
2,10-25,<=1.40,176,79,55.11363636363637,53.492184474138426,1.621451889497938,1.92,3.5636363636363617,-12.766719107936936,20.23218895952256,0.3412,26,False,INCONCLUSIVO
2,10-25,>1.80,1398,482,65.52217453505007,66.61410077914526,-1.0919262440951871,1.5,-1.1286123032904165,-5.93669704241671,2.6670947414210664,1.0,27,False,INCONCLUSIVO
2,25-40,1.40-1.80,327,95,70.9480122324159,72.23843646418167,-1.2904242317657744,1.37,-1.8418960244648317,-7.809932430542607,3.7679224838967293,1.0,27,False,INCONCLUSIVO
2,25-40,<=1.40,136,44,67.64705882352942,65.76896744837464,1.8780913751547779,1.52,4.24301470588235,-11.102899620878153,17.656028736345576,0.2988,26,False,INCONCLUSIVO
2,25-40,>1.80,1185,290,75.52742616033755,76.85122443934198,-1.3237982790044178,1.3,-1.7631645569620265,-4.664975288602231,0.9285016103334841,1.0,27,False,INCONCLUSIVO
2,46-60,1.40-1.80,271,57,78.96678966789668,80.07782518203513,-1.1110355141384587,1.25,-1.500369003690039,-8.265744555009753,5.023699420932223,1.0,26,False,INCONCLUSIVO
2,46-60,<=1.40,110,27,75.45454545454545,74.16669019376988,1.2878552607755722,1.33,1.873181818181817,-10.353968284904324,11.358772283531405,0.3738,26,False,INCONCLUSIVO
2,46-60,>1.80,966,171,82.29813664596274,83.25962878584427,-0.9614921398815368,1.1949999999999998,-1.089648033126296,-3.788204359946895,1.5664802819743442,1.0,27,False,INCONCLUSIVO
2,60-75,1.40-1.80,190,31,83.6842105263158,84.69989432126953,-1.0156837949537256,1.165,-1.2757894736842113,-9.801593111359315,7.117248115352398,1.0,24,False,INCONCLUSIVO
2,60-75,<=1.40,81,17,79.01234567901234,82.12345750294863,-3.1111118239362856,1.2,-3.113580246913582,-19.486654265873018,8.115249253174007,1.0,24,False,INCONCLUSIVO
2,60-75,>1.80,516,70,86.43410852713178,86.63759281418064,-0.20348428704886068,1.14,-0.07994186046511681,-3.9920171571435596,3.8274019944105695,1.0,27,False,INCONCLUSIVO
