runner,lado,fav,gols,lado_fav,corte,N,perdas,WR,BE,edge_pp,odd_med,ROI,IC_lo,IC_hi,p,dias,N_janabr,ROI_janabr,N_maijul,ROI_maijul,N_agoset,ROI_agoset,BH_passa,decisao
CS_3x3,lay,Todos,U25 1.60-2.20,Todos,Todos,1004,13,98.70517928286853,96.14954356246474,2.5556357204037816,29.0,2.691203335470693,1.9342128047301594,3.3637476545141385,0.0,105,1004,2.691203335470693,0,,0,,True,PASSA
CS_3x3,lay,Todos,U25<=1.60,fav fora,TOP 3,112,0,100.0,96.56338382063564,3.4366161793643712,30.0,3.570496486405567,3.361257601551454,3.7872610328529204,0.0,66,112,3.570496486405567,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_3x3,lay,Todos,U25<=1.60,fav fora,Todos,121,0,100.0,96.61088353993523,3.389116460064767,32.0,3.51907034195025,3.3259044691433584,3.726449719640791,0.0,66,121,3.51907034195025,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_3x3,lay,Todos,U25<=1.60,Todos,TOP 3,112,0,100.0,96.56338382063564,3.4366161793643712,30.0,3.570496486405567,3.361257601551454,3.7872610328529204,0.0,66,112,3.570496486405567,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_3x3,lay,fav>1.80,U25<=1.60,Todos,Todos,104,0,100.0,96.92359531147083,3.0764046885291663,33.0,3.177757713500024,3.053246273952213,3.2985270958111856,0.0,60,104,3.177757713500024,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_3x3,lay,fav>1.80,Todos,fav fora,TOP 3,332,2,99.3975903614458,96.1982285206455,3.1993618408002855,24.0,3.3292892954451307,2.3496845831297275,4.001226261690733,0.0,135,301,3.3793532294685282,23,2.750705889380504,8,3.1090610702505863,True,INCONCLUSIVO (perdas<5)
CS_3x3,lay,fav>1.80,U25>2.20,fav fora,TOP 3,216,1,99.53703703703704,96.47510500609016,3.061932030946879,26.5,3.1748266982933524,2.104296202567733,3.748197480091764,0.0,104,185,3.2303991503438265,23,2.750705889380504,8,3.1090610702505863,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,fav>1.80,Todos,Todos,Todos,3459,64,98.14975426423823,96.66378060943387,1.4859736548043512,29.0,1.5467410264764547,1.0727464305836196,1.9834826988056657,0.0,222,2527,2.1678639832619724,505,-0.810022897947691,427,0.6581884972895461,True,PASSA
CS_3x3,lay,fav>1.80,Todos,fav fora,Todos,1248,15,98.79807692307693,96.76718199217518,2.03089493090175,32.0,2.1041057317055656,1.506903597063104,2.671116383045172,0.0,135,1217,2.085279563805086,23,2.750705889380504,8,3.1090610702505863,True,PASSA
CS_0x3,lay,fav1.40-1.80,U25>2.20,fav casa,TOP 3,229,1,99.56331877729258,93.48325224520832,6.080066532084249,14.5,6.516773930759036,5.47492361551696,7.112934433425187,0.0,97,229,6.516773930759036,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,fav1.40-1.80,U25>2.20,Todos,TOP 3,378,9,97.61904761904762,93.76711918572744,3.851928433320173,15.0,4.119647203827667,2.3713618567431594,5.614509919193791,0.0,169,236,6.514576957022318,89,1.182236734705162,53,-1.611935626399401,True,PASSA
CS_3x3,lay,Todos,Todos,fav fora,Todos,1769,21,98.81288863764838,95.77762359536315,3.035265042285229,27.0,3.215662502185726,2.6849821992911753,3.709837180797957,0.0,139,1734,3.2230971693373944,25,2.7419235495041945,10,3.110838599790212,True,PASSA
CS_3x3,lay,Todos,Todos,Todos,TOP 3,408,7,98.2843137254902,94.15552281744122,4.128790908048963,17.0,4.500154648452789,3.0341267035950645,5.750588746198209,0.0,162,316,5.65883284033293,58,0.9548583085151493,34,-0.2208783197160804,True,PASSA
CS_3x3,lay,Todos,Todos,Todos,Todos,1858,25,98.65446716899893,95.85782176624879,2.796645402750142,27.0,2.966068155517391,2.383303874571198,3.490537916905905,0.0,162,1760,3.0956452608981397,64,1.0957630725145842,34,-0.2208783197160804,True,PASSA
CS_3x3,lay,fav1.40-1.80,Todos,Todos,Todos,416,7,98.3173076923077,94.24846165416423,4.068846038143459,17.0,4.337689561028649,2.8862405555728508,5.532084956166827,0.0,107,402,4.648525993573409,8,2.7066572066572063,6,-14.313641613641611,True,PASSA
CS_3x3,lay,fav<=1.40,Todos,fav fora,TOP 3,103,0,100.0,90.53373535622852,9.466264643771483,10.0,10.49272422546742,10.153505912464977,10.811200067690738,0.0,60,103,10.49272422546742,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_3x3,lay,fav<=1.40,Todos,fav fora,Todos,115,0,100.0,90.70787734359897,9.292122656401036,10.5,10.281372287510804,9.966599861202592,10.608743668989561,0.0,60,115,10.281372287510804,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_3x3,lay,fav>1.80,U25 1.60-2.20,fav fora,Todos,793,9,98.86506935687264,96.78937135668073,2.0756980001919056,32.0,2.1498119161655938,1.3973824393600618,2.8196717790834236,0.0,104,793,2.1498119161655938,0,,0,,True,PASSA
CS_3x3,lay,Todos,U25 1.60-2.20,Todos,TOP 3,291,3,98.96907216494846,94.73318533838302,4.235886826565427,19.0,4.516329809140992,3.1313179179734987,5.595778173367596,0.0,105,291,4.516329809140992,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_3x3,lay,fav>1.80,U25<=1.60,fav fora,Todos,104,0,100.0,96.92359531147083,3.0764046885291663,33.0,3.177757713500024,3.053246273952213,3.2985270958111856,0.0,60,104,3.177757713500024,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_3x3,lay,fav>1.80,Todos,Todos,TOP 3,379,3,99.2084432717678,96.3446635076416,2.8637797641262175,25.0,2.979645997683776,1.9346850903545951,3.794029087934276,0.0,156,301,3.3793532294685282,50,0.6745704848124199,28,2.798999528982248,True,INCONCLUSIVO (perdas<5)
CS_2x0,lay,Todos,Todos,Todos,Todos,12487,909,92.72042924641627,90.94237277024679,1.7780564761694762,10.0,2.07182890993542,1.3505953558056651,2.8210343850072714,0.0,245,7442,4.245054204949038,2752,-0.638366390972015,2293,-1.728731568649007,True,PASSA
CS_2x0,lay,Todos,Todos,fav fora,Todos,3481,135,96.12180407928757,91.48014029339416,4.641663785893401,9.8,5.274068602805869,4.145538039590118,6.365794576690432,0.0,228,2324,8.533927547398175,630,-0.9874593443026979,527,-1.6161583052664668,True,PASSA
CS_2x0,lay,Todos,Todos,fav fora,TOP 3,628,32,94.90445859872611,91.0759715643874,3.8284870343387123,9.0,4.456573904118063,2.4520590578469035,6.330170987391895,0.0,228,343,8.981692184098234,189,-2.231006705910752,96,1.4548777089331282,True,PASSA
CS_1x3,lay,fav>1.80,U25<=1.60,fav casa,Todos,303,1,99.66996699669967,97.14106420695427,2.528902789745391,34.0,2.604575540198546,1.8371195530724689,2.9806466750924803,0.0,94,302,2.6046980831542776,1,2.5675675675675675,0,,True,INCONCLUSIVO (perdas<5)
CS_2x0,lay,Todos,U25>2.20,fav fora,Todos,1053,39,96.2962962962963,93.1257150858786,3.1705812104177,12.5,3.5195751569193625,1.9609033553133801,4.935150211413411,0.0,178,652,6.533666975653854,221,-3.052185707598506,180,0.670526741605805,True,PASSA
CS_0x2,lay,fav1.40-1.80,U25>2.20,fav casa,Todos,538,10,98.14126394052045,95.20476787559186,2.9364960649285954,19.5,3.0982863886776535,1.8417264620451617,4.165084055064981,0.0,122,506,3.3410577782722064,19,-2.934675566254513,13,2.466282850898236,True,PASSA
CS_2x0,lay,Todos,U25 1.60-2.20,fav fora,TOP 3,562,23,95.90747330960853,90.9872253108749,4.920247998733629,8.4,5.670397126391057,3.698767060167181,7.521548363860243,0.0,212,327,10.058264026281941,152,-1.1652864016385451,83,0.9016190540558852,True,PASSA
CS_3x2,lay,fav<=1.40,Todos,fav fora,TOP 3,101,1,99.00990099009901,93.45391484048207,5.555986149616931,14.0,5.948292828476709,3.6768803896287645,7.174460694587288,0.0,60,101,5.948292828476709,0,,0,,True,INCONCLUSIVO (perdas<5)
