runner,lado,fav,gols,lado_fav,corte,N,perdas,WR,BE,edge_pp,odd_med,ROI,IC_lo,IC_hi,p,dias,N_janabr,ROI_janabr,N_maijul,ROI_maijul,N_agoset,ROI_agoset,BH_passa,decisao
CS_Goleada_H,lay,Todos,U25 1.60-2.20,fav fora,Todos,259,2,99.22779922779922,97.65369756631497,1.5741016614842507,42.0,1.6155987782886336,0.7650082902191201,2.4570307083812892,0.0001,33,0,,0,,259,1.6155987782886336,True,INCONCLUSIVO (perdas<5)
CS_Goleada_H,lay,fav>1.80,U25 1.60-2.20,fav fora,Todos,253,2,99.2094861660079,97.63013847367186,1.5793476923360417,42.0,1.62138499585018,0.7548545903878888,2.4834412858144783,0.0001,33,0,,0,,253,1.62138499585018,True,INCONCLUSIVO (perdas<5)
Under25_FT,lay,fav1.40-1.80,Todos,Todos,Todos,633,232,63.349131121642976,58.18563133304613,5.163499788596848,2.32,10.012450208240974,4.584528357568532,15.416456164234283,0.0005,36,0,,0,,633,10.012450208240974,False,INCONCLUSIVO
Under25_FT,lay,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,276,115,58.33333333333333,51.25687153475141,7.076461798581912,2.04,14.095942428932846,4.1286109442133245,23.33257088251154,0.001,31,0,,0,,276,14.095942428932846,False,INCONCLUSIVO
Over25_FT,back,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,276,115,58.33333333333333,51.27613156498618,7.057201768347143,1.97,14.011594202898547,4.082520423125261,23.208124679979512,0.001,31,0,,0,,276,14.011594202898547,False,INCONCLUSIVO
Over25_FT,back,fav1.40-1.80,Todos,Todos,Todos,622,230,63.0225080385852,57.79617216780791,5.226335870777287,1.76,10.117765273311896,4.599740942672892,15.682157138329107,0.001,36,0,,0,,622,10.117765273311896,False,INCONCLUSIVO
D,lay,fav1.40-1.80,Todos,fav fora,Todos,146,20,86.3013698630137,79.43844330960525,6.862926553408455,4.7,8.661661097965203,3.1780391197188527,13.88108589594851,0.002,26,0,,0,,146,8.661661097965203,False,INCONCLUSIVO
CS_1x1,lay,fav>1.80,U25<=1.60,fav casa,Todos,179,14,92.17877094972067,87.1426525565316,5.03611839318906,7.4,5.787512339080759,1.7120716723981177,10.032187988853128,0.003,33,0,,0,,179,5.787512339080759,False,INCONCLUSIVO
Over25_FT,back,fav1.40-1.80,Todos,fav casa,Todos,480,181,62.291666666666664,57.148978512217475,5.142688154449193,1.78,9.775833333333333,2.6735985137464313,16.456894660915363,0.004,35,0,,0,,480,9.775833333333333,False,INCONCLUSIVO
Under25_FT,lay,fav1.40-1.80,Todos,fav casa,Todos,488,183,62.5,57.53150724024428,4.968492759755716,2.3,9.547452526472714,2.5988803992488747,16.24510670343096,0.004,35,0,,0,,488,9.547452526472714,False,INCONCLUSIVO
Under25_FT,lay,fav1.40-1.80,Todos,fav fora,Todos,145,49,66.20689655172414,60.38709724537228,5.819799306351858,2.46,11.577407923433473,2.8425756031102734,20.599470996519866,0.0055,26,0,,0,,145,11.577407923433473,False,INCONCLUSIVO
CS_1x1,lay,fav<=1.40,Todos,Todos,Todos,183,6,96.72131147540983,93.94114151775771,2.7801699576521233,15.0,2.971098981548365,0.7193207284465402,5.197164876199452,0.006,30,0,,0,,183,2.971098981548365,False,INCONCLUSIVO
CS_1x1,lay,fav>1.80,U25<=1.60,Todos,Todos,238,20,91.59663865546219,87.087070801237,4.509567854225183,7.4,5.191811909795583,1.1442064292083878,9.514130052623667,0.0075,33,0,,0,,238,5.191811909795583,False,INCONCLUSIVO
CS_Goleada_A,lay,Todos,U25 1.60-2.20,fav casa,Todos,490,6,98.77551020408163,97.81835644261183,0.9571537614697978,46.0,0.9774931146976781,0.1893761836568652,1.7937910695405286,0.0075,33,0,,0,,490,0.9774931146976781,False,INCONCLUSIVO
Over25_FT,back,fav1.40-1.80,Todos,fav fora,Todos,142,49,65.49295774647888,59.98386903177558,5.509088714703292,1.7,11.273591549295773,2.439576670220325,20.500366279069755,0.0075,26,0,,0,,142,11.273591549295773,False,INCONCLUSIVO
CS_1x1,lay,fav<=1.40,Todos,fav casa,Todos,155,5,96.7741935483871,93.96468489558119,2.8095086528059143,15.0,2.987713602028567,0.46727000043923383,5.55771865727624,0.0085,30,0,,0,,155,2.987713602028567,False,INCONCLUSIVO
CS_0x1,lay,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,272,10,96.32352941176471,94.03269558054006,2.290833831224648,20.0,2.4434955095872226,0.3623403847300069,4.442017211530645,0.0115,31,0,,0,,272,2.4434955095872226,False,INCONCLUSIVO
CS_Goleada_A,lay,fav>1.80,U25 1.60-2.20,fav casa,Todos,474,6,98.73417721518987,97.79026424302386,0.9439129721660278,46.0,0.964308303020856,0.1487753421875414,1.7998447575432237,0.0125,33,0,,0,,474,0.964308303020856,False,INCONCLUSIVO
CS_1x1,lay,Todos,Todos,fav casa,TOP 3,106,8,92.45283018867924,86.86804327270355,5.5847869159757035,7.2,6.435057538738176,0.8502986571672243,11.064981957761354,0.014,36,0,,0,,106,6.435057538738176,False,INCONCLUSIVO
CS_1x1,lay,fav>1.80,Todos,fav casa,TOP 3,105,8,92.38095238095238,86.83390786285756,5.547044518094834,7.2,6.395814700482772,0.8010964965386045,11.070197995087058,0.0145,36,0,,0,,105,6.395814700482772,False,INCONCLUSIVO
A,back,fav1.40-1.80,Todos,fav fora,Todos,126,40,68.25396825396825,61.78122214334913,6.472746110619121,1.65,10.363095238095237,0.37640204386839293,21.924915170826083,0.0215,26,0,,0,,126,10.363095238095237,False,INCONCLUSIVO
