linha,janela,estado,fav,N,WR,BE,gap_pp,ROI,odd_med,IC_lo,IC_hi,p,blocos,BH_passa,decisao
3.5,25-40,1-1,>1.80,45,62.22222222222222,49.38560775551101,12.836614466711216,25.555555555555554,2.08,8.734804287962234,43.24938839285713,0.0027,14,False,INCONCLUSIVO
1.5,25-40,0-0,<=1.40,33,78.78787878787878,65.41135392222557,13.376524865653206,19.46515151515151,1.64,-0.07566176470588311,39.675833333333316,0.0253,13,False,INCONCLUSIVO
1.5,75-85,1 gol,>1.80,227,61.23348017621145,55.400112680013294,5.833367496198161,11.46211453744493,1.89,-0.5254075423004118,21.23815183587479,0.0301,19,False,INCONCLUSIVO
1.5,25-40,1 gol,>1.80,314,86.62420382165605,83.63960964911044,2.984594172545618,4.111464968152864,1.2,-0.2884277600581966,7.966772973540125,0.0325,19,False,INCONCLUSIVO
1.5,46-60,1 gol,>1.80,296,83.1081081081081,79.38880978438104,3.7192983237270716,4.887499999999998,1.27,-0.732147092038396,9.295561065270281,0.0412,19,False,INCONCLUSIVO
3.5,60-75,1 gol,1.40-1.80,71,22.535211267605636,15.844195542691866,6.691015724913768,55.20070422535211,7.6,-6.864366134751776,128.9417361111111,0.042,15,False,INCONCLUSIVO
3.5,46-60,0-0,1.40-1.80,66,12.121212121212121,7.681170954729313,4.440041166482808,104.4242424242424,14.25,-18.737683347713546,271.6018181818182,0.0529,17,False,INCONCLUSIVO
1.5,10-25,1 gol,<=1.40,34,97.05882352941177,92.94869122477685,4.1101323046349165,4.686764705882355,1.07,-1.1556068840579672,8.866914062499998,0.0555,11,False,INCONCLUSIVO
1.5,60-75,1 gol,>1.80,266,75.56390977443608,71.22646994000561,4.337439834430468,6.006766917293231,1.42,-1.5824213493793264,12.010286362591902,0.056,19,False,INCONCLUSIVO
3.5,25-40,0-0,1.40-1.80,83,15.66265060240964,12.508360693797037,3.1542899086126006,46.71686746987952,9.2,-26.81555124223603,137.64143518518514,0.1123,18,False,INCONCLUSIVO
0.5,25-40,0-0,<=1.40,33,93.93939393939394,88.8974199235286,5.0419740158653354,5.425757575757573,1.14,-4.851612903225806,12.666666666666663,0.1311,13,False,INCONCLUSIVO
3.5,46-60,1 gol,1.40-1.80,77,31.16883116883117,25.02980550687257,6.139025661958597,24.935064935064926,4.1,-17.452666771752842,71.47086597711265,0.1381,17,False,INCONCLUSIVO
1.5,10-25,0-0,>1.80,529,64.46124763705104,62.088180488931656,2.37306714811939,3.551323251417768,1.65,-2.54211011422954,10.694399632352939,0.1514,19,False,INCONCLUSIVO
1.5,10-25,0-0,<=1.40,43,79.06976744186046,74.8762800083563,4.193487433504151,5.625581395348834,1.36,-5.808965579710146,17.363490853658536,0.1592,15,False,INCONCLUSIVO
3.5,10-25,0-0,1.40-1.80,135,26.666666666666668,23.315607243997892,3.351059422668773,19.245925925925924,4.7,-19.659702898550727,59.69065789473683,0.1625,18,False,INCONCLUSIVO
1.5,75-85,0-0,>1.80,151,17.218543046357617,16.570405087974592,0.6481379583830216,18.31490066225165,7.2,-16.10151785714286,75.18979342273306,0.1866,19,False,INCONCLUSIVO
3.5,46-60,1-1,>1.80,90,47.77777777777778,43.43151522707204,4.346262550705737,6.656666666666662,2.3499999999999996,-10.988442796610173,27.686061821705415,0.2336,19,False,INCONCLUSIVO
1.5,46-60,1 gol,1.40-1.80,77,85.71428571428571,83.26174317667278,2.452542537612923,3.344805194805192,1.2,-6.79483232520904,12.018926470588228,0.2365,17,False,INCONCLUSIVO
0.5,10-25,0-0,<=1.40,43,95.34883720930233,93.44344968956044,1.9053875197418968,1.9767441860465158,1.08,-6.372152514231495,7.11062662337663,0.2766,15,False,INCONCLUSIVO
2.5,10-25,1 gol,1.40-1.80,74,72.97297297297297,69.93381818555996,3.039154787413012,4.181756756756756,1.495,-12.671025951867817,17.59690927128426,0.2896,17,False,INCONCLUSIVO
2.5,25-40,1 gol,>1.80,312,56.08974358974359,53.6848492858405,2.4048943039030934,4.841185897435895,1.92,-11.235703913195486,19.015634541849582,0.2925,19,False,INCONCLUSIVO
3.5,25-40,0-0,<=1.40,33,24.242424242424242,17.19551577669991,7.046908465724333,22.984848484848477,6.8,-49.53830770944742,117.4560937499999,0.2941,13,False,INCONCLUSIVO
3.5,60-75,0-0,1.40-1.80,44,6.8181818181818175,5.677099779496617,1.1410820386852012,47.1590909090909,30.0,-100.0,241.93891723356012,0.3065,16,False,INCONCLUSIVO
3.5,60-75,1-1,>1.80,104,35.57692307692308,33.95433661424082,1.6225864626822517,7.475480769230766,3.125,-20.562111561941634,41.998138997760336,0.3068,17,False,INCONCLUSIVO
1.5,46-60,0-0,>1.80,289,42.21453287197232,41.421302734421864,0.7932301375504491,1.86730103806228,2.5,-9.002132282040984,16.7173468823521,0.3826,19,False,INCONCLUSIVO
1.5,60-75,1 gol,1.40-1.80,71,74.64788732394366,74.51400040122317,0.13388692272049418,1.7563380281690126,1.34,-10.46931640625,15.262836538461515,0.3879,15,False,INCONCLUSIVO
2.5,46-60,1 gol,1.40-1.80,77,53.246753246753244,52.19498007262,1.0517731741332415,1.9311688311688284,1.94,-16.60761868466899,19.618748006732783,0.4189,17,False,INCONCLUSIVO
3.5,25-40,1 gol,<=1.40,32,40.625,41.202632909130536,-0.5776329091305377,2.9093749999999994,2.58,-38.02504464285715,38.82508445945946,0.4405,15,False,INCONCLUSIVO
3.5,10-25,1 gol,>1.80,258,36.82170542635659,38.06154389001027,-1.2398384636536808,0.9282945736434065,2.83,-11.04132598605617,15.340232096408208,0.4453,18,False,INCONCLUSIVO
1.5,25-40,1 gol,1.40-1.80,79,87.34177215189874,87.091246976329,0.25052517556972687,0.44936708860759234,1.15,-9.015517857142857,8.74271895424836,0.4478,18,False,INCONCLUSIVO
2.5,25-40,1 gol,1.40-1.80,80,60.0,60.04470869010616,-0.044708690106165516,0.8499999999999989,1.745,-17.95012057242252,18.79609534564022,0.4632,19,False,INCONCLUSIVO
1.5,60-75,0-0,>1.80,219,31.506849315068493,31.40125620342943,0.10559311163906293,0.6573059360730523,3.5,-17.171635353535358,22.65400841932784,0.464,19,False,INCONCLUSIVO
2.5,60-75,1-1,>1.80,105,68.57142857142857,69.88193919605081,-1.3105106246222409,0.2833333333333332,1.44,-10.363579545454549,7.356793792604825,0.4774,17,False,INCONCLUSIVO
